t ca2er ca2i ip3 s000 s001 s010 s011 s100 s101 s110 s111
0 1053875 151801 61468 10 4 33 16 8 0 26 1
0.1 1080317 125356 61469 11 0 36 17 6 2 24 2
0.2 1100754 104914 61463 9 1 31 17 4 0 33 3
0.3 1116251 89419 61470 9 2 36 18 5 0 27 1
0.4 1126175 79500 61467 10 3 33 16 8 0 26 2
0.5 1136524 69154 61465 9 4 30 17 11 0 27 0
0.6 1146385 59302 61464 13 4 28 14 16 0 20 3
0.7 1153428 52261 61466 13 5 28 15 17 1 18 1
0.8 1158318 47373 61460 11 7 25 12 19 1 21 2
0.9 1161946 43751 61477 27 9 24 12 7 1 18 0
1 1164155 41548 61471 24 11 22 9 14 2 15 1
1.1 1165298 40404 61470 20 14 22 9 16 0 17 0
1.2 1166010 39689 61476 20 12 29 10 15 0 11 1
1.3 1166896 38810 61468 22 12 19 10 20 0 14 1
1.4 1168172 37534 61469 26 10 17 11 17 1 15 1
1.5 1167937 37763 61465 17 11 22 10 20 0 16 2
1.6 1168119 37584 61462 18 10 19 10 22 1 16 2
1.7 1168918 36789 61464 20 10 18 11 23 2 14 0
1.8 1169504 36205 61473 29 11 19 9 17 0 10 3
1.9 1169867 35841 61464 23 11 15 10 21 1 16 1
2 1169950 35759 61475 24 12 24 10 20 1 7 0
2.1 1169896 35813 61467 26 13 15 8 17 1 17 1
2.2 1169868 35837 61471 23 11 21 11 18 1 13 0
2.3 1169462 36239 61471 18 13 26 9 18 1 12 1
2.4 1169404 36302 61475 26 14 20 10 15 0 13 0
2.5 1169444 36264 61470 26 15 16 8 16 0 16 1
2.6 1169453 36257 61468 23 14 18 8 21 2 11 1
2.7 1170316 35400 61469 32 14 10 8 18 2 13 1
2.8 1170547 35163 61466 24 10 14 13 24 2 11 0
2.9 1171043 34668 61475 31 11 16 12 18 1 8 1
3 1171123 34594 61464 31 10 5 13 25 2 11 1
3.1 1171351 34369 61468 28 13 11 11 28 2 5 0
3.2 1171535 34179 61470 30 10 13 12 24 1 5 3
3.3 1171352 34354 61475 31 10 14 15 15 0 13 0
3.4 1170796 34913 61466 23 12 15 11 23 1 12 1
3.5 1170718 34995 61465 29 12 11 8 19 3 14 2
3.6 1170498 35207 61473 25 11 20 12 17 2 11 0
3.7 1169860 35842 61467 22 10 19 11 17 3 15 1
3.8 1169632 36073 61467 22 13 15 12 20 0 16 0
3.9 1169952 35756 61472 26 14 17 10 17 1 13 0
4 1169758 35951 61473 30 13 15 10 15 1 13 1
4.1 1169221 36481 61470 23 13 18 11 16 0 16 1
