t ca2er ca2i ip3 s000 s001 s010 s011 s100 s101 s110 s111
0 1053875 151801 61468 11 6 32 16 8 1 26 2
0.1 1077901 127775 61468 14 5 29 17 6 1 28 2
0.2 1097035 108638 61465 10 2 29 21 10 1 28 1
0.3 1114951 90720 61466 9 4 31 19 7 1 30 1
0.4 1126697 78983 61461 11 5 26 16 13 1 27 3
0.5 1135867 69812 61458 6 6 26 17 16 1 29 1
0.6 1140428 65252 61461 12 7 23 16 10 1 32 1
0.7 1147467 58214 61469 14 6 30 16 10 1 23 2
0.8 1154571 51114 61475 19 8 29 16 9 0 19 2
0.9 1156772 48915 61467 11 12 29 12 14 0 23 1
1 1158947 46742 61463 12 9 27 12 15 3 23 1
1.1 1160456 45233 61458 10 9 22 14 20 1 24 2
1.2 1162021 43676 61467 21 11 20 12 15 1 20 2
1.3 1163431 42266 61464 19 9 22 11 17 3 18 3
1.4 1165772 39927 61468 20 8 23 14 19 3 14 1
1.5 1166646 39053 61471 26 10 19 13 13 1 18 2
1.6 1165447 40252 61464 17 13 18 13 20 0 21 0
1.7 1166554 39149 61472 19 15 24 11 20 0 13 0
1.8 1166444 39256 61475 27 11 19 15 13 0 17 0
1.9 1167262 38440 61471 25 11 20 12 17 0 14 3
2 1168089 37613 61471 22 10 20 16 21 0 13 0
2.1 1168122 37577 61469 22 6 19 19 21 1 14 0
2.2 1168966 36738 61467 24 9 18 13 21 1 13 3
2.3 1168645 37061 61457 16 11 14 13 30 0 16 2
2.4 1169080 36630 61466 25 12 17 9 22 2 12 3
2.5 1169400 36313 61471 28 13 18 9 19 4 11 0
2.6 1169801 35914 61473 28 15 18 9 21 2 9 0
2.7 1169669 36042 61464 21 15 18 7 23 3 14 1
2.8 1169891 35821 61472 26 16 18 9 20 1 12 0
2.9 1169944 35764 61465 19 15 20 8 23 2 14 1
3 1169511 36197 61472 28 13 19 9 16 1 14 2
3.1 1169251 36455 61465 27 10 18 7 16 3 16 5
3.2 1168669 37036 61466 21 14 18 10 19 1 19 0
3.3 1168413 37292 61472 21 13 24 11 20 1 12 0
3.4 1168724 36984 61468 24 12 19 10 20 1 15 1
3.5 1169100 36608 61470 29 8 20 10 16 4 13 2
3.6 1168777 36925 61465 18 9 24 11 23 1 13 3
3.7 1167383 38320 61463 23 9 16 12 19 1 20 2
3.8 1167004 38700 61471 25 10 22 11 16 2 15 1
