t ca2er ca2i ip3 s000 s001 s010 s011 s100 s101 s110 s111
0 1053875 151801 61468 10 6 32 18 8 1 23 2
0.1 1076031 129647 61467 9 8 30 18 10 0 24 1
0.2 1101246 104433 61463 10 7 28 16 10 1 25 3
0.3 1121133 84551 61474 15 11 31 15 7 0 20 1
0.4 1134726 70962 61464 15 11 21 15 10 1 27 0
0.5 1144005 61686 61465 12 12 25 14 16 0 20 1
0.6 1152534 53162 61461 15 9 23 12 17 4 18 2
0.7 1156516 49178 61460 17 11 17 13 15 0 24 3
0.8 1158972 46721 61460 14 11 20 13 15 2 24 1
0.9 1161349 44348 61473 22 12 23 14 12 0 16 1
1 1164277 41421 61468 20 10 20 16 17 0 16 1
1.1 1166318 39383 61466 23 10 18 13 15 2 17 2
1.2 1167802 37906 61467 21 12 20 12 22 0 12 1
1.3 1168606 37105 61464 20 14 17 11 24 1 13 0
1.4 1168703 37009 61464 20 12 21 9 25 2 9 2
1.5 1168558 37158 61467 28 14 14 9 20 0 14 1
1.6 1169112 36598 61469 28 10 18 11 16 2 14 1
1.7 1168828 36885 61464 22 11 19 10 23 2 13 0
1.8 1169368 36348 61459 23 11 14 9 25 2 15 1
1.9 1168911 36798 61460 18 10 22 8 24 2 13 3
2 1168541 37171 61466 23 11 24 6 21 1 10 4
2.1 1168299 37408 61470 28 11 20 9 11 1 19 1
2.2 1166725 38978 61468 26 10 20 10 10 1 22 1
2.3 1166007 39700 61464 25 9 17 11 16 1 20 1
2.4 1167422 38289 61469 24 8 22 13 22 1 10 0
2.5 1168393 37322 61468 32 12 15 7 15 0 16 3
2.6 1169008 36710 61460 23 13 16 6 25 1 14 2
2.7 1169961 35766 61472 37 15 12 6 19 0 10 1
2.8 1170365 35365 61467 34 14 10 7 25 1 9 0
2.9 1170945 34782 61469 33 13 14 7 23 2 8 0
3 1171054 34673 61462 28 10 15 7 30 3 5 2
3.1 1171270 34457 61467 30 15 13 7 26 0 9 0
3.2 1171250 34475 61469 33 11 16 7 23 1 7 2
3.3 1170036 35680 61463 27 8 17 9 22 2 13 2
3.4 1169818 35899 61470 32 10 18 8 17 1 12 2
3.5 1169278 36441 61469 33 11 16 7 16 2 14 1
3.6 1169724 35996 61465 28 14 16 5 21 0 14 2
3.7 1169315 36402 61456 20 10 18 6 26 3 16 1
3.8 1169437 36280 61467 28 14 19 4 16 1 17 1
3.9 1168806 36914 61467 25 16 19 5 22 0 13 0
4 1168640 37081 61461 26 14 16 3 21 3 16 1
4.1 1168581 37142 61466 28 13 18 5 22 3 11 0
4.2 1168955 36767 61462 28 12 13 7 23 2 15 0
4.3 1169436 36288 61470 32 12 17 7 22 1 8 1
4.4 1170073 35653 61461 29 12 12 6 25 2 14 0
4.5 1170485 35242 61463 28 10 15 8 29 2 8 0
4.6 1170715 35009 61461 27 10 14 8 27 2 12 0
4.7 1170889 34833 61465 27 10 16 10 27 0 10 0
4.8 1170998 34729 61467 34 10 12 9 25 0 9 1
4.9 1171236 34487 61463 28 7 15 11 28 2 9 0
5 1171493 34232 61460 28 11 12 7 28 0 12 2
5.1 1171283 34443 61461 31 11 11 6 25 1 13 2
5.2 1171053 34669 61467 34 11 13 7 19 0 14 2
5.3 1170353 35370 61475 34 11 21 7 18 2 7 0
5.4 1170726 34994 61471 32 12 19 6 17 1 12 1
5.5 1170656 35066 61463 29 11 13 8 23 1 15 0
5.6 1170452 35274 61460 26 10 13 9 31 1 10 0
5.7 1170479 35241 61463 30 9 13 9 21 2 16 0
5.8 1169814 35903 61467 28 12 18 7 18 1 16 0
5.9 1169968 35752 61474 25 15 28 4 21 1 6 0
6 1170019 35696 61467 21 12 24 8 24 0 11 0
6.1 1169116 36597 61456 23 10 13 8 21 1 23 1
6.2 1167515 38197 61462 23 10 20 7 19 2 18 1
6.3 1167720 37992 61463 23 11 19 8 19 1 19 0
6.4 1166420 39297 61475 33 13 21 6 12 1 14 0
6.5 1167394 38325 61462 25 11 20 4 21 4 14 1
6.6 1167762 37954 61459 20 12 20 5 23 3 17 0
6.7 1168163 37554 61462 21 13 20 6 25 0 14 1
6.8 1168412 37308 61466 26 13 18 7 23 0 13 0
6.9 1168562 37154 61465 25 12 20 6 21 1 13 2
7 1168901 36810 61468 20 14 24 8 21 0 13 0
7.1 1169006 36707 61468 27 13 20 6 17 0 14 3
7.2 1168992 36718 61463 24 11 17 9 18 1 19 1
