t ca2er ca2i ip3 s000 s001 s010 s011 s100 s101 s110 s111
0 1053875 151801 61468 11 5 33 15 9 1 25 1
0.1 1074981 130690 61457 8 5 25 15 8 0 37 2
0.2 1094472 111195 61470 8 4 36 18 5 0 29 0
0.3 1109076 96590 61473 8 1 40 20 6 1 24 0
0.4 1122074 83596 61468 9 5 33 17 6 0 30 0
0.5 1130399 75270 61467 10 4 33 16 5 0 30 2
0.6 1141548 64129 61470 13 5 34 14 9 0 22 3
0.7 1148147 57534 61469 5 7 40 13 19 0 14 2
0.8 1153875 51809 61456 10 8 25 9 15 1 28 4
0.9 1156843 48843 61468 16 9 29 10 11 0 22 3
1 1160710 44974 61471 18 7 28 14 9 0 23 1
1.1 1161252 44443 61471 26 10 20 11 8 1 24 0
1.2 1163305 42390 61457 16 9 19 9 19 1 24 3
1.3 1163248 42447 61474 23 12 25 10 10 1 19 0
1.4 1163260 42437 61467 21 11 20 11 16 0 20 1
1.5 1165201 40495 61473 20 11 28 10 15 1 14 1
1.6 1165135 40563 61474 25 13 24 8 9 2 19 0
1.7 1165858 39839 61473 22 11 28 8 11 4 16 0
1.8 1165527 40172 61462 21 14 15 8 15 0 26 1
1.9 1166072 39627 61472 21 12 25 10 16 1 15 0
2 1166734 38973 61459 17 12 17 9 28 1 15 1
2.1 1167516 38189 61466 24 11 17 10 20 1 16 1
2.2 1167521 38186 61466 23 12 21 6 20 3 13 2
2.3 1167984 37719 61472 25 10 23 10 17 2 12 1
2.4 1168350 37350 61472 27 7 20 14 15 2 15 0
2.5 1168507 37189 61476 25 7 26 14 14 1 12 1
2.6 1168917 36782 61469 20 8 24 13 22 0 11 2
2.7 1167799 37897 61463 22 7 18 12 17 1 20 3
2.8 1168406 37294 61474 22 10 26 12 19 0 10 1
2.9 1167673 38025 61465 17 9 22 13 22 1 16 0
3 1168638 37061 61470 24 10 20 12 18 0 13 3
3.1 1168372 37327 61461 21 10 13 13 21 0 20 2
3.2 1168428 37276 61462 22 10 16 10 21 4 16 1
3.3 1169157 36548 61470 25 11 19 11 20 2 11 1
3.4 1169502 36203 61479 32 11 20 12 14 1 9 1
3.5 1169769 35932 61470 25 9 18 14 19 1 13 1
3.6 1169968 35732 61472 27 9 17 15 17 0 14 1
3.7 1168322 37381 61460 26 10 11 9 19 1 19 5
3.8 1168398 37301 61474 26 11 19 14 15 1 14 0
3.9 1169168 36538 61472 28 11 17 12 19 2 10 1
4 1169139 36565 61463 25 14 10 10 19 0 20 2
4.1 1168159 37538 61475 24 11 22 14 15 1 13 0
4.2 1167761 37937 61471 23 11 22 11 16 2 13 2
4.3 1168557 37144 61466 22 13 15 12 19 1 18 0
4.4 1168314 37393 61471 25 14 18 10 21 1 10 1
4.5 1169153 36548 61470 22 12 19 13 21 0 12 1
4.6 1168706 36990 61471 22 11 20 14 16 1 16 0
4.7 1168656 37037 61466 20 8 17 17 18 1 19 0
4.8 1168325 37372 61468 24 7 16 17 19 1 15 1
4.9 1168941 36756 61475 26 9 21 15 15 1 12 1
5 1169326 36382 61468 29 14 11 10 18 1 16 1
5.1 1169861 35850 61471 30 15 15 7 18 2 11 2
5.2 1170040 35665 61472 25 16 18 9 18 0 13 1
5.3 1169897 35813 61475 28 15 22 6 17 3 8 1
5.4 1170311 35403 61472 26 17 19 6 22 2 8 0
5.5 1170297 35411 61467 24 14 17 8 21 2 13 1
