t ca2er ca2i ip3 s000 s001 s010 s011 s100 s101 s110 s111
0 1053875 151801 61468 11 4 36 12 8 1 27 1
0.1 1080333 125349 61462 12 4 31 10 13 1 26 3
0.2 1100645 105031 61476 14 3 39 15 7 0 22 0
0.3 1115962 89710 61464 11 2 30 16 8 0 32 1
0.4 1125953 79720 61475 17 2 35 16 3 0 26 1
0.5 1138321 67362 61459 11 5 28 10 16 0 26 4
0.6 1148552 57145 61480 25 8 31 11 13 0 12 0
0.7 1156606 49092 61475 21 7 31 11 18 1 11 0
0.8 1161125 44574 61475 26 8 25 11 14 0 16 0
0.9 1162195 43504 61471 19 11 28 8 18 0 16 0
1 1164615 41083 61467 21 9 24 8 16 1 20 1
1.1 1164917 40784 61472 24 8 25 10 17 1 15 0
1.2 1166031 39669 61472 26 7 22 12 16 1 16 0
1.3 1166554 39148 61469 32 8 17 7 10 2 21 3
1.4 1166898 38809 61470 27 9 21 8 18 0 17 0
1.5 1166879 38829 61470 26 9 24 6 20 0 13 2
1.6 1167663 38044 61468 26 5 20 12 23 0 14 0
1.7 1168157 37554 61462 26 5 18 8 25 2 14 2
1.8 1169167 36548 61473 33 5 19 11 23 1 8 0
1.9 1170139 35579 61472 39 4 13 11 20 2 11 0
2 1169674 36039 61463 28 6 16 8 24 1 16 1
2.1 1170061 35654 61464 28 7 18 6 24 2 14 1
2.2 1169608 36108 61462 25 8 17 7 28 1 14 0
2.3 1169424 36286 61472 28 7 25 7 20 1 11 1
2.4 1168902 36810 61470 29 10 20 6 19 0 16 0
2.5 1167615 38094 61459 22 10 18 4 21 2 23 0
2.6 1167951 37764 61463 27 9 18 4 24 1 15 2
2.7 1166975 38740 61468 30 9 20 4 20 2 14 1
2.8 1168201 37513 61472 32 9 22 4 16 2 15 0
2.9 1167052 38661 61467 30 10 18 4 17 1 20 0
3 1167515 38203 61466 32 9 16 4 20 2 17 0
3.1 1168738 36978 61473 33 9 21 5 18 0 14 0
3.2 1168384 37330 61458 27 5 15 6 23 3 21 0
3.3 1168827 36887 61472 31 7 23 6 20 0 12 1
3.4 1168283 37425 61460 26 6 19 4 19 2 21 3
3.5 1168061 37653 61467 30 4 19 9 23 2 13 0
3.6 1169010 36703 61470 36 5 15 9 16 1 18 0
3.7 1169002 36709 61473 31 6 24 7 18 1 12 1
3.8 1169210 36503 61469 29 7 21 7 21 1 14 0
3.9 1169009 36705 61463 26 9 17 6 24 0 18 0
4 1169391 36328 61460 24 13 16 2 27 1 17 0
4.1 1168400 37314 61460 25 10 15 5 24 1 20 0
4.2 1167695 38022 61476 32 12 24 3 19 0 9 1
4.3 1168734 36980 61465 27 10 18 5 23 0 16 1
4.4 1169049 36666 61461 23 12 17 4 26 0 18 0
4.5 1169104 36609 61465 30 7 18 5 19 3 17 1
4.6 1168815 36891 61471 28 8 24 6 16 1 15 2
4.7 1168655 37054 61465 29 7 18 6 17 2 20 1
4.8 1167835 37872 61458 18 8 22 5 27 0 17 3
4.9 1167846 37860 61473 29 8 24 7 16 0 14 2
5 1168785 36927 61470 28 7 23 7 22 2 10 1
5.1 1168851 36861 61471 33 8 16 9 18 0 16 0
5.2 1168695 37020 61468 31 9 17 6 22 0 13 2
5.3 1169088 36622 61463 24 6 20 8 25 2 14 1
5.4 1169215 36494 61467 31 5 16 10 18 2 18 0
5.5 1168282 37424 61470 23 9 27 6 21 0 12 2
5.6 1168346 37361 61457 19 8 19 6 25 2 20 1
5.7 1167625 38084 61470 29 10 21 5 17 0 16 2
5.8 1167873 37835 61462 24 9 17 7 22 0 20 1
5.9 1167351 38359 61468 30 11 17 5 15 1 21 0
6 1167416 38294 61459 23 7 19 5 23 4 18 1
6.1 1167440 38265 61473 28 9 24 7 14 1 17 0
6.2 1167478 38230 61472 27 9 24 7 19 1 12 1
6.3 1167657 38053 61468 29 10 16 8 19 0 18 0
6.4 1167723 37984 61468 29 8 17 9 17 1 19 0
6.5 1168293 37410 61464 19 7 22 11 25 0 16 0
