t ca2er ca2i ip3 s000 s001 s010 s011 s100 s101 s110 s111
0 1053875 151801 61468 10 6 31 18 8 1 24 2
0.1 1079538 126137 61470 12 4 29 22 7 0 26 0
0.2 1102786 102890 61475 10 6 37 19 8 0 19 1
0.3 1121082 84597 61472 15 4 30 20 9 0 19 3
0.4 1137670 68010 61477 16 6 32 20 7 0 18 1
0.5 1148656 57026 61470 17 5 23 22 10 0 22 1
0.6 1156549 49141 61463 11 13 22 14 15 2 23 0
0.7 1159579 46107 61462 12 10 19 18 15 0 25 1
0.8 1162580 43116 61469 24 13 15 14 10 0 22 2
0.9 1165737 39962 61473 23 11 20 16 16 0 12 2
1 1167659 38039 61467 16 11 21 16 22 0 12 2
1.1 1168601 37098 61464 16 12 19 14 21 1 15 2
1.2 1168993 36707 61476 22 11 23 17 18 0 8 1
1.3 1169074 36621 61474 19 11 25 16 15 1 12 1
1.4 1168237 37462 61472 27 11 18 13 10 1 17 3
1.5 1168142 37563 61470 25 13 15 14 17 0 15 1
1.6 1168408 37296 61471 20 10 23 15 21 2 9 0
1.7 1168854 36852 61471 27 14 16 11 13 1 17 1
1.8 1168705 36999 61470 21 11 21 14 20 1 11 1
1.9 1169005 36699 61472 21 14 23 11 17 1 12 1
2 1169027 36675 61469 24 11 16 15 16 0 17 1
2.1 1168985 36719 61465 24 9 16 13 18 1 16 3
2.2 1167914 37782 61464 15 11 21 14 17 1 21 0
2.3 1167399 38299 61475 22 13 24 13 11 0 17 0
2.4 1166292 39404 61466 20 11 17 15 13 1 23 0
2.5 1166628 39073 61470 19 12 21 15 19 0 14 0
2.6 1168308 37402 61461 18 13 17 10 25 3 13 1
2.7 1168898 36813 61465 22 14 17 9 21 2 14 1
2.8 1169283 36425 61481 33 13 20 12 10 0 11 1
2.9 1169682 36028 61472 25 12 20 12 19 2 10 0
3 1170113 35597 61473 27 12 20 11 17 2 10 1
3.1 1170012 35699 61468 25 13 16 11 20 1 13 1
3.2 1169661 36048 61466 22 13 18 10 21 2 12 2
3.3 1169990 35718 61468 22 14 17 12 21 1 12 1
3.4 1169280 36424 61463 21 12 14 13 20 1 17 2
3.5 1169388 36315 61465 22 11 15 14 18 2 17 1
3.6 1169367 36335 61468 20 10 17 18 22 0 13 0
3.7 1169075 36632 61461 22 11 12 13 23 1 15 3
3.8 1169341 36362 61466 26 11 13 13 16 0 17 4
3.9 1169969 35741 61466 22 15 17 9 22 1 11 3
4 1169854 35851 61471 25 15 17 11 14 1 16 1
4.1 1169212 36487 61471 22 13 23 10 11 3 16 2
4.2 1169345 36356 61469 19 16 23 8 14 2 16 2
4.3 1167374 38331 61467 20 13 23 8 16 5 14 1
4.4 1167847 37855 61467 15 16 23 10 19 1 16 0
4.5 1168329 37378 61472 23 18 21 7 14 1 15 1
4.6 1168323 37382 61466 20 16 19 8 16 2 18 1
4.7 1168293 37413 61472 22 16 23 8 15 2 13 1
4.8 1167871 37834 61465 23 16 15 8 13 2 22 1
4.9 1167938 37768 61468 20 14 23 8 18 3 12 2
5 1168727 36980 61468 29 15 12 9 10 2 22 1
5.1 1168624 37080 61467 23 14 17 10 15 1 18 2
5.2 1168001 37702 61471 16 18 25 9 18 0 14 0
5.3 1168376 37332 61467 21 16 19 8 18 2 15 1
5.4 1168567 37138 61462 15 10 21 13 25 4 12 0
5.5 1167858 37838 61464 14 10 22 15 21 0 16 2
5.6 1167940 37766 61469 23 13 19 11 17 1 15 1
5.7 1168622 37091 61466 23 16 17 7 20 2 14 1
5.8 1169083 36632 61469 26 17 14 9 20 0 14 0
5.9 1169647 36063 61473 24 17 21 8 17 0 12 1
6 1169600 36113 61469 24 15 21 6 18 4 11 1
6.1 1169274 36438 61467 24 13 18 9 20 3 12 1
6.2 1169383 36328 61474 28 16 17 10 15 0 14 0
