t ca2er ca2i ip3 s000 s001 s010 s011 s100 s101 s110 s111
0 1053875 151801 61468 9 6 31 18 8 1 25 2
0.1 1078895 126780 61464 10 6 28 16 3 4 32 1
0.2 1098022 107652 61465 8 7 29 17 7 1 28 3
0.3 1114533 91144 61464 8 11 25 16 7 1 31 1
0.4 1128971 76715 61465 8 11 28 14 14 2 22 1
0.5 1142123 63568 61472 12 11 30 15 16 0 15 1
0.6 1151651 54034 61468 10 8 31 15 14 1 18 3
0.7 1157851 47833 61470 14 9 28 15 9 1 21 3
0.8 1161355 44334 61470 16 9 23 18 12 1 21 0
0.9 1162157 43533 61471 15 10 27 15 12 2 18 1
1 1163019 42674 61472 20 10 24 14 11 1 17 3
1.1 1162935 42761 61469 18 14 21 12 11 2 22 0
1.2 1164415 41281 61468 17 11 23 13 15 2 17 2
1.3 1164713 40985 61461 15 13 17 12 17 2 23 1
1.4 1166269 39428 61479 24 12 26 13 10 0 12 3
1.5 1166022 39677 61467 18 11 21 13 15 3 19 0
1.6 1165831 39871 61471 14 16 27 10 19 1 13 0
1.7 1166519 39183 61475 19 14 27 11 16 1 11 1
1.8 1167044 38661 61471 19 14 24 10 18 3 11 1
1.9 1167554 38151 61475 24 19 20 8 11 0 17 1
2 1167514 38194 61468 23 21 15 5 12 1 22 1
2.1 1166500 39206 61467 14 21 21 7 20 0 17 0
2.2 1167019 38686 61474 20 18 25 7 14 2 13 1
2.3 1167644 38065 61470 26 16 14 10 16 0 16 2
2.4 1168647 37064 61458 18 13 13 10 26 3 15 2
2.5 1169296 36412 61473 23 15 21 10 18 1 10 2
2.6 1169725 35989 61470 22 17 18 9 22 2 10 0
2.7 1169831 35880 61467 19 20 17 7 20 1 16 0
2.8 1169551 36161 61468 22 18 17 7 19 2 14 1
2.9 1169589 36119 61460 19 13 13 11 23 2 17 2
3 1169820 35890 61468 23 13 16 12 21 2 12 1
3.1 1170160 35558 61471 31 13 12 11 21 2 8 2
3.2 1170861 34857 61462 22 12 12 12 30 3 8 1
3.3 1171220 34498 61475 33 11 14 13 19 3 7 0
3.4 1170960 34752 61468 27 15 12 10 18 0 16 2
3.5 1171087 34624 61473 27 12 17 13 18 3 10 0
3.6 1170996 34715 61479 30 15 18 12 14 1 10 0
3.7 1170915 34793 61467 26 14 13 10 16 1 17 3
3.8 1170838 34877 61480 33 17 15 11 14 0 10 0
3.9 1170649 35068 61464 21 17 14 8 26 2 11 1
4 1170215 35499 61467 24 19 13 7 19 1 16 1
4.1 1169914 35801 61469 28 16 14 7 17 3 13 2
4.2 1169568 36143 61474 28 18 14 10 14 0 16 0
4.3 1168437 37270 61460 17 16 13 10 21 2 21 0
4.4 1168773 36940 61469 24 15 17 9 20 3 11 1
4.5 1169467 36247 61473 29 17 15 8 15 2 13 1
4.6 1170044 35671 61470 23 18 16 9 22 1 11 0
4.7 1170422 35293 61472 26 17 17 8 19 2 10 1
4.8 1170001 35712 61470 25 16 16 9 18 2 14 0
4.9 1169751 35968 61475 34 17 13 7 13 3 13 0
5 1170148 35573 61461 23 18 9 7 26 2 15 0
5.1 1170689 35029 61467 22 19 16 6 25 1 9 2
5.2 1170705 35009 61473 24 17 19 9 20 1 10 0
5.3 1170326 35386 61468 23 17 16 8 19 1 15 1
5.4 1170026 35686 61466 25 12 16 9 19 4 13 2
5.5 1170040 35673 61476 24 17 21 10 20 0 8 0
5.6 1170107 35604 61455 16 14 12 9 28 1 17 3
5.7 1170293 35420 61471 29 14 16 8 16 2 12 3
5.8 1170219 35492 61470 25 15 16 10 18 2 13 1
5.9 1170350 35360 61475 26 16 17 12 17 0 12 0
6 1170411 35301 61470 27 15 13 11 17 2 15 0
6.1 1170343 35364 61472 27 14 18 9 13 2 14 3
6.2 1169485 36218 61472 24 13 20 11 14 0 15 3
6.3 1169050 36654 61469 19 14 20 12 19 1 14 1
6.4 1169271 36435 61473 18 16 24 11 20 1 10 0
6.5 1169420 36290 61471 21 17 20 9 19 2 12 0
6.6 1169573 36138 61471 21 18 20 8 19 1 13 0
6.7 1169535 36174 61463 26 14 12 7 14 3 21 3
6.8 1169075 36635 61473 22 15 21 11 20 1 10 0
6.9 1169540 36173 61476 25 17 21 9 18 1 9 0
7 1169659 36053 61468 23 13 17 11 21 2 13 0
7.1 1170026 35685 61464 25 11 14 10 19 4 15 2
7.2 1169822 35891 61466 23 14 15 10 22 2 13 1
7.3 1169844 35866 61470 26 14 17 9 16 1 15 2
7.4 1169873 35836 61475 24 13 21 13 19 0 10 0
7.5 1169895 35815 61474 27 14 20 9 15 1 12 2
7.6 1169246 36463 61465 19 13 21 8 21 3 13 2
7.7 1169214 36503 61473 28 15 16 10 20 0 11 0
7.8 1170054 35659 61471 25 13 20 9 19 2 11 1
7.9 1170034 35681 61459 21 14 14 6 24 2 16 3
8 1169627 36083 61459 21 8 16 10 20 7 18 0
8.1 1169095 36617 61469 25 16 18 6 15 2 17 1
8.2 1168302 37406 61469 24 11 20 10 16 3 15 1
8.3 1168965 36743 61464 24 10 17 9 17 3 17 3
8.4 1168653 37055 61470 23 13 19 11 18 1 14 1
8.5 1168798 36912 61474 24 15 22 9 17 1 11 1
8.6 1169106 36604 61463 23 12 12 12 21 2 17 1
8.7 1169395 36318 61479 32 13 19 11 15 1 7 2
8.8 1170141 35566 61469 21 13 19 12 21 0 12 2
8.9 1169425 36280 61467 25 10 14 14 15 4 18 0
9 1168632 37078 61466 26 12 12 12 17 4 17 0
9.1 1168286 37426 61466 24 13 15 10 20 4 13 1
9.2 1168776 36933 61465 20 17 16 8 20 1 16 2
9.3 1168971 36735 61475 25 15 18 13 16 0 12 1
9.4 1168852 36854 61472 23 14 17 14 18 1 13 0
9.5 1169783 35925 61473 26 15 14 14 17 0 14 0
9.6 1170085 35623 61466 21 13 15 13 23 1 12 2
9.7 1169382 36326 61471 21 14 20 12 20 3 10 0
9.8 1169906 35806 61467 24 17 13 9 20 1 14 2
9.9 1169708 36004 61465 22 17 12 10 21 2 16 0
10 1170285 35431 61465 24 15 12 10 24 3 11 1
10.1 1170737 34977 61473 28 16 13 12 19 1 11 0
10.2 1170368 35346 61468 26 15 11 12 22 1 12 1
10.3 1170137 35569 61468 19 15 18 12 22 0 12 2
10.4 1170566 35146 61460 14 16 17 9 30 2 10 2
10.5 1170406 35307 61468 22 16 14 12 24 2 10 0
10.6 1170744 34967 61475 32 14 13 12 14 2 11 2
10.7 1171037 34674 61471 27 12 15 13 20 3 8 2
10.8 1171064 34643 61471 25 11 16 15 19 3 10 1
10.9 1170543 35161 61465 21 14 13 13 19 1 17 2
11 1169700 36005 61468 19 13 18 14 22 2 11 1
11.1 1169722 35986 61472 23 16 16 13 19 1 12 0
11.2 1170253 35455 61471 28 12 14 13 16 3 12 2
11.3 1170769 34940 61464 24 12 9 15 24 0 13 3
11.4 1170926 34781 61466 25 10 9 18 22 2 13 1
11.5 1171315 34396 61476 33 11 11 17 16 2 10 0
11.6 1171197 34514 61477 32 13 10 18 18 0 9 0
11.7 1171375 34336 61474 29 14 13 14 19 1 8 2
11.8 1171349 34360 61476 29 16 15 12 15 1 10 2
11.9 1170763 34945 61465 20 17 12 12 21 2 16 0
12 1170658 35053 61474 30 17 13 10 13 3 13 1
12.1 1170332 35376 61466 20 14 16 12 23 2 11 2
12.2 1170418 35292 61473 30 16 12 11 15 0 13 3
12.3 1170782 34930 61471 25 20 12 10 19 0 13 1
12.4 1170611 35103 61465 23 19 10 9 22 2 14 1
12.5 1170653 35053 61480 26 19 21 10 12 1 10 1
12.6 1170330 35376 61474 22 20 20 8 15 1 12 2
12.7 1169371 36332 61467 18 18 18 9 16 3 17 1
12.8 1168315 37386 61470 20 18 20 8 12 3 17 2
12.9 1166777 38925 61473 15 21 23 10 18 0 13 0
13 1167468 38230 61472 21 16 18 13 12 2 17 1
13.1 1168293 37408 61473 21 16 18 14 17 0 12 2
13.2 1168869 36830 61470 18 17 16 15 17 1 16 0
13.3 1168700 37000 61474 20 18 22 10 12 4 13 1
13.4 1167935 37764 61469 13 23 20 9 17 1 16 1
13.5 1168389 37311 61474 18 22 21 9 13 2 14 1
13.6 1167172 38528 61464 16 22 15 7 15 2 20 3
13.7 1168015 37686 61475 22 22 18 9 10 2 16 1
13.8 1167952 37747 61475 17 22 24 8 13 1 13 2
13.9 1168175 37527 61477 22 20 21 10 12 2 12 1
14 1169301 36403 61477 24 20 19 10 12 2 12 1
14.1 1169641 36064 61476 21 20 19 12 17 1 10 0
14.2 1169764 35942 61461 22 16 10 9 17 4 19 3
14.3 1169474 36228 61475 24 16 16 15 15 1 12 1
14.4 1170108 35594 61474 21 16 20 13 16 3 10 1
14.5 1170308 35392 61469 15 16 19 15 22 1 11 1
14.6 1170281 35421 61470 23 14 16 13 16 3 12 3
14.7 1170744 34961 61467 22 15 14 12 20 2 11 4
14.8 1170964 34745 61484 29 19 19 13 15 0 4 1
14.9 1170603 35103 61468 18 17 16 13 22 3 11 0
15 1170763 34946 61472 23 18 19 8 17 5 8 2
