t ca2er ca2i ip3 s000 s001 s010 s011 s100 s101 s110 s111
0 1053875 151801 61468 10 7 31 19 8 1 23 2
0.1 1082456 123221 61469 15 5 28 20 6 1 23 3
0.2 1103642 102032 61463 9 6 29 18 9 0 25 5
0.3 1123646 82035 61461 11 8 20 21 12 1 28 0
0.4 1136008 69679 61467 15 12 22 17 11 0 23 1
0.5 1147291 58402 61470 14 10 28 17 18 2 11 1
0.6 1155485 50212 61466 16 15 19 15 17 0 19 0
0.7 1161447 44252 61470 18 14 25 12 18 0 10 4
0.8 1165150 40552 61475 29 13 20 12 10 0 13 4
0.9 1167364 38344 61470 26 14 19 10 16 2 11 3
1 1168848 36860 61471 26 14 17 13 18 0 11 2
1.1 1169353 36358 61468 30 12 14 11 15 4 13 2
1.2 1169581 36128 61460 21 13 14 11 20 4 18 0
1.3 1169383 36330 61468 25 17 17 8 18 2 13 1
1.4 1169588 36124 61474 26 17 21 9 17 2 8 1
1.5 1169907 35799 61469 21 14 22 11 19 2 10 2
1.6 1169423 36284 61464 21 17 17 8 17 1 18 2
1.7 1168180 37533 61463 23 19 11 9 20 0 19 0
1.8 1168992 36721 61466 22 17 19 7 21 2 11 2
1.9 1169455 36255 61462 19 14 18 10 22 4 14 0
2 1169580 36132 61474 29 18 17 9 14 0 13 1
2.1 1169164 36549 61473 31 17 16 8 11 4 14 0
2.2 1169808 35907 61470 30 16 16 7 14 5 12 1
2.3 1170226 35490 61476 31 22 16 6 12 2 12 0
2.4 1170333 35383 61465 23 17 17 7 21 6 10 0
2.5 1170356 35363 61463 22 20 13 7 25 2 12 0
2.6 1170305 35411 61468 22 20 19 6 21 3 10 0
2.7 1170083 35631 61468 23 21 17 6 18 2 14 0
2.8 1169979 35732 61474 24 22 20 7 15 0 13 0
2.9 1169793 35917 61461 18 18 16 8 21 4 16 0
3 1169322 36384 61465 18 20 18 8 19 0 16 2
3.1 1168800 36901 61469 20 18 21 9 13 1 17 2
3.2 1167732 37971 61463 18 16 17 11 18 2 18 1
3.3 1168600 37110 61468 24 19 17 7 14 4 16 0
3.4 1168777 36928 61476 27 17 22 9 9 3 13 1
3.5 1168955 36747 61471 18 17 25 10 17 1 11 2
3.6 1169229 36477 61467 25 18 15 8 12 2 19 2
3.7 1168974 36731 61467 19 16 20 11 19 2 13 1
3.8 1168072 37629 61467 19 16 19 12 16 1 17 1
3.9 1167214 38479 61462 15 11 23 12 14 4 19 3
4 1166768 38934 61473 23 16 20 13 13 1 15 0
4.1 1167953 37755 61474 29 18 18 8 11 2 12 3
4.2 1168941 36766 61463 17 15 18 12 23 4 12 0
4.3 1169624 36081 61466 18 15 19 13 21 3 12 0
4.4 1169472 36233 61473 26 14 17 15 16 1 11 1
4.5 1170279 35430 61465 25 9 14 16 23 4 8 2
4.6 1170781 34929 61470 25 14 16 14 22 1 7 2
4.7 1170842 34864 61462 18 11 17 15 26 3 9 2
4.8 1170217 35489 61464 23 12 12 16 20 3 15 0
4.9 1170280 35422 61472 25 11 17 18 16 2 12 0
5 1170211 35494 61467 24 15 13 14 17 1 16 1
5.1 1170147 35560 61475 25 18 19 12 16 1 9 1
5.2 1169778 35928 61473 26 16 18 12 15 2 10 2
5.3 1170374 35332 61475 24 20 19 11 15 1 10 1
5.4 1169852 35851 61469 22 19 16 11 15 1 15 2
5.5 1169867 35834 61462 18 17 14 12 20 0 16 4
5.6 1169580 36119 61468 20 14 18 15 16 3 14 1
5.7 1169732 35971 61466 19 15 15 16 22 1 12 1
5.8 1169874 35827 61463 17 13 15 17 23 2 13 1
5.9 1169848 35854 61476 29 14 17 15 11 2 11 2
6 1169651 36049 61470 23 16 16 14 14 2 14 2
6.1 1170386 35317 61476 26 19 16 14 13 0 12 1
6.2 1170524 35180 61464 18 18 14 13 21 2 14 1
6.3 1170003 35704 61465 21 19 12 12 20 1 15 1
6.4 1170077 35626 61468 22 16 16 13 17 1 14 2
6.5 1169895 35806 61471 21 18 17 14 17 0 12 2
6.6 1170350 35351 61472 20 18 20 13 18 0 9 3
6.7 1170329 35370 61471 22 15 20 13 13 4 12 2
6.8 1169327 36376 61468 22 18 14 13 16 2 15 1
6.9 1170005 35699 61465 21 15 14 14 19 4 13 1
7 1169881 35816 61471 25 13 14 18 13 1 15 2
7.1 1169767 35933 61474 25 14 20 14 13 2 10 3
7.2 1169666 36034 61474 27 13 16 17 12 2 13 1
7.3 1169658 36048 61469 31 13 9 15 13 4 14 2
7.4 1170317 35387 61476 28 17 15 15 13 1 11 1
7.5 1169949 35750 61460 20 12 13 14 17 5 17 3
