t ca2er ca2i ip3 s000 s001 s010 s011 s100 s101 s110 s111
0 1053875 151801 61468 9 6 29 20 8 1 25 2
0.1 1080208 125473 61469 14 6 25 20 8 1 24 2
0.2 1103741 101937 61466 7 7 31 17 11 0 23 4
0.3 1122314 83370 61473 13 9 29 18 9 0 21 1
0.4 1137018 68666 61470 12 8 27 19 11 0 22 1
0.5 1147868 57818 61470 16 8 25 17 9 1 21 3
0.6 1154799 50890 61463 13 9 23 14 14 0 22 5
0.7 1159176 46515 61474 14 9 30 17 14 1 14 1
0.8 1162672 43022 61471 16 10 27 14 13 2 16 2
0.9 1164993 40707 61470 18 11 24 13 15 3 15 1
1 1165822 39880 61471 18 13 22 14 17 1 15 0
1.1 1166487 39217 61467 19 13 17 14 19 0 17 1
1.2 1167759 37948 61466 23 15 11 13 16 0 22 0
1.3 1168143 37561 61468 18 14 18 14 19 0 17 0
1.4 1168397 37311 61474 25 16 19 10 13 2 14 1
1.5 1168542 37163 61472 22 15 21 10 14 1 15 2
1.6 1168498 37203 61473 26 12 17 14 9 1 20 1
1.7 1167046 38652 61468 16 9 22 17 18 2 16 0
1.8 1166791 38911 61477 22 13 23 15 14 0 13 0
1.9 1167221 38484 61476 25 14 22 11 12 1 13 2
2 1166984 38716 61468 17 11 23 13 17 2 15 2
2.1 1167236 38465 61471 18 14 22 13 16 0 16 1
2.2 1167316 38389 61476 21 16 26 9 14 1 11 2
2.3 1168575 37137 61471 25 15 19 8 16 3 12 2
2.4 1169091 36619 61474 24 17 20 9 15 1 13 1
2.5 1169342 36373 61475 27 18 19 7 15 2 11 1
2.6 1169617 36101 61464 23 20 13 4 19 3 17 1
2.7 1169710 36003 61473 30 18 17 4 8 5 16 2
2.8 1168326 37387 61476 24 21 23 4 13 3 11 1
2.9 1168693 37021 61480 25 20 24 7 15 2 7 0
3 1169093 36617 61470 25 18 16 7 12 2 19 1
3.1 1168456 37251 61464 15 15 20 10 22 2 15 1
3.2 1169128 36586 61468 23 16 15 10 22 0 12 2
3.3 1169750 35964 61472 31 15 12 10 13 2 16 1
3.4 1169835 35878 61468 26 15 15 8 16 2 16 2
3.5 1169900 35811 61471 21 13 21 12 21 2 10 0
3.6 1169261 36454 61468 29 15 11 9 15 2 18 1
3.7 1169171 36540 61463 19 16 16 8 21 1 17 2
3.8 1169345 36359 61472 21 11 21 15 18 1 12 1
3.9 1169360 36349 61464 17 12 18 13 26 1 11 2
4 1170145 35566 61469 28 11 13 13 17 2 14 2
4.1 1170156 35560 61458 24 14 8 8 22 3 18 3
4.2 1169343 36371 61470 25 14 17 10 20 2 10 2
4.3 1169923 35791 61463 26 13 10 10 20 2 16 3
4.4 1169768 35946 61469 24 15 15 11 20 2 13 0
4.5 1169630 36084 61476 28 18 18 8 14 1 12 1
4.6 1168628 37086 61472 22 18 19 9 20 1 11 0
4.7 1169129 36583 61472 29 14 11 14 16 1 15 0
4.8 1169890 35823 61465 22 11 13 15 26 2 10 1
4.9 1170054 35652 61467 24 9 12 18 20 1 15 1
5 1170540 35172 61468 25 10 13 16 22 3 11 0
5.1 1170576 35139 61470 27 13 16 10 20 3 8 3
5.2 1170432 35274 61466 21 12 14 15 20 2 15 1
5.3 1170102 35599 61467 19 9 19 16 19 3 13 2
5.4 1169811 35897 61467 23 16 14 10 18 0 15 4
5.5 1169674 36033 61475 24 17 19 11 14 1 13 1
5.6 1169355 36349 61466 20 14 15 13 16 3 19 0
5.7 1168697 37010 61466 18 17 17 10 19 3 15 1
5.8 1167965 37735 61466 15 17 20 10 17 1 17 3
5.9 1167326 38371 61464 20 11 13 16 12 4 24 0
6 1167755 37943 61470 18 11 21 16 17 2 13 2
6.1 1168371 37327 61476 22 10 21 19 14 2 12 0
6.2 1169048 36650 61470 19 11 19 17 17 1 14 2
6.3 1168608 37090 61466 20 12 12 18 16 0 21 1
6.4 1168452 37249 61469 21 10 19 15 18 2 11 4
6.5 1169316 36387 61462 22 12 8 16 19 0 20 3
6.6 1169521 36182 61463 19 11 13 16 22 1 15 3
6.7 1169427 36279 61469 21 10 16 18 23 2 9 1
6.8 1170107 35600 61470 23 13 14 16 20 1 12 1
6.9 1170290 35419 61461 20 12 10 15 25 2 14 2
7 1170582 35130 61465 25 14 9 13 23 0 12 4
7.1 1170961 34751 61471 29 9 11 18 21 3 8 1
7.2 1171315 34395 61472 28 9 14 17 19 3 9 1
7.3 1171144 34573 61472 28 13 13 14 23 2 6 1
7.4 1171430 34291 61462 25 14 6 13 30 1 9 2
7.5 1171673 34049 61471 32 14 8 13 23 3 6 1
7.6 1171773 33946 61472 34 15 6 13 19 1 10 2
7.7 1171842 33880 61470 32 16 6 12 23 1 8 2
7.8 1171802 33917 61468 28 15 6 15 25 1 10 0
7.9 1171873 33847 61479 33 19 11 12 18 0 7 0
8 1171910 33810 61461 21 16 8 12 31 2 9 1
8.1 1171700 34018 61475 30 19 13 9 18 1 8 2
8.2 1171734 33984 61470 26 17 14 9 21 4 8 1
8.3 1170855 34862 61464 25 19 11 5 17 5 17 1
8.4 1170414 35298 61468 21 17 17 9 20 3 12 1
8.5 1170244 35464 61468 20 14 19 11 19 3 13 1
8.6 1170034 35677 61476 28 15 21 8 14 2 8 4
8.7 1170166 35549 61468 20 18 16 10 25 1 9 1
8.8 1170498 35214 61471 25 16 14 12 19 0 13 1
8.9 1170619 35089 61469 24 9 16 16 20 3 11 1
9 1170604 35105 61467 21 14 15 13 21 0 15 1
9.1 1170171 35539 61467 19 15 17 12 23 0 13 1
9.2 1169676 36034 61469 16 15 22 12 25 1 9 0
9.3 1169486 36225 61470 22 18 17 9 18 1 14 1
9.4 1169338 36373 61471 24 16 17 10 18 1 12 2
9.5 1169509 36203 61462 21 15 13 9 22 2 15 3
9.6 1169972 35741 61472 24 18 17 9 18 1 12 1
9.7 1170079 35633 61471 24 16 17 10 18 2 12 1
9.8 1170307 35406 61472 23 17 19 9 20 2 8 2
9.9 1170161 35551 61465 20 19 15 7 19 3 16 1
10 1170028 35680 61482 22 19 26 11 16 0 6 0
10.1 1169065 36640 61470 19 16 23 8 16 3 12 3
10.2 1169384 36322 61482 28 17 21 12 9 1 12 0
10.3 1170014 35697 61479 29 17 19 10 13 1 9 2
10.4 1170561 35157 61473 27 18 16 8 19 3 8 1
10.5 1171035 34687 61469 24 20 13 8 27 0 6 2
10.6 1170869 34846 61474 30 16 13 11 16 2 11 1
10.7 1170748 34966 61472 30 14 12 12 16 3 12 1
10.8 1170486 35225 61467 26 12 15 10 19 3 10 5
10.9 1170590 35119 61467 26 11 10 16 19 2 15 1
11 1170723 34988 61476 31 11 13 17 16 2 10 0
11.1 1170912 34795 61463 22 11 13 13 22 1 13 5
11.2 1170449 35252 61468 19 9 18 18 21 1 12 2
11.3 1170581 35116 61471 16 11 22 18 20 0 11 2
11.4 1170212 35492 61464 19 11 12 18 22 2 16 0
11.5 1170312 35392 61471 24 11 15 17 18 1 12 2
11.6 1170650 35059 61472 25 12 16 15 20 2 8 2
11.7 1170677 35033 61468 24 12 14 14 20 4 11 1
11.8 1170866 34845 61478 32 14 13 15 13 2 11 0
11.9 1170103 35603 61468 21 14 14 15 19 2 15 0
12 1170332 35377 61477 26 15 19 13 16 2 8 1
12.1 1170460 35246 61479 25 16 22 12 14 0 9 2
12.2 1170383 35327 61471 21 15 18 13 22 0 10 1
12.3 1170672 35042 61478 26 17 21 10 18 1 6 1
12.4 1170617 35093 61470 27 12 15 12 15 4 14 1
12.5 1170583 35130 61469 30 13 13 9 15 3 13 4
12.6 1170551 35157 61467 22 11 16 14 21 2 12 2
12.7 1170364 35346 61473 25 14 16 14 18 1 12 0
12.8 1169551 36159 61473 25 14 20 10 16 2 11 2
12.9 1169479 36230 61455 14 11 15 11 28 3 15 3
13 1169139 36571 61469 19 15 19 12 22 1 12 0
13.1 1169151 36556 61465 24 12 10 15 17 1 21 0
13.2 1169330 36382 61474 30 11 15 14 17 1 10 2
13.3 1169567 36137 61468 25 8 14 17 17 1 16 2
13.4 1169443 36264 61469 21 10 18 16 22 1 11 1
13.5 1169414 36296 61474 29 11 17 13 16 1 10 3
13.6 1170332 35377 61474 25 11 19 15 19 1 9 1
13.7 1169000 36708 61470 24 13 16 13 17 0 16 1
13.8 1169621 36092 61473 26 12 20 11 18 3 9 1
13.9 1169749 35963 61470 23 14 18 11 20 1 12 1
14 1169909 35808 61471 30 16 13 8 16 1 14 2
14.1 1170007 35711 61463 24 11 15 9 24 5 10 2
14.2 1169862 35854 61467 25 15 12 11 21 1 15 0
14.3 1169793 35919 61465 26 11 15 9 16 4 17 2
14.4 1168670 37041 61477 27 15 22 9 12 2 13 0
14.5 1168608 37100 61468 27 10 17 10 13 3 17 3
14.6 1168380 37329 61462 21 12 14 11 20 1 19 2
14.7 1168433 37286 61464 27 14 11 8 20 2 17 1
14.8 1169063 36655 61475 31 17 16 7 13 1 15 0
14.9 1169290 36425 61464 25 10 15 10 20 4 15 1
15 1168902 36819 61470 29 14 17 6 17 4 13 0
15.1 1169720 35997 61469 28 15 17 5 15 3 15 2
15.2 1169939 35779 61474 26 14 22 8 20 2 7 1
15.3 1169792 35923 61466 27 14 14 7 16 2 18 2
15.4 1169146 36571 61470 27 14 16 9 19 2 12 1
15.5 1169311 36403 61464 22 14 14 10 22 2 15 1
15.6 1169168 36542 61464 20 13 17 10 22 1 14 3
15.7 1169277 36435 61460 22 10 14 10 22 3 16 3
15.8 1169670 36046 61474 27 14 20 9 18 0 11 1
15.9 1169402 36310 61471 24 11 22 10 19 1 11 2
16 1169038 36672 61476 26 13 23 10 14 0 13 1
16.1 1168616 37094 61468 24 9 20 11 17 3 15 1
16.2 1168470 37243 61468 19 12 23 10 25 0 9 2
16.3 1168533 37178 61470 23 14 21 8 17 0 15 2
16.4 1168908 36808 61470 28 13 17 8 17 1 14 2
16.5 1169425 36294 61470 30 12 14 10 18 1 15 0
16.6 1169930 35787 61466 27 10 13 12 21 1 16 0
16.7 1169925 35794 61462 23 12 14 9 26 0 14 2
16.8 1170469 35252 61465 29 10 11 11 23 1 14 1
16.9 1170538 35180 61469 25 10 18 12 24 1 10 0
17 1169915 35802 61465 28 13 11 9 18 0 20 1
17.1 1169431 36292 61479 35 14 19 7 15 1 8 1
17.2 1170067 35659 61464 28 11 14 7 25 4 10 1
17.3 1170360 35363 61467 30 11 14 8 22 2 11 2
17.4 1170595 35126 61465 22 14 19 6 26 0 11 2
17.5 1170129 35594 61464 22 13 18 7 28 1 10 1
17.6 1170203 35517 61468 28 12 16 8 19 2 15 0
17.7 1169049 36661 61471 25 9 22 11 17 1 13 2
17.8 1168998 36712 61471 24 11 20 12 18 0 14 1
17.9 1169032 36677 61469 21 10 21 13 20 1 14 0
18 1168799 36908 61468 22 9 23 10 17 2 14 3
18.1 1168501 37209 61464 23 11 17 9 18 1 18 3
18.2 1168654 37062 61471 30 10 14 13 19 0 13 1
18.3 1169307 36415 61468 31 10 14 9 21 2 11 2
18.4 1170009 35710 61469 28 12 15 10 21 0 13 1
18.5 1169954 35762 61467 27 10 17 9 20 1 13 3
18.6 1170092 35625 61469 28 10 14 13 21 0 14 0
18.7 1169775 35940 61464 24 11 15 10 21 1 17 1
18.8 1169364 36351 61470 21 11 23 11 25 0 8 1
18.9 1168841 36868 61469 27 9 16 13 15 0 19 1
19 1168897 36820 61471 30 8 18 11 20 0 10 3
19.1 1169189 36528 61470 28 9 17 12 21 0 12 1
19.2 1169475 36242 61463 21 10 18 10 26 1 13 1
19.3 1168948 36765 61468 27 8 16 13 18 1 17 0
19.4 1168866 36849 61467 24 8 22 9 22 2 10 3
19.5 1169133 36587 61466 30 12 14 6 17 2 17 2
19.6 1168489 37229 61464 24 11 18 7 21 3 15 1
19.7 1169042 36673 61465 20 9 23 9 24 3 11 1
19.8 1168665 37045 61471 26 10 19 12 15 1 17 0
19.9 1168107 37606 61473 26 11 21 11 17 1 13 0
20 1168548 37166 61460 22 10 15 9 22 2 18 2
20.1 1167718 37991 61472 25 10 21 12 15 1 16 0
20.2 1168333 37382 61465 22 11 20 8 23 1 12 3
20.3 1168730 36988 61464 22 13 18 7 24 1 13 2
20.4 1169362 36357 61476 30 13 22 7 16 2 9 1
20.5 1169392 36327 61465 20 13 22 6 26 1 10 2
20.6 1168854 36866 61463 25 13 15 6 20 2 19 0
20.7 1169087 36632 61463 22 14 19 4 20 3 18 0
20.8 1168172 37540 61466 20 13 22 7 18 2 18 0
20.9 1168046 37667 61470 24 11 22 9 18 1 14 1
21 1168295 37418 61475 28 9 23 11 15 2 12 0
21.1 1168111 37602 61464 20 9 20 11 24 1 14 1
21.2 1167991 37724 61465 23 8 19 11 23 2 13 1
21.3 1167858 37859 61464 25 11 15 9 20 2 18 0
21.4 1168491 37228 61467 25 13 19 6 21 1 13 2
21.5 1168098 37618 61466 25 13 15 9 19 0 19 0
21.6 1167291 38425 61475 26 14 23 8 17 0 12 0
21.7 1168017 37699 61472 29 14 18 7 14 0 17 1
21.8 1168653 37068 61472 26 14 22 6 20 2 10 0
21.9 1169230 36492 61464 23 11 16 10 28 1 11 0
22 1169464 36257 61467 26 9 19 9 23 4 10 0
22.1 1170135 35590 61462 25 12 15 6 27 2 11 2
22.2 1169292 36428 61464 26 13 14 7 21 1 17 1
22.3 1169245 36477 61474 28 16 20 6 19 0 11 0
22.4 1169182 36540 61458 20 12 15 7 29 2 14 1
22.5 1169646 36074 61471 30 12 15 10 19 0 14 0
22.6 1169801 35916 61467 21 13 20 9 24 0 13 0
22.7 1169313 36401 61465 20 9 22 10 24 2 12 1
22.8 1169186 36527 61465 21 8 19 13 24 0 15 0
22.9 1169508 36205 61465 24 8 18 11 20 1 17 1
23 1168987 36725 61477 23 12 30 8 17 0 9 1
23.1 1167313 38398 61462 17 13 22 6 20 1 20 1
23.2 1166664 39052 61473 23 14 25 7 19 0 12 0
23.3 1167267 38449 61468 25 12 20 7 17 2 17 0
23.4 1167876 37839 61477 31 12 22 8 12 0 14 1
23.5 1166886 38826 61468 27 13 17 7 13 0 21 2
23.6 1167378 38337 61469 24 16 18 7 17 0 18 0
23.7 1168093 37626 61466 23 16 19 4 21 1 14 2
23.8 1169375 36346 61473 27 16 20 6 19 0 12 0
23.9 1169425 36290 61460 19 12 20 5 22 4 16 2
24 1168594 37117 61472 26 13 21 8 12 2 18 0
24.1 1167850 37868 61468 25 10 22 7 19 6 11 0
24.2 1169328 36389 61479 30 14 24 7 14 1 9 1
24.3 1168529 37188 61476 26 15 24 7 17 1 10 0
24.4 1168080 37639 61460 21 15 15 5 22 3 19 0
24.5 1168793 36925 61477 32 14 20 7 13 1 12 1
24.6 1168686 37033 61463 27 12 12 8 19 3 19 0
24.7 1169138 36583 61473 26 17 20 6 20 0 11 0
24.8 1168155 37562 61468 27 15 16 6 16 2 17 1
24.9 1168633 37082 61473 27 15 20 7 16 0 13 2
25 1168711 37001 61469 21 14 20 10 20 0 15 0
25.1 1168855 36855 61472 21 14 23 10 19 0 12 1
25.2 1168272 37435 61469 17 12 25 11 20 2 13 0
25.3 1167127 38581 61469 25 14 15 11 13 0 22 0
25.4 1167691 38022 61467 23 9 21 10 21 4 10 2
25.5 1168568 37149 61469 27 17 16 5 16 1 16 2
25.6 1168432 37285 61469 27 16 15 7 17 1 16 1
25.7 1167879 37839 61471 30 16 13 8 15 1 17 0
25.8 1168764 36957 61481 33 15 20 9 16 1 6 0
25.9 1168681 37037 61466 27 14 13 8 19 1 17 1
26 1168441 37270 61471 25 9 21 12 18 3 11 1
26.1 1169082 36632 61464 23 7 19 11 23 3 12 2
26.2 1168735 36978 61470 25 9 21 11 18 2 14 0
26.3 1169098 36617 61464 21 11 18 10 23 1 16 0
26.4 1169496 36216 61471 20 11 27 9 21 1 10 1
26.5 1168249 37460 61470 21 13 24 8 16 0 17 1
26.6 1167350 38366 61462 22 14 17 5 20 1 19 2
26.7 1167220 38495 61467 24 12 22 5 15 5 17 0
26.8 1167887 37831 61470 25 17 20 4 16 1 17 0
26.9 1167691 38028 61468 18 16 26 4 24 2 10 0
27 1167906 37814 61474 29 16 19 6 16 0 14 0
27.1 1168748 36976 61460 21 15 17 3 27 3 12 2
27.2 1169326 36398 61465 30 14 11 6 19 3 17 0
27.3 1170092 35633 61468 26 14 18 6 26 1 7 2
27.4 1170309 35416 61468 27 12 16 9 26 2 8 0
27.5 1170668 35055 61475 29 14 21 7 21 1 6 1
27.6 1170149 35573 61471 30 14 16 7 19 1 12 1
27.7 1170061 35661 61472 31 12 19 6 18 2 10 2
27.8 1170278 35443 61473 27 14 23 5 20 1 8 2
27.9 1169937 35789 61468 29 14 15 6 22 2 12 0
28 1169775 35945 61470 25 15 20 6 21 0 12 1
28.1 1169685 36033 61464 22 12 21 5 23 2 12 3
28.2 1169453 36265 61468 26 11 19 8 20 2 13 1
28.3 1169235 36480 61470 27 11 19 9 17 1 15 1
28.4 1169895 35826 61473 32 13 17 7 15 2 14 0
28.5 1169902 35819 61466 22 13 22 5 24 3 10 1
28.6 1169768 35955 61472 29 14 21 4 18 3 10 1
28.7 1169140 36579 61460 23 12 14 7 22 3 19 0
28.8 1169154 36566 61467 26 14 16 7 20 1 16 0
28.9 1168546 37172 61465 25 14 16 6 18 2 19 0
29 1167902 37817 61471 27 14 21 5 16 2 15 0
29.1 1167547 38170 61470 25 17 21 3 15 0 18 1
29.2 1167915 37801 61461 20 13 20 4 20 3 19 1
29.3 1168425 37289 61476 24 14 29 5 14 2 12 0
29.4 1167608 38109 61471 28 12 23 4 12 5 16 0
29.5 1168110 37613 61462 24 14 17 3 22 3 16 1
29.6 1168874 36852 61473 35 15 14 5 15 1 15 0
29.7 1169658 36064 61466 20 17 21 4 25 0 13 0
29.8 1168624 37091 61463 20 13 21 5 19 2 20 0
29.9 1167222 38493 61459 21 12 18 4 17 4 24 0
30 1166652 39068 61467 25 13 19 6 20 1 16 0
30.1 1167795 37924 61466 27 11 19 5 18 2 16 2
30.2 1167707 38012 61466 25 14 17 6 19 0 19 0
30.3 1166913 38807 61464 24 12 19 5 20 3 17 0
30.4 1167425 38295 61466 24 14 20 4 20 0 17 1
30.5 1167478 38237 61475 27 10 27 7 14 2 13 0
30.6 1167234 38481 61463 23 9 21 6 19 2 18 2
30.7 1167700 38020 61463 21 8 20 10 28 2 11 0
30.8 1168913 36812 61464 28 9 14 9 25 2 13 0
30.9 1169142 36580 61469 27 8 22 8 22 4 9 0
31 1169234 36482 61461 22 11 16 8 22 0 20 1
31.1 1168085 37633 61468 30 10 19 5 14 3 17 2
31.2 1167116 38596 61462 19 11 21 7 19 1 22 0
31.3 1165658 40058 61462 23 11 19 5 17 3 22 0
31.4 1165653 40068 61469 23 13 24 5 22 1 12 0
31.5 1166695 39025 61469 24 13 23 5 20 1 14 0
31.6 1167724 37999 61458 21 12 17 4 27 1 16 2
31.7 1167403 38314 61473 26 12 25 6 16 0 15 0
31.8 1167392 38328 61463 23 9 21 6 23 2 15 1
31.9 1168119 37599 61472 30 12 20 6 14 0 17 1
32 1167902 37814 61470 26 8 21 11 20 0 14 0
32.1 1168169 37551 61457 24 6 13 10 26 2 18 1
