t ca2er ca2i ip3 s000 s001 s010 s011 s100 s101 s110 s111
0 1053875 151801 61468 10 7 27 22 8 1 22 3
0.1 1080883 124795 61466 13 7 21 23 7 1 26 2
0.2 1105936 99747 61474 15 12 27 18 5 1 20 2
0.3 1123983 81696 61471 11 9 29 20 9 0 18 4
0.4 1138146 67533 61472 12 8 27 23 8 2 19 1
0.5 1148541 57136 61465 9 12 24 18 7 0 26 4
0.6 1152822 52858 61469 13 10 24 20 6 2 23 2
0.7 1157178 48505 61470 11 13 28 16 8 2 19 3
0.8 1159035 46649 61469 14 11 23 19 7 2 23 1
0.9 1161133 44556 61464 14 12 21 15 11 1 22 4
1 1162211 43484 61472 21 13 21 15 9 1 17 3
1.1 1165780 39917 61477 23 10 23 19 12 1 10 2
1.2 1167391 38313 61468 18 14 19 15 19 2 12 1
1.3 1168270 37437 61470 20 17 19 12 17 2 12 1
1.4 1169009 36703 61461 20 16 9 14 23 2 16 0
1.5 1169932 35777 61469 23 14 16 14 18 3 11 1
1.6 1169731 35980 61465 21 17 13 12 20 2 14 1
1.7 1170102 35612 61472 31 17 10 12 13 2 14 1
1.8 1170384 35329 61463 26 12 11 12 20 4 11 4
1.9 1170594 35119 61472 29 16 13 12 15 3 10 2
2 1170825 34889 61476 30 16 15 13 15 3 7 1
2.1 1171061 34654 61469 25 17 13 12 20 2 10 1
2.2 1171088 34623 61466 24 12 12 16 21 2 12 1
2.3 1170650 35056 61465 23 12 13 15 17 2 16 2
2.4 1170797 34913 61478 25 15 21 15 18 0 5 1
2.5 1170837 34877 61468 27 14 13 12 18 3 11 2
2.6 1170565 35146 61481 29 17 20 13 12 1 8 0
2.7 1170745 34971 61474 29 15 14 14 18 2 8 0
2.8 1170831 34877 61466 21 15 16 12 20 0 12 4
2.9 1170448 35259 61473 26 11 18 16 16 2 9 2
3 1170593 35123 61473 28 16 15 12 17 2 10 0
3.1 1170362 35350 61462 19 18 14 9 21 1 16 2
3.2 1169762 35945 61467 18 15 21 11 18 3 13 1
3.3 1169469 36236 61468 22 17 18 9 12 1 18 3
3.4 1168159 37547 61473 24 17 16 14 13 0 16 0
3.5 1168773 36935 61470 16 18 21 13 22 0 10 0
3.6 1169278 36428 61472 20 16 21 13 17 1 11 1
3.7 1168820 36883 61478 23 13 24 16 14 1 8 1
3.8 1168876 36833 61463 24 16 10 11 16 1 19 3
3.9 1169425 36281 61465 16 15 17 15 23 0 13 1
4 1170043 35668 61469 23 17 17 10 17 2 12 2
4.1 1170029 35681 61462 20 14 14 12 20 4 15 1
4.2 1170035 35676 61463 20 13 14 14 22 4 13 0
4.3 1170321 35389 61474 27 17 18 10 12 1 13 2
4.4 1170163 35554 61466 26 17 11 10 20 1 13 2
4.5 1170591 35127 61471 27 16 14 12 21 1 8 1
4.6 1170866 34852 61464 21 19 14 8 23 2 12 1
4.7 1170587 35127 61471 23 18 19 9 18 2 10 1
4.8 1170341 35370 61470 22 17 18 11 18 1 12 1
4.9 1169903 35806 61465 18 15 20 10 21 1 12 3
5 1170009 35701 61472 25 14 18 13 15 1 14 0
5.1 1170329 35380 61475 24 14 22 13 16 0 10 1
5.2 1170053 35656 61468 25 10 17 14 17 2 13 2
5.3 1170575 35140 61470 25 14 16 13 21 0 10 1
5.4 1170741 34974 61470 23 12 20 13 23 2 6 1
5.5 1170944 34773 61467 25 14 14 12 22 1 11 1
5.6 1170739 34977 61465 25 13 12 13 21 1 15 0
5.7 1170494 35221 61467 22 13 20 10 23 1 8 3
5.8 1170221 35497 61472 30 11 18 11 17 3 9 1
5.9 1169947 35767 61466 24 13 16 11 19 1 15 1
6 1170160 35558 61469 24 17 19 7 19 1 12 1
6.1 1170257 35463 61470 29 14 15 10 19 1 11 1
6.2 1170489 35228 61461 21 15 14 9 24 0 15 2
6.3 1170334 35380 61466 25 12 16 11 18 2 15 1
6.4 1170105 35606 61471 25 15 19 10 14 0 16 1
6.5 1169990 35724 61462 20 14 15 11 22 2 16 0
6.6 1170153 35561 61464 19 13 17 13 26 1 10 1
