t ca2er ca2i ip3 s000 s001 s010 s011 s100 s101 s110 s111
0 1053875 151801 61468 10 6 30 19 8 1 24 2
0.1 1078038 127638 61476 9 11 36 17 5 0 22 0
0.2 1100422 105254 61471 9 10 34 15 6 0 23 3
0.3 1119063 86615 61472 11 7 33 18 7 2 21 1
0.4 1133085 72596 61471 11 10 30 17 9 0 22 1
0.5 1144734 60951 61469 16 7 28 15 8 3 20 3
0.6 1152840 52848 61466 14 8 26 15 12 3 20 2
0.7 1158429 47264 61462 13 13 23 10 15 1 21 4
0.8 1162872 42828 61474 22 13 26 10 11 3 13 2
0.9 1164999 40704 61464 19 13 18 11 17 3 18 1
1 1166040 39667 61466 21 16 17 9 18 1 16 2
1.1 1166919 38789 61473 21 19 22 8 17 0 12 1
1.2 1167749 37957 61471 21 17 19 11 17 0 15 0
1.3 1167920 37782 61467 19 14 20 11 17 1 16 2
1.4 1168007 37694 61472 20 16 23 10 13 1 16 1
1.5 1168211 37487 61481 23 16 29 10 8 0 12 2
1.6 1167258 38442 61469 18 16 23 9 14 1 17 2
1.7 1166808 38890 61462 12 16 24 7 16 3 20 2
1.8 1166325 39377 61464 20 15 19 7 13 3 20 3
1.9 1165933 39768 61466 15 17 21 10 17 1 19 0
2 1166944 38756 61459 14 10 20 12 20 5 18 1
2.1 1167920 37782 61477 27 17 20 10 7 0 18 1
2.2 1167701 38004 61472 24 11 21 13 16 4 10 1
2.3 1167849 37857 61467 24 15 15 10 16 0 17 3
2.4 1168289 37418 61469 26 15 15 10 13 2 18 1
2.5 1167647 38058 61462 21 12 15 11 18 3 18 2
2.6 1167694 38013 61472 24 14 18 13 17 1 13 0
2.7 1168637 37073 61466 20 16 17 10 21 2 14 0
2.8 1169095 36614 61463 22 17 13 8 18 1 19 2
2.9 1167947 37760 61461 18 16 16 8 19 3 19 1
3 1168562 37145 61475 27 13 24 8 12 4 9 3
3.1 1168528 37181 61466 22 16 17 8 16 4 17 0
3.2 1168914 36794 61468 22 19 15 9 16 0 19 0
3.3 1168056 37656 61467 23 15 15 11 21 1 14 0
3.4 1169187 36528 61471 25 17 17 9 21 0 10 1
3.5 1169950 35761 61473 25 15 20 10 18 1 10 1
3.6 1170207 35503 61469 22 12 20 12 21 3 10 0
3.7 1169684 36025 61471 26 13 18 11 16 2 13 1
3.8 1169498 36211 61463 23 15 14 8 17 2 19 2
3.9 1169195 36511 61467 28 10 12 14 14 2 19 1
4 1169165 36544 61466 21 11 17 14 24 1 11 1
