t ca2er ca2i ip3 s000 s001 s010 s011 s100 s101 s110 s111
0 1053875 151801 61468 10 4 35 13 8 1 28 1
0.1 1073613 132064 61465 9 6 33 11 9 1 29 2
0.2 1091317 114361 61461 10 9 27 9 8 0 34 3
0.3 1110332 95351 61467 9 6 32 14 16 1 22 0
0.4 1127826 77863 61468 13 9 29 11 16 0 21 1
0.5 1139231 66461 61468 17 11 25 9 12 1 25 0
0.6 1148885 56812 61464 16 12 22 8 18 0 23 1
0.7 1155546 50155 61469 21 11 23 8 16 2 19 0
0.8 1160075 45628 61475 26 12 25 6 13 1 15 2
0.9 1162897 42808 61467 24 10 18 9 18 2 19 0
1 1164365 41338 61462 18 9 20 9 23 2 18 1
1.1 1166357 39349 61470 27 8 17 12 19 1 16 0
1.2 1167675 38034 61468 33 8 12 9 14 3 20 1
1.3 1167342 38365 61474 29 11 20 8 15 1 15 1
1.4 1166944 38760 61462 21 12 15 8 19 1 24 0
1.5 1167645 38063 61473 27 12 21 7 17 1 14 1
1.6 1168556 37154 61467 24 12 17 8 22 1 16 0
1.7 1168974 36731 61468 19 10 23 10 25 0 12 1
1.8 1169406 36303 61475 25 11 23 10 22 0 9 0
1.9 1169414 36295 61469 25 8 19 11 23 2 12 0
2 1169364 36343 61463 26 6 12 13 23 1 18 1
2.1 1168753 36951 61463 17 6 19 15 30 0 13 0
2.2 1169159 36552 61473 31 9 16 11 19 0 14 0
2.3 1169610 36101 61471 30 7 18 10 20 1 13 1
2.4 1169198 36510 61466 23 8 18 11 24 0 16 0
2.5 1169353 36353 61469 27 5 20 11 20 1 14 2
2.6 1169330 36375 61475 34 4 19 12 13 0 16 2
2.7 1168841 36870 61463 24 6 17 10 27 0 14 2
2.8 1168987 36723 61465 23 8 19 9 24 1 16 0
2.9 1169307 36404 61461 26 8 14 7 22 1 20 2
3 1167578 38124 61465 24 5 19 11 18 1 21 1
3.1 1167214 38495 61472 28 7 22 9 18 2 14 0
3.2 1165966 39744 61469 29 9 20 5 17 1 16 3
3.3 1167325 38393 61469 26 10 20 7 27 1 9 0
3.4 1168698 37019 61470 29 12 18 5 21 0 15 0
3.5 1169016 36700 61469 28 9 21 5 21 3 13 0
3.6 1169171 36544 61471 33 10 17 5 15 3 17 0
3.7 1168419 37296 61464 28 12 14 4 20 1 20 1
3.8 1168208 37502 61476 30 12 22 6 14 1 15 0
3.9 1168306 37402 61475 23 17 26 3 16 0 15 0
4 1167341 38366 61470 19 14 26 5 21 1 14 0
4.1 1167154 38547 61471 20 10 26 9 19 0 15 1
4.2 1165806 39900 61472 21 9 26 10 23 1 10 0
4.3 1167531 38179 61473 30 10 20 7 16 1 15 1
4.4 1167715 37989 61468 23 10 21 8 17 1 20 0
4.5 1164907 40798 61462 17 12 23 4 22 1 19 2
4.6 1166084 39626 61466 22 13 21 4 21 1 17 1
4.7 1167873 37840 61467 26 12 19 4 20 2 16 1
4.8 1167697 38011 61466 19 14 22 5 22 0 18 0
4.9 1166926 38784 61476 31 13 21 5 12 1 17 0
5 1167366 38345 61468 24 14 19 5 20 0 18 0
5.1 1166344 39364 61468 26 12 19 5 16 1 20 1
5.2 1166344 39364 61468 25 10 21 6 18 2 17 1
5.3 1165172 40532 61469 24 9 21 9 18 0 18 1
5.4 1166579 39123 61473 21 11 26 9 18 0 15 0
5.5 1167068 38634 61458 16 7 21 8 25 2 18 3
5.6 1167021 38686 61466 20 9 20 11 26 0 14 0
5.7 1167207 38493 61473 23 7 26 11 17 1 14 1
5.8 1166076 39623 61465 22 7 18 12 18 1 21 1
5.9 1166832 38865 61472 22 7 25 12 17 0 15 2
6 1167128 38573 61451 12 8 16 9 28 2 23 2
6.1 1166434 39268 61474 18 12 30 8 21 0 10 1
6.2 1165709 39993 61469 18 11 28 6 20 2 13 2
6.3 1166126 39576 61468 22 10 21 9 17 2 19 0
6.4 1167568 38138 61469 23 11 21 8 20 1 15 1
6.5 1168082 37628 61474 23 9 27 9 24 3 5 0
6.6 1168947 36763 61471 28 8 18 11 22 1 11 1
6.7 1169055 36650 61470 25 10 18 11 19 0 17 0
6.8 1169175 36536 61474 27 12 20 9 22 0 9 1
6.9 1169853 35857 61470 25 13 18 8 22 1 12 1
7 1169791 35920 61473 27 11 19 10 22 2 9 0
7.1 1169548 36156 61476 24 12 23 11 19 0 11 0
7.2 1168687 37017 61465 21 13 15 10 21 0 20 0
7.3 1168984 36724 61471 24 12 19 10 23 0 11 1
7.4 1169488 36225 61471 26 12 19 8 25 1 7 2
7.5 1170001 35705 61468 25 12 17 8 18 2 17 1
7.6 1169481 36220 61473 26 9 23 9 14 3 14 2
7.7 1169683 36018 61472 23 10 22 11 17 2 15 0
7.8 1167793 37907 61474 23 11 24 10 15 2 15 0
7.9 1166683 39014 61472 26 12 18 10 10 0 23 1
8 1166537 39156 61471 15 9 29 12 18 2 15 0
8.1 1165792 39908 61476 25 15 22 8 11 0 19 0
8.2 1164852 40843 61475 20 15 27 7 11 0 19 1
8.3 1164816 40884 61468 20 11 20 11 20 0 17 1
8.4 1166661 39039 61474 26 10 23 9 13 2 15 2
8.5 1164982 40717 61468 24 12 16 10 13 2 23 0
8.6 1165578 40123 61463 20 16 14 7 17 0 25 1
8.7 1164737 40965 61473 21 16 23 7 16 1 16 0
8.8 1165354 40351 61475 25 15 24 5 14 3 13 1
8.9 1165246 40453 61474 21 14 24 9 15 1 16 0
9 1165412 40289 61472 24 13 20 9 15 1 17 1
9.1 1165721 39978 61468 23 11 21 7 14 3 18 3
9.2 1166919 38782 61466 20 11 18 11 21 2 16 1
9.3 1167729 37977 61475 26 12 21 10 19 2 9 1
9.4 1168984 36722 61478 31 13 18 10 14 1 12 1
9.5 1170036 35672 61476 29 12 16 13 20 0 10 0
9.6 1170020 35681 61470 26 9 16 13 18 1 15 2
9.7 1170268 35432 61469 24 9 17 13 19 1 15 2
9.8 1170446 35257 61468 24 11 15 12 20 1 16 1
9.9 1169565 36133 61471 20 11 20 14 20 1 14 0
10 1169274 36425 61469 20 13 17 13 20 0 17 0
10.1 1169172 36531 61471 28 13 11 13 16 1 18 0
10.2 1169420 36283 61476 30 12 17 11 14 1 13 2
10.3 1169811 35896 61474 31 14 15 8 14 2 14 2
10.4 1169679 36024 61471 23 14 18 10 19 1 14 1
10.5 1170041 35663 61475 28 13 17 11 16 1 13 1
10.6 1170063 35647 61463 16 15 16 10 32 1 10 0
10.7 1170543 35166 61474 28 10 17 13 22 3 7 0
10.8 1170982 34723 61469 26 10 13 14 22 1 13 1
10.9 1170713 34995 61468 24 12 15 11 24 2 11 1
