t ca2er ca2i ip3 s000 s001 s010 s011 s100 s101 s110 s111
0 1053875 151801 61468 10 6 32 17 9 1 24 2
0.1 1080947 124730 61472 10 7 36 16 10 2 17 3
0.2 1105003 100676 61472 17 8 27 17 6 0 23 3
0.3 1124549 81128 61478 15 7 36 17 6 0 17 3
0.4 1139544 66137 61469 14 8 27 17 9 1 24 1
0.5 1148422 57264 61476 15 10 33 15 12 0 14 2
0.6 1154831 50864 61465 16 9 24 13 18 3 16 2
0.7 1160231 45470 61474 24 14 22 11 13 1 15 1
0.8 1163324 42376 61470 21 10 20 16 19 1 14 0
0.9 1165629 40070 61468 24 9 16 16 16 1 18 1
1 1166815 38887 61471 25 12 20 11 15 1 14 3
1.1 1167153 38548 61466 23 9 16 15 18 2 17 1
1.2 1167529 38171 61474 22 12 24 13 16 1 12 1
1.3 1168436 37266 61470 20 13 20 14 20 0 14 0
1.4 1168700 37004 61469 20 16 20 10 19 0 15 1
1.5 1168924 36784 61464 20 14 17 10 23 1 15 1
1.6 1169562 36145 61473 27 13 19 11 16 0 14 1
1.7 1169896 35816 61466 26 12 17 8 20 4 12 2
1.8 1169282 36426 61469 25 12 18 11 18 3 14 0
1.9 1169240 36467 61471 29 12 17 10 15 1 14 3
2 1169946 35766 61475 27 14 22 9 18 3 8 0
2.1 1170408 35302 61466 19 14 20 10 25 2 11 0
2.2 1170120 35589 61472 26 15 18 10 18 0 13 1
2.3 1169495 36211 61466 24 12 18 9 16 4 17 1
2.4 1168793 36912 61467 18 14 21 11 22 1 14 0
2.5 1168734 36974 61467 22 15 18 9 20 0 16 1
2.6 1168921 36788 61467 21 12 20 11 24 1 11 1
2.7 1168840 36867 61469 25 11 18 12 18 2 15 0
2.8 1169317 36392 61467 22 12 20 10 22 2 12 1
2.9 1169716 35994 61469 26 13 18 9 18 2 14 1
3 1169226 36488 61464 23 14 16 8 23 3 14 0
3.1 1169472 36243 61472 26 15 22 6 21 2 7 2
3.2 1169353 36364 61469 27 15 15 9 23 1 11 0
3.3 1169517 36197 61466 29 14 12 8 18 2 17 1
