t ca2er ca2i ip3 s000 s001 s010 s011 s100 s101 s110 s111
0 1053875 151801 61468 10 6 33 16 8 1 25 2
0.1 1079128 126555 61464 13 8 27 13 8 3 28 1
0.2 1101587 104103 61474 24 7 27 13 7 1 18 4
0.3 1124087 81612 61473 23 11 24 12 13 3 14 1
0.4 1140279 65416 61473 21 12 23 14 13 0 17 1
0.5 1150941 54751 61469 16 12 26 12 15 1 16 3
0.6 1157118 48572 61464 15 9 21 16 16 2 21 1
0.7 1162013 43683 61471 22 11 21 14 14 1 16 2
0.8 1164446 41250 61473 22 10 21 17 15 1 15 0
0.9 1165954 39739 61482 24 11 31 13 9 1 9 3
1 1167351 38347 61473 18 11 27 14 19 2 9 1
1.1 1167593 38107 61471 19 14 24 11 19 0 11 3
1.2 1167867 37840 61467 21 14 17 12 23 1 12 1
1.3 1168938 36770 61467 23 16 14 11 21 0 15 1
1.4 1169333 36376 61466 22 15 15 11 23 1 13 1
1.5 1169404 36310 61471 29 17 14 8 18 2 12 1
1.6 1169100 36613 61478 27 19 22 7 18 1 6 1
1.7 1169237 36468 61464 20 13 18 10 22 3 12 3
1.8 1168796 36909 61468 19 17 18 11 22 0 13 1
1.9 1169321 36384 61465 25 14 13 10 18 1 16 4
2 1169550 36158 61475 29 13 17 13 17 2 9 1
2.1 1170211 35503 61474 31 16 12 12 19 0 11 0
2.2 1170576 35138 61471 28 17 14 9 20 1 11 1
2.3 1170574 35141 61468 25 18 15 7 21 3 12 0
2.4 1170942 34776 61473 29 20 16 5 20 1 8 2
2.5 1171059 34656 61465 21 21 14 6 25 0 13 1
2.6 1170405 35310 61468 22 20 19 4 22 3 10 1
2.7 1170183 35530 61473 24 20 21 5 18 3 10 0
2.8 1169688 36026 61465 27 17 12 6 18 4 16 1
2.9 1169648 36064 61472 28 17 15 9 17 2 13 0
3 1169460 36254 61466 26 17 11 9 21 2 15 0
3.1 1169621 36091 61474 28 18 17 8 17 1 11 1
3.2 1169634 36076 61473 26 18 16 10 18 0 13 0
3.3 1169534 36176 61471 25 17 18 8 18 2 12 1
3.4 1170016 35693 61480 25 17 26 9 18 1 4 1
3.5 1170306 35409 61469 29 16 12 9 19 3 13 0
3.6 1170469 35244 61478 32 16 16 11 17 0 8 1
3.7 1170924 34790 61473 32 15 11 12 18 1 12 0
3.8 1170868 34849 61470 27 19 13 8 22 1 11 0
3.9 1170683 35030 61469 25 20 13 8 20 1 14 0
4 1170193 35519 61466 27 17 11 8 18 3 16 1
4.1 1170429 35287 61470 22 18 19 8 26 2 6 0
4.2 1170515 35199 61470 27 12 19 9 21 5 7 1
4.3 1170463 35250 61474 29 16 16 10 19 1 9 1
4.4 1170902 34811 61469 28 13 13 12 22 2 10 1
4.5 1170961 34747 61470 27 14 14 12 18 1 14 1
4.6 1170740 34965 61467 25 12 13 14 18 2 17 0
4.7 1170007 35703 61469 25 16 16 9 20 1 12 2
4.8 1170076 35633 61468 22 14 19 10 21 4 11 0
4.9 1170052 35655 61476 29 13 18 13 15 2 11 0
5 1170313 35396 61472 29 13 16 11 15 4 13 0
5.1 1170330 35380 61471 24 12 23 9 20 6 6 1
5.2 1169702 36008 61469 23 18 16 9 20 1 14 0
5.3 1169346 36364 61473 27 16 18 9 16 3 12 0
5.4 1169615 36090 61466 22 16 13 12 19 0 19 0
5.5 1168897 36808 61470 20 17 21 9 19 1 13 1
5.6 1169590 36125 61462 24 18 11 6 22 3 16 1
5.7 1170052 35663 61469 27 16 14 9 21 3 11 0
5.8 1170678 35041 61464 24 17 14 6 27 3 8 2
5.9 1170986 34734 61467 28 19 10 7 24 1 11 1
6 1171004 34712 61473 34 16 12 8 17 1 10 3
6.1 1171321 34395 61470 25 17 15 10 25 1 8 0
6.2 1171491 34222 61471 30 13 13 12 19 3 11 0
6.3 1170951 34758 61469 28 13 12 13 18 2 15 0
6.4 1170549 35154 61466 20 15 17 11 20 0 16 2
6.5 1169209 36498 61469 26 14 14 12 17 2 16 0
6.6 1169475 36231 61463 20 13 17 10 22 2 15 2
6.7 1169262 36447 61460 23 15 8 11 22 0 21 1
6.8 1169201 36509 61459 23 13 12 8 23 2 16 4
6.9 1169741 35972 61472 28 13 15 13 22 1 9 0
7 1170019 35693 61471 30 13 16 9 17 3 11 2
7.1 1169954 35758 61475 31 15 16 10 16 1 11 1
