t ca2er ca2i ip3 s000 s001 s010 s011 s100 s101 s110 s111
0 1053875 151801 61468 10 5 34 14 8 0 27 1
0.1 1072026 133650 61469 11 5 34 14 6 1 28 0
0.2 1091689 113989 61464 9 6 32 12 11 0 26 3
0.3 1109841 95834 61463 9 5 30 14 8 1 31 1
0.4 1124239 81446 61464 13 6 26 14 14 0 25 1
0.5 1137353 68334 61468 18 3 27 15 13 1 20 2
0.6 1146860 58827 61461 9 6 28 13 19 1 22 1
0.7 1152660 53025 61471 18 5 28 15 10 0 22 1
0.8 1156847 48841 61470 15 5 29 16 16 0 18 0
0.9 1160556 45135 61473 22 4 29 13 12 0 16 3
1 1163876 41823 61469 23 5 23 13 17 0 17 1
1.1 1163945 41750 61464 19 5 22 13 17 0 22 1
1.2 1164053 41642 61466 18 5 25 13 18 0 19 1
1.3 1165149 40548 61468 23 3 23 14 16 2 17 1
1.4 1165940 39765 61472 31 8 17 11 12 1 19 0
1.5 1166239 39469 61466 25 10 17 9 19 1 18 0
1.6 1167259 38446 61461 19 12 17 8 21 0 22 0
1.7 1166530 39177 61467 21 11 22 8 22 0 14 1
1.8 1167504 38208 61458 22 9 14 8 26 0 19 1
1.9 1168629 37085 61466 23 11 21 6 25 0 12 1
2 1169515 36203 61458 23 10 15 5 29 1 14 2
2.1 1169040 36676 61475 35 9 18 8 16 1 12 0
2.2 1169650 36068 61468 30 12 15 6 21 0 15 0
2.3 1169682 36036 61460 27 9 14 5 24 3 16 1
2.4 1169913 35807 61465 29 12 14 5 24 0 14 1
2.5 1170013 35702 61464 24 8 21 6 24 3 13 0
2.6 1169252 36464 61468 25 9 23 6 24 2 10 0
2.7 1169550 36168 61466 33 7 14 7 21 0 15 2
2.8 1169449 36268 61462 28 6 14 9 25 1 16 0
2.9 1169335 36385 61468 33 8 15 7 21 1 14 0
3 1169356 36368 61476 40 10 15 6 17 0 11 0
3.1 1169621 36097 61464 29 8 16 6 23 1 15 1
3.2 1169558 36159 61469 30 10 21 3 19 1 13 2
3.3 1169043 36673 61466 25 11 19 6 24 0 14 0
3.4 1168083 37637 61465 26 11 18 5 26 1 12 0
3.5 1169129 36591 61473 31 13 19 5 21 0 10 0
3.6 1169690 36026 61463 23 9 21 5 26 3 11 1
3.7 1169549 36164 61465 27 8 19 6 21 2 14 2
3.8 1168276 37439 61466 25 12 19 5 22 1 15 0
3.9 1169091 36621 61461 19 10 21 6 27 1 14 1
4 1168991 36723 61472 34 7 16 10 17 1 14 0
4.1 1169473 36241 61460 24 9 13 9 26 0 18 0
4.2 1169434 36277 61470 26 8 22 9 22 0 11 1
4.3 1169749 35966 61469 31 8 19 6 19 2 12 2
4.4 1170169 35548 61471 33 8 19 6 19 2 10 2
4.5 1169925 35791 61464 27 10 17 5 22 2 15 1
4.6 1169831 35889 61464 30 9 14 6 24 2 13 1
4.7 1170188 35536 61462 30 12 10 5 26 1 15 0
4.8 1169957 35760 61468 25 13 21 4 23 1 12 0
4.9 1169439 36278 61465 30 9 14 7 21 2 16 0
5 1169457 36256 61467 24 12 21 5 22 0 14 1
5.1 1168374 37336 61468 25 10 22 6 19 0 16 1
5.2 1167777 37936 61465 30 10 15 5 15 1 23 0
5.3 1166631 39084 61470 28 10 22 5 19 1 14 0
5.4 1167649 38064 61467 28 7 22 5 18 3 15 1
5.5 1167878 37836 61467 29 9 18 6 18 1 18 0
5.6 1167305 38408 61461 25 8 17 6 22 1 19 1
5.7 1167318 38394 61458 19 7 22 5 25 3 18 0
5.8 1165873 39840 61466 29 7 21 4 16 3 18 1
5.9 1164412 41295 61462 22 8 23 4 16 3 23 0
