t ca2er ca2i ip3 s000 s001 s010 s011 s100 s101 s110 s111
0 1053875 151801 61468 10 6 31 19 7 1 24 2
0.1 1080749 124928 61471 12 5 31 21 8 0 21 2
0.2 1106035 99647 61471 11 7 31 20 12 0 18 1
0.3 1123666 82014 61469 8 7 33 19 12 1 19 1
0.4 1140198 65492 61471 20 11 23 15 7 0 22 2
0.5 1151207 54484 61467 14 10 24 17 15 0 19 1
0.6 1157294 48406 61461 17 10 17 15 18 3 20 0
0.7 1162390 43312 61468 21 11 21 13 15 3 15 1
0.8 1164714 40989 61465 20 11 20 12 16 4 16 1
0.9 1166764 38943 61470 24 14 17 13 16 1 15 0
1 1167206 38495 61466 19 15 19 11 15 0 19 2
1.1 1166077 39625 61462 19 12 19 10 15 4 19 2
1.2 1167412 38299 61472 26 16 18 10 15 2 13 0
1.3 1168043 37672 61466 23 15 17 9 22 3 10 1
1.4 1168997 36717 61471 28 16 15 10 17 1 12 1
1.5 1170039 35678 61472 29 16 16 9 19 1 8 2
1.6 1170330 35378 61474 29 11 19 13 14 3 9 2
1.7 1170762 34946 61472 23 14 21 12 20 1 6 3
1.8 1170408 35299 61475 32 14 15 12 10 1 13 3
1.9 1170507 35202 61459 19 12 13 13 26 2 12 3
2 1170632 35071 61461 16 12 14 17 25 0 15 1
2.1 1169818 35887 61473 25 14 17 15 16 0 12 1
2.2 1170180 35527 61470 26 12 14 16 17 2 13 0
2.3 1169848 35860 61469 23 14 15 15 21 0 11 1
2.4 1170169 35538 61467 21 11 17 16 22 1 12 0
2.5 1170249 35460 61467 24 11 18 12 20 2 10 3
2.6 1170415 35293 61474 30 11 16 15 14 1 12 1
2.7 1170179 35533 61469 23 13 18 13 22 2 9 0
2.8 1169978 35732 61474 27 16 20 9 13 2 12 1
2.9 1169928 35786 61467 24 16 16 9 20 1 13 1
3 1170007 35702 61469 21 15 20 11 19 1 13 0
3.1 1170196 35514 61466 21 14 17 12 21 1 14 0
3.2 1169311 36399 61467 21 12 20 12 23 1 9 2
3.3 1169550 36160 61472 23 14 21 12 20 0 9 1
3.4 1169703 36006 61469 27 12 19 9 14 2 14 3
3.5 1169891 35827 61466 26 13 15 10 23 2 10 1
3.6 1169965 35754 61467 28 16 13 8 20 1 13 1
3.7 1170265 35456 61467 27 15 14 9 24 1 9 1
3.8 1170873 34848 61468 29 14 14 9 21 3 10 0
3.9 1170971 34748 61474 30 15 19 8 18 2 7 1
4 1170777 34939 61465 26 15 13 9 20 1 15 1
4.1 1170616 35104 61466 30 15 11 8 19 1 15 1
4.2 1170632 35086 61470 29 13 16 10 20 1 10 1
4.3 1170797 34918 61472 31 13 15 11 16 0 13 1
4.4 1169928 35783 61472 32 11 14 13 13 0 16 1
4.5 1170122 35596 61473 33 14 14 10 16 0 12 1
4.6 1170266 35451 61467 30 11 12 12 19 2 14 0
4.7 1170287 35430 61461 26 12 13 8 22 2 14 3
4.8 1170443 35275 61459 23 14 13 7 26 0 13 4
4.9 1170482 35233 61467 23 13 20 9 22 2 10 1
5 1170516 35199 61466 24 12 17 11 22 2 12 0
5.1 1170390 35322 61471 24 17 20 8 16 0 15 0
5.2 1169969 35742 61462 19 13 18 10 22 2 16 0
5.3 1168135 37575 61463 22 12 17 10 18 3 18 0
5.4 1168135 37576 61457 17 15 15 8 23 2 19 1
5.5 1169099 36613 61466 20 16 19 9 22 0 13 1
