t ca2er ca2i ip3 s000 s001 s010 s011 s100 s101 s110 s111
0 1053875 151801 61468 10 6 31 19 9 0 24 2
0.1 1079178 126503 61467 13 11 25 16 6 1 29 0
0.2 1103887 101800 61478 15 12 33 16 10 1 14 0
0.3 1123797 81889 61470 16 10 27 15 11 0 18 4
0.4 1140765 64921 61471 11 8 33 17 15 2 14 1
0.5 1150246 55443 61467 18 8 22 17 12 1 21 2
0.6 1156835 48858 61464 15 10 25 12 16 2 17 4
0.7 1160052 45638 61463 15 11 18 17 14 0 26 0
0.8 1159862 45834 61475 23 12 24 14 11 0 15 2
0.9 1163332 42361 61464 20 6 16 20 15 1 23 0
1 1164339 41359 61471 21 10 22 16 16 0 15 1
1.1 1165624 40075 61471 21 12 23 13 14 1 16 1
1.2 1165264 40433 61465 16 12 21 14 18 0 19 1
1.3 1165778 39920 61462 17 12 20 11 15 2 23 1
1.4 1165981 39724 61473 27 15 20 9 11 1 16 2
1.5 1167043 38663 61469 23 12 21 11 17 2 14 1
1.6 1166787 38918 61463 21 13 20 7 16 3 18 3
1.7 1167766 37937 61482 29 12 29 10 7 3 10 1
1.8 1168364 37341 61461 23 8 17 11 16 6 19 1
1.9 1167041 38662 61464 17 14 20 11 19 2 18 0
2 1167485 38221 61477 29 16 20 10 9 1 16 0
2.1 1166719 38990 61466 22 17 16 9 19 0 17 1
2.2 1167041 38668 61469 23 15 18 11 19 1 14 0
2.3 1168019 37690 61465 21 16 18 8 19 1 17 1
2.4 1167739 37972 61461 22 13 14 10 22 2 17 1
2.5 1168481 37228 61462 20 13 19 8 21 3 15 2
2.6 1168929 36778 61459 15 12 19 11 26 2 15 1
2.7 1168948 36754 61470 23 12 20 13 15 0 17 1
2.8 1168753 36952 61467 21 12 22 10 18 2 14 2
2.9 1168577 37128 61473 24 15 23 9 13 1 15 1
3 1166614 39084 61467 19 13 22 11 13 1 21 1
3.1 1164642 41056 61468 19 13 24 10 12 2 20 1
3.2 1165918 39783 61470 17 12 28 11 18 2 12 1
3.3 1167514 38196 61461 17 14 20 8 24 3 14 1
3.4 1168730 36985 61466 23 14 17 10 24 1 12 0
3.5 1169212 36501 61463 23 13 16 9 23 1 14 2
3.6 1169113 36598 61467 24 15 18 8 18 2 15 1
3.7 1168573 37137 61464 19 15 21 7 22 2 13 2
3.8 1168568 37144 61472 26 18 19 7 16 0 14 1
3.9 1168933 36778 61463 21 12 19 9 22 4 13 1
4 1169258 36452 61471 25 15 19 10 17 0 15 0
4.1 1169316 36396 61461 25 12 14 8 18 4 19 1
4.2 1168650 37054 61460 16 11 20 11 21 3 19 0
4.3 1167309 38396 61469 21 14 24 8 15 2 16 1
4.4 1166658 39041 61476 22 10 31 11 10 4 13 0
4.5 1165643 40059 61463 18 11 22 10 16 4 20 0
4.6 1165924 39784 61466 24 11 17 12 18 2 17 0
4.7 1166927 38783 61467 26 10 16 13 20 1 14 1
4.8 1167848 37855 61459 19 9 15 14 22 0 20 2
4.9 1168557 37152 61461 21 10 14 14 24 1 17 0
5 1168901 36808 61472 26 10 22 12 18 2 10 1
5.1 1169960 35750 61470 26 11 17 14 20 0 13 0
5.2 1170042 35672 61468 24 16 16 10 22 0 13 0
5.3 1170519 35193 61467 26 13 15 11 20 1 14 1
5.4 1170095 35620 61463 24 12 15 10 24 3 12 1
5.5 1170414 35297 61455 19 11 13 10 27 3 15 3
5.6 1170537 35172 61466 19 15 22 8 22 2 11 2
5.7 1170045 35665 61466 26 12 15 11 19 1 15 2
5.8 1169541 36172 61464 25 13 14 10 21 2 15 1
5.9 1169549 36162 61465 23 14 15 11 21 2 15 0
6 1169010 36700 61471 28 14 15 12 17 1 13 1
6.1 1169876 35838 61467 28 9 17 11 20 6 9 1
6.2 1170487 35230 61475 33 13 18 9 16 3 8 1
6.3 1169821 35889 61469 22 16 19 10 20 0 14 0
6.4 1169548 36165 61467 26 12 17 10 19 4 13 0
6.5 1169710 35999 61466 26 12 16 10 16 3 17 1
6.6 1169643 36068 61465 22 15 17 9 21 1 15 1
6.7 1169913 35797 61471 26 14 18 11 17 1 14 0
6.8 1170167 35545 61473 30 12 18 11 15 3 12 0
6.9 1170410 35304 61457 21 11 15 8 25 5 14 2
7 1170428 35286 61466 26 15 15 8 20 1 14 2
7.1 1170414 35295 61469 29 11 16 11 15 2 15 2
7.2 1169980 35729 61455 15 14 17 7 27 1 16 4
7.3 1169231 36483 61468 26 13 18 9 19 3 13 0
7.4 1169102 36615 61465 29 16 9 9 19 0 19 0
7.5 1169175 36544 61471 31 15 16 7 19 1 10 2
7.6 1169686 36031 61466 25 15 15 9 23 1 13 0
7.7 1169596 36121 61464 26 16 14 6 20 2 16 1
7.8 1168687 37026 61469 21 16 22 8 22 1 11 0
7.9 1169056 36655 61473 26 16 21 8 15 1 14 0
8 1168883 36824 61464 20 11 20 11 21 2 15 1
8.1 1169191 36514 61464 17 13 21 11 21 1 17 0
8.2 1169186 36524 61470 24 16 22 6 16 1 14 2
8.3 1168820 36892 61470 25 14 20 9 18 2 13 0
8.4 1168836 36880 61470 24 16 22 6 21 2 9 1
8.5 1169351 36367 61465 29 15 12 7 19 2 16 1
8.6 1169331 36389 61469 28 17 16 6 20 3 11 0
8.7 1170162 35554 61464 24 16 15 7 22 2 14 1
8.8 1169733 35990 61469 32 17 11 7 20 2 12 0
8.9 1170246 35475 61464 28 18 10 6 21 2 16 0
9 1170721 34995 61473 32 15 16 8 15 2 12 1
9.1 1170654 35058 61467 25 16 15 9 18 1 17 0
9.2 1168773 36934 61469 25 16 19 7 13 0 19 2
9.3 1167846 37859 61465 20 14 19 10 17 0 21 0
9.4 1166159 39552 61465 23 13 19 8 20 0 16 2
9.5 1166873 38840 61473 30 12 20 9 14 2 14 0
9.6 1168271 37441 61465 24 14 18 7 19 1 16 2
9.7 1168596 37115 61469 22 15 22 8 19 0 15 0
9.8 1167140 38564 61472 24 12 24 10 12 1 18 0
9.9 1167329 38376 61468 20 13 22 11 18 0 17 0
10 1166559 39144 61473 24 13 24 10 12 0 17 1
10.1 1166886 38819 61465 22 10 19 12 17 2 19 0
10.2 1167157 38551 61467 23 11 20 11 19 1 15 1
10.3 1167992 37718 61467 25 13 16 11 18 0 18 0
10.4 1167457 38250 61467 27 13 16 9 13 0 21 2
10.5 1167614 38097 61465 22 12 18 11 22 1 15 0
10.6 1167958 37758 61463 28 11 15 7 20 3 14 3
10.7 1168600 37110 61464 24 12 17 9 19 2 16 2
10.8 1169284 36423 61468 17 14 24 11 23 0 12 0
10.9 1167997 37708 61470 20 14 23 11 18 0 15 0
11 1168210 37500 61465 20 16 20 7 20 1 16 1
11.1 1168728 36986 61469 26 14 20 7 19 2 11 2
11.2 1168847 36865 61470 23 14 20 11 22 0 11 0
11.3 1168845 36868 61468 30 11 15 10 16 2 16 1
11.4 1169193 36519 61468 23 15 20 8 20 0 14 1
11.5 1169167 36545 61458 17 13 19 7 25 3 16 1
11.6 1169141 36572 61474 30 12 22 8 13 3 13 0
11.7 1168076 37634 61469 24 12 24 7 16 3 14 1
11.8 1167845 37868 61472 25 15 24 6 17 1 12 1
11.9 1167676 38035 61478 31 14 23 8 10 1 14 0
12 1167549 38159 61468 22 12 24 8 17 2 15 1
12.1 1167696 38013 61459 16 15 20 6 21 2 21 0
12.2 1167086 38617 61472 23 13 25 9 12 0 18 1
12.3 1166372 39336 61461 20 12 18 9 20 0 21 1
12.4 1165058 40649 61460 24 7 19 8 14 6 22 1
12.5 1164397 41311 61456 17 12 18 7 21 2 23 1
12.6 1165623 40079 61463 17 7 24 13 20 2 18 0
12.7 1166818 38890 61464 19 7 23 13 24 2 13 0
12.8 1167420 38287 61465 21 8 21 13 22 0 15 1
12.9 1168326 37385 61470 29 7 19 13 18 1 13 1
13 1169550 36164 61466 25 9 16 14 25 0 12 0
13.1 1169525 36191 61477 34 9 19 13 18 1 6 1
13.2 1169696 36013 61465 25 10 16 12 20 0 16 2
13.3 1169330 36380 61468 25 9 20 12 19 3 13 0
13.4 1168800 36909 61464 21 12 19 10 22 0 15 2
13.5 1168649 37059 61468 29 11 16 10 13 1 19 2
13.6 1168009 37699 61469 29 11 14 13 14 0 20 0
13.7 1168518 37187 61464 19 11 21 11 21 0 16 2
13.8 1168520 37186 61468 23 11 21 11 17 1 16 1
13.9 1168535 37175 61465 25 10 15 13 21 1 15 1
14 1168756 36956 61463 23 12 18 8 22 1 14 3
14.1 1169387 36326 61465 27 9 18 9 18 5 14 1
14.2 1168955 36759 61465 22 14 19 8 23 1 13 1
14.3 1168978 36732 61470 25 13 22 8 18 0 12 3
14.4 1168639 37069 61469 27 10 20 10 14 3 16 1
14.5 1167972 37733 61466 22 9 20 13 19 1 16 1
14.6 1168016 37686 61474 23 10 26 13 15 1 12 1
14.7 1166842 38859 61464 18 12 23 9 16 2 19 2
14.8 1166798 38910 61469 26 10 23 8 14 5 13 2
14.9 1167941 37766 61466 19 12 21 12 22 1 14 0
15 1167405 38297 61476 28 12 23 11 9 0 16 2
15.1 1168767 36936 61468 24 6 24 12 18 1 11 5
15.2 1168186 37519 61461 25 8 12 14 18 0 22 2
15.3 1167854 37849 61483 33 9 26 13 6 1 12 1
15.4 1167219 38486 61470 21 13 25 9 17 0 14 2
15.5 1167891 37819 61456 17 12 17 8 24 3 19 1
15.6 1168251 37460 61461 21 14 16 8 21 1 19 1
15.7 1168083 37626 61478 28 15 25 8 12 0 12 1
15.8 1166518 39191 61461 21 15 16 7 17 2 23 0
15.9 1166131 39586 61469 23 20 22 2 19 0 14 1
16 1166715 39002 61471 27 18 20 4 16 0 16 0
16.1 1167557 38160 61462 23 14 18 5 21 3 17 0
16.2 1168270 37445 61469 23 14 23 7 22 0 11 1
16.3 1168806 36912 61467 32 12 15 6 16 1 17 2
16.4 1168838 36878 61466 31 11 15 7 15 2 19 1
16.5 1168296 37424 61463 25 13 16 7 24 1 15 0
16.6 1168588 37133 61467 26 15 18 6 23 0 13 0
16.7 1169204 36514 61464 30 11 14 7 18 2 18 1
16.8 1168328 37389 61469 29 12 21 5 16 2 15 1
16.9 1168816 36903 61460 19 11 20 8 30 1 12 0
17 1169173 36546 61466 26 14 19 5 21 0 15 1
17.1 1168538 37179 61465 23 13 20 7 23 0 15 0
17.2 1167528 38188 61460 25 12 15 6 20 1 21 1
17.3 1167160 38557 61463 23 10 23 5 23 2 13 2
17.4 1167490 38231 61464 30 10 15 7 20 2 17 0
17.5 1167717 38002 61469 31 11 20 5 16 2 15 1
17.6 1167412 38303 61463 27 9 18 7 18 2 19 1
17.7 1167024 38682 61470 26 8 23 11 14 0 18 1
17.8 1167342 38371 61469 24 8 23 12 23 0 11 0
17.9 1168479 37239 61459 24 7 17 9 27 1 14 2
18 1169353 36373 61462 31 9 11 9 27 0 13 1
18.1 1169971 35754 61467 30 8 18 9 28 0 6 2
18.2 1170491 35231 61472 35 7 17 11 20 1 10 0
18.3 1170489 35230 61464 26 9 19 8 25 0 12 2
18.4 1170371 35352 61468 29 12 18 7 23 0 12 0
18.5 1170000 35721 61473 34 11 19 7 17 0 12 1
18.6 1169385 36328 61473 32 8 22 9 13 1 15 1
18.7 1168422 37295 61458 23 7 18 8 24 4 17 0
