t ca2er ca2i ip3 s000 s001 s010 s011 s100 s101 s110 s111
0 1053875 151801 61468 9 6 30 21 7 0 24 2
0.1 1079770 125906 61464 7 7 30 18 7 1 26 3
0.2 1100106 105573 61473 9 12 34 16 5 0 21 2
0.3 1119595 86088 61463 7 13 27 14 9 0 27 2
0.4 1134077 71610 61469 11 12 28 16 9 1 22 0
0.5 1145641 60052 61464 13 12 26 11 10 4 21 2
0.6 1153874 51818 61466 11 11 28 14 14 2 17 2
0.7 1159791 45911 61471 17 16 26 10 14 1 13 2
0.8 1163252 42450 61467 14 16 26 9 17 1 13 3
0.9 1164748 40959 61463 19 16 15 11 17 1 19 1
1 1166045 39661 61465 21 12 16 14 18 0 16 2
1.1 1166491 39215 61470 20 15 20 13 16 1 14 0
1.2 1168275 37437 61468 27 16 14 9 14 0 16 3
1.3 1168727 36984 61464 20 15 16 11 20 1 15 1
1.4 1169283 36430 61463 16 18 19 8 22 2 14 0
1.5 1169598 36113 61476 25 19 21 9 13 0 11 1
1.6 1169978 35733 61470 26 13 17 12 16 1 12 2
1.7 1170277 35432 61473 20 15 23 13 19 0 9 0
1.8 1170270 35442 61470 19 18 20 11 21 0 10 0
1.9 1169727 35985 61458 18 14 13 11 24 2 15 2
2 1169922 35788 61470 24 16 15 13 16 0 15 0
2.1 1170229 35487 61462 21 13 14 12 25 3 10 1
2.2 1169926 35792 61463 28 13 8 12 19 4 15 0
2.3 1170445 35270 61467 22 18 15 10 21 0 12 1
2.4 1170185 35528 61463 23 16 11 11 19 1 17 1
2.5 1170314 35402 61474 25 17 19 11 19 0 8 0
2.6 1170747 34974 61471 29 16 13 11 20 1 9 0
2.7 1170765 34958 61462 21 15 15 9 28 2 9 0
2.8 1170822 34902 61470 28 19 15 6 20 0 10 1
2.9 1170982 34742 61470 30 15 14 9 20 2 9 0
3 1170656 35067 61462 22 16 18 4 23 5 10 1
3.1 1170846 34883 61470 26 21 16 5 25 0 6 0
3.2 1171137 34591 61474 37 20 11 4 13 2 11 1
3.3 1170956 34772 61465 27 22 11 3 21 2 13 0
3.4 1170354 35368 61465 25 21 11 6 20 0 16 0
3.5 1169907 35809 61470 26 16 18 8 15 2 14 0
3.6 1169675 36044 61463 27 16 13 5 17 2 16 3
