t ca2er ca2i ip3 s000 s001 s010 s011 s100 s101 s110 s111
0 1053875 151801 61468 11 5 33 14 8 1 27 1
0.1 1077705 127975 61467 10 8 35 9 10 1 24 3
0.2 1097494 108181 61464 9 6 33 11 7 2 30 2
0.3 1112474 93199 61465 6 4 35 15 11 1 27 1
0.4 1127180 78502 61465 17 7 23 13 8 0 30 2
0.5 1139766 65916 61471 16 7 31 12 8 1 23 2
0.6 1147421 58269 61468 18 9 24 12 12 1 24 0
0.7 1153459 52237 61462 16 9 23 9 19 2 20 2
0.8 1158407 47292 61465 18 10 22 10 20 1 18 1
0.9 1158422 47270 61464 15 11 23 10 16 0 24 1
1 1159751 45939 61463 12 10 27 9 15 3 24 0
1.1 1159562 46130 61473 18 13 28 9 11 0 21 0
1.2 1160266 45429 61467 17 9 27 9 17 1 18 2
1.3 1162522 43177 61470 25 7 23 10 13 2 19 1
1.4 1165293 40412 61480 29 11 27 8 12 1 12 0
1.5 1166746 38964 61467 26 10 17 9 21 1 16 0
1.6 1167573 38135 61469 29 10 18 7 14 3 19 0
1.7 1167718 37990 61467 22 13 20 7 21 0 17 0
1.8 1166877 38825 61474 27 11 24 7 11 1 18 1
1.9 1165685 40015 61471 23 10 26 7 14 1 17 2
2 1165641 40063 61463 15 10 25 8 26 1 14 1
2.1 1166516 39192 61470 27 11 19 8 18 0 16 1
2.2 1167071 38635 61469 23 12 21 8 19 0 17 0
2.3 1167432 38271 61466 21 9 23 8 20 2 15 2
2.4 1167937 37772 61473 30 12 18 8 15 1 16 0
2.5 1167640 38062 61463 19 10 22 7 20 2 18 2
2.6 1166555 39147 61472 25 11 22 9 15 0 17 1
2.7 1168079 37625 61467 19 12 23 8 22 0 15 1
2.8 1168951 36757 61462 21 10 17 9 24 2 17 0
2.9 1169175 36532 61469 29 9 18 8 16 2 16 2
3 1169060 36651 61468 29 10 14 10 20 1 16 0
3.1 1169787 35924 61468 28 11 14 10 21 1 15 0
3.2 1169986 35722 61480 33 11 22 9 13 1 10 1
3.3 1168529 37179 61463 24 11 16 7 20 3 18 1
3.4 1168579 37122 61477 29 8 23 12 13 1 13 1
3.5 1168354 37348 61467 24 8 21 9 19 1 14 4
3.6 1168515 37192 61463 26 10 13 9 20 1 19 2
3.7 1167394 38308 61465 20 8 19 13 23 2 15 0
3.8 1167948 37759 61472 32 11 14 10 14 1 17 1
3.9 1169035 36677 61468 30 13 13 7 18 2 16 1
4 1169204 36508 61465 29 9 13 9 21 4 14 1
4.1 1169108 36607 61465 30 14 10 6 21 1 16 2
4.2 1169093 36613 61469 24 13 19 8 19 1 15 1
4.3 1169686 36017 61475 26 9 24 11 16 3 11 0
4.4 1169381 36318 61468 22 10 20 11 17 1 18 1
4.5 1168265 37434 61464 20 10 19 10 19 1 19 2
4.6 1167674 38023 61467 16 12 25 9 20 0 16 2
4.7 1167961 37748 61472 30 9 18 10 17 2 14 0
4.8 1168451 37258 61466 24 13 16 8 21 0 18 0
4.9 1168480 37226 61472 24 13 22 8 18 0 15 0
5 1168106 37604 61472 28 11 21 7 18 1 13 1
5.1 1167833 37879 61470 29 9 21 6 19 3 11 2
5.2 1168609 37105 61471 30 12 18 6 18 2 14 0
5.3 1168499 37215 61465 23 15 18 4 24 0 15 1
5.4 1168568 37149 61471 33 13 17 3 17 2 13 2
5.5 1168677 37037 61469 26 12 19 7 23 1 12 0
5.6 1168751 36962 61468 28 12 16 7 20 1 16 0
5.7 1168491 37221 61467 29 12 13 8 19 0 19 0
5.8 1168960 36755 61468 28 12 16 7 23 0 13 1
5.9 1169366 36344 61466 26 11 17 7 20 1 17 1
6 1168641 37063 61466 22 9 21 9 20 1 17 1
6.1 1166996 38709 61463 17 13 22 6 23 0 18 1
6.2 1167276 38434 61458 19 12 16 6 25 2 20 0
6.3 1166851 38858 61464 25 11 18 5 17 4 20 0
6.4 1167083 38623 61459 23 9 16 6 19 4 21 2
6.5 1167097 38613 61460 22 10 18 5 24 3 15 3
6.6 1168136 37574 61466 23 12 19 7 23 1 14 1
6.7 1168489 37218 61471 27 12 20 7 16 1 16 1
6.8 1168879 36831 61472 25 13 23 6 20 1 11 1
6.9 1169073 36639 61468 28 12 17 6 19 2 15 1
7 1168407 37298 61464 23 6 24 6 17 7 16 1
7.1 1168151 37556 61471 25 11 22 8 18 1 15 0
7.2 1167689 38017 61470 21 11 25 8 21 1 13 0
7.3 1166890 38813 61469 24 8 22 10 18 0 17 1
7.4 1166818 38886 61467 25 5 23 9 17 4 16 1
7.5 1167445 38257 61474 25 8 25 11 16 0 15 0
7.6 1167087 38619 61465 26 10 16 8 17 0 22 1
7.7 1167104 38603 61469 21 9 28 6 22 2 10 2
7.8 1167695 38017 61466 31 10 14 6 17 1 19 2
7.9 1168600 37114 61473 28 11 21 8 22 0 10 0
8 1168982 36736 61462 27 8 14 8 27 3 13 0
8.1 1169826 35893 61475 37 11 15 7 18 0 11 1
8.2 1169808 35913 61467 32 11 12 7 24 1 13 0
8.3 1170360 35361 61468 30 13 14 6 25 1 11 0
8.4 1170706 35014 61467 30 13 14 5 24 1 12 1
8.5 1170685 35032 61448 16 10 13 4 36 3 15 3
8.6 1170402 35312 61463 24 12 17 5 24 2 15 1
8.7 1169453 36256 61458 17 12 18 6 27 1 18 1
8.8 1169403 36307 61469 26 11 18 9 21 0 15 0
8.9 1169744 35967 61464 23 10 19 7 24 2 14 1
9 1169333 36378 61462 27 10 13 7 20 2 20 1
9.1 1167886 37822 61471 23 12 24 7 21 0 12 1
9.2 1167684 38024 61463 23 11 18 6 20 2 19 1
9.3 1167734 37968 61474 22 8 29 10 18 2 11 0
9.4 1166847 38857 61456 16 11 16 8 25 0 23 1
9.5 1167143 38561 61467 17 11 27 7 22 2 14 0
9.6 1165958 39747 61460 22 8 17 8 20 3 21 1
9.7 1166230 39472 61465 23 10 19 8 17 0 21 2
9.8 1164441 41258 61467 19 11 24 8 17 0 20 1
9.9 1165450 40246 61474 18 9 30 12 18 0 13 0
10 1164954 40741 61465 21 8 20 11 14 1 24 1
10.1 1164274 41429 61470 25 11 22 7 14 2 18 1
10.2 1165812 39894 61469 22 12 22 8 20 1 15 0
10.3 1167094 38610 61471 20 11 27 8 20 2 12 0
10.4 1167737 37967 61478 26 13 27 7 13 1 13 0
10.5 1167567 38140 61472 27 11 20 9 18 1 13 1
10.6 1168751 36957 61469 22 13 20 9 24 0 11 1
10.7 1169372 36342 61464 24 13 15 7 26 1 13 1
10.8 1169186 36525 61470 28 12 16 9 20 0 15 0
10.9 1169256 36462 61464 27 11 13 8 27 2 12 0
11 1170027 35686 61457 22 10 15 5 26 3 17 2
11.1 1169839 35870 61466 21 10 21 9 26 0 12 1
11.2 1169694 36013 61471 30 10 15 11 17 0 16 1
11.3 1169362 36347 61468 25 10 19 9 24 0 10 3
11.4 1169995 35713 61474 33 7 16 13 18 0 11 2
11.5 1169824 35878 61467 27 9 17 9 16 1 17 4
11.6 1168897 36803 61468 19 12 21 11 20 0 17 0
11.7 1169346 36356 61469 20 11 23 10 20 2 14 0
11.8 1168508 37196 61465 22 12 17 9 19 3 18 0
11.9 1168240 37458 61470 23 11 21 10 14 1 19 1
12 1166755 38945 61472 24 12 21 10 15 0 17 1
12.1 1167028 38676 61465 21 11 19 9 22 1 15 2
12.2 1167671 38034 61469 22 12 19 11 22 0 14 0
12.3 1168302 37407 61472 32 9 14 12 17 2 14 0
12.4 1168925 36783 61474 32 9 14 14 18 0 13 0
12.5 1169223 36484 61463 27 7 13 11 21 3 16 2
12.6 1168849 36858 61470 26 11 17 11 20 1 14 0
