t ca2er ca2i ip3 s000 s001 s010 s011 s100 s101 s110 s111
0 1053875 151801 61468 12 4 34 13 9 0 26 2
0.1 1075623 130050 61466 9 6 33 13 7 0 32 0
0.2 1093221 112455 61467 15 5 29 13 5 0 32 1
0.3 1111584 94096 61475 14 5 38 13 10 0 19 1
0.4 1125758 79921 61477 19 3 34 16 6 1 21 0
0.5 1136993 68685 61471 13 3 34 16 12 0 21 1
0.6 1146200 59477 61474 15 3 36 15 9 0 20 2
0.7 1153790 51900 61471 21 3 27 15 14 2 18 0
0.8 1158174 47519 61461 19 4 19 14 19 1 23 1
0.9 1161399 44298 61461 24 6 17 9 14 3 25 2
1 1162097 43597 61471 19 10 29 8 15 0 17 2
1.1 1164326 41379 61468 24 10 22 7 20 0 15 2
1.2 1165003 40704 61457 21 7 14 10 26 2 20 0
1.3 1165868 39837 61471 28 7 23 8 17 2 13 2
1.4 1166410 39296 61461 22 9 16 9 24 0 19 1
1.5 1167763 37944 61461 19 8 20 9 27 2 15 0
1.6 1168466 37243 61467 27 8 17 10 22 1 15 0
1.7 1168617 37089 61461 20 9 18 9 26 0 17 1
1.8 1168907 36805 61467 23 8 23 8 27 2 9 0
1.9 1169835 35879 61472 32 9 17 9 21 0 12 0
2 1170124 35589 61473 30 9 22 7 21 1 9 1
2.1 1169784 35940 61470 32 15 15 3 25 0 10 0
2.2 1169866 35853 61473 35 12 19 2 16 4 12 0
2.3 1169759 35955 61464 27 12 15 5 22 1 18 0
2.4 1169413 36298 61477 29 10 26 7 19 1 8 0
2.5 1169264 36451 61464 23 11 19 6 29 0 11 1
2.6 1169662 36054 61467 27 9 19 7 26 2 10 0
2.7 1170200 35515 61470 31 8 20 6 21 3 10 1
2.8 1170544 35167 61476 31 9 22 9 19 0 10 0
2.9 1170173 35537 61466 25 9 19 8 23 1 15 0
3 1169133 36576 61462 28 8 16 5 18 3 20 2
3.1 1167854 37857 61471 30 12 18 6 17 0 17 0
3.2 1167848 37857 61467 25 10 20 7 18 0 19 1
3.3 1167532 38175 61470 28 10 20 7 17 0 17 1
3.4 1167448 38261 61469 31 7 19 7 16 3 16 1
3.5 1167312 38400 61471 32 10 18 6 17 1 15 1
3.6 1167636 38072 61471 33 9 19 5 13 1 17 3
3.7 1168472 37238 61465 27 7 18 8 22 2 15 1
3.8 1167949 37759 61465 25 6 20 9 23 1 15 1
3.9 1168359 37346 61470 27 6 23 9 17 2 16 0
4 1168382 37321 61466 22 6 25 8 21 1 15 2
4.1 1168192 37510 61468 23 10 24 6 16 0 20 1
4.2 1166259 39440 61465 19 9 25 7 17 1 22 0
4.3 1162642 43057 61461 19 10 21 6 18 0 24 2
4.4 1163228 42476 61470 24 9 24 8 18 1 16 0
4.5 1165450 40258 61463 27 6 15 10 21 2 19 0
4.6 1166405 39303 61466 29 7 15 10 19 0 20 0
4.7 1167425 38283 61457 20 6 15 11 29 0 19 0
4.8 1167752 37955 61465 28 4 18 10 20 2 17 1
4.9 1167123 38584 61466 27 6 20 8 19 2 17 1
5 1167989 37726 61464 25 11 19 4 25 1 14 1
5.1 1168312 37401 61472 28 10 22 7 22 0 11 0
5.2 1168218 37497 61459 26 8 13 7 26 2 18 0
5.3 1168658 37057 61470 36 8 12 9 18 0 17 0
5.4 1168961 36751 61467 30 9 16 7 19 1 18 0
5.5 1168613 37099 61466 29 7 17 8 22 1 15 1
5.6 1167384 38322 61463 21 8 22 7 24 0 16 2
5.7 1167533 38176 61472 29 7 22 9 20 0 12 1
5.8 1168247 37461 61460 25 7 16 7 21 2 21 1
5.9 1167097 38611 61462 25 8 18 6 20 2 20 1
6 1167303 38408 61473 31 7 22 8 19 1 11 1
6.1 1167926 37787 61471 34 11 16 5 15 0 18 1
6.2 1166861 38844 61471 25 10 24 7 17 0 17 0
6.3 1166564 39141 61469 21 9 28 6 22 0 12 2
6.4 1167992 37720 61471 26 8 23 9 25 0 9 0
6.5 1167510 38197 61468 28 9 19 7 16 1 20 0
6.6 1167216 38490 61466 26 9 20 6 18 0 19 2
6.7 1167812 37892 61466 21 7 24 9 23 0 15 1
6.8 1167506 38202 61471 30 7 20 9 18 0 15 1
6.9 1168205 37502 61465 29 6 15 10 19 0 20 1
7 1168065 37648 61472 30 10 21 6 19 1 13 0
7.1 1168630 37081 61469 31 6 18 9 19 2 15 0
7.2 1168725 36987 61463 26 11 18 3 21 1 18 2
7.3 1166593 39116 61469 25 9 25 5 19 3 14 0
7.4 1167833 37885 61481 41 12 19 4 12 0 11 1
7.5 1168630 37092 61466 32 12 13 4 24 1 14 0
7.6 1169298 36423 61464 30 11 14 4 25 2 14 0
7.7 1169531 36186 61471 34 12 15 5 18 0 16 0
7.8 1168670 37043 61466 29 10 18 4 19 2 17 1
7.9 1168238 37476 61473 33 12 19 4 15 2 15 0
8 1168836 36878 61473 32 13 20 3 15 2 15 0
8.1 1169177 36537 61470 27 12 22 4 21 2 12 0
8.2 1169476 36233 61469 25 12 24 3 19 1 14 2
8.3 1169191 36521 61469 26 12 21 5 21 1 14 0
8.4 1168284 37430 61469 28 15 20 1 19 0 15 2
8.5 1168096 37618 61470 27 12 22 4 21 2 12 0
8.6 1168250 37462 61453 20 10 14 4 28 2 20 2
8.7 1167818 37896 61464 26 10 16 7 25 1 15 0
8.8 1168739 36977 61467 28 11 18 5 24 1 12 1
8.9 1169058 36656 61464 25 14 17 3 22 1 18 0
9 1169271 36443 61464 25 13 17 4 23 1 17 0
9.1 1169296 36415 61468 28 9 17 9 22 1 14 0
9.2 1168251 37451 61469 26 7 22 9 16 2 17 1
9.3 1167489 38213 61473 27 9 23 9 14 1 17 0
9.4 1166819 38879 61470 21 10 26 8 15 2 18 0
9.5 1166025 39675 61467 22 9 27 4 12 7 19 0
9.6 1162601 43095 61461 16 12 19 9 19 0 25 0
9.7 1163512 42190 61463 17 10 21 10 25 1 16 0
9.8 1165872 39832 61469 23 10 21 10 22 0 13 1
9.9 1167620 38090 61469 31 11 14 8 18 1 16 1
10 1168279 37437 61465 33 10 8 9 22 2 16 0
10.1 1169101 36610 61469 28 11 15 10 23 0 13 0
10.2 1169269 36439 61465 24 10 17 9 23 2 15 0
10.3 1169188 36512 61474 25 11 24 9 14 1 16 0
10.4 1167455 38245 61466 22 11 18 10 18 0 21 0
10.5 1168038 37673 61463 29 9 12 8 21 3 17 1
10.6 1169008 36705 61476 33 13 18 7 17 0 12 0
10.7 1169535 36174 61466 21 12 21 7 26 0 12 1
10.8 1168774 36930 61470 29 10 17 9 14 2 19 0
10.9 1167553 38149 61464 18 9 22 10 24 2 15 0
11 1167137 38563 61465 21 10 19 10 20 0 19 1
11.1 1167079 38620 61475 27 8 23 12 14 1 15 0
11.2 1167381 38321 61472 25 10 22 10 17 1 15 0
11.3 1167265 38434 61463 19 7 20 12 22 2 18 0
11.4 1167793 37907 61470 22 8 24 11 20 1 13 1
11.5 1167377 38321 61475 26 6 27 11 14 3 12 1
11.6 1166942 38759 61467 21 11 20 10 20 0 18 0
11.7 1167758 37949 61471 30 8 17 11 18 1 15 0
11.8 1168316 37390 61470 28 7 18 12 20 1 14 0
11.9 1168699 37008 61467 27 7 17 11 22 1 14 1
12 1168660 37050 61470 26 9 20 10 24 1 10 0
12.1 1169205 36507 61461 28 9 13 6 23 2 16 3
12.2 1169652 36056 61477 32 11 20 9 16 0 11 1
12.3 1169921 35784 61464 23 9 18 9 23 1 15 2
12.4 1169686 36020 61470 24 12 20 9 21 0 14 0
12.5 1168562 37137 61462 18 8 20 11 22 2 19 0
12.6 1167551 38147 61459 14 8 23 9 24 2 19 1
12.7 1167935 37768 61473 29 7 21 11 15 2 15 0
12.8 1168270 37434 61467 22 8 20 12 24 0 14 0
12.9 1169105 36607 61474 30 10 19 10 22 0 9 0
13 1169851 35862 61464 27 8 16 8 24 4 13 0
13.1 1169505 36203 61476 30 12 21 8 16 0 13 0
13.2 1169066 36639 61462 23 10 18 6 21 1 18 3
13.3 1168435 37267 61464 22 9 18 10 20 1 20 0
13.4 1167700 38003 61461 18 10 20 8 24 1 18 1
13.5 1166932 38771 61466 21 10 23 7 20 1 17 1
13.6 1166665 39038 61463 24 8 18 8 17 2 23 0
13.7 1166597 39114 61471 36 10 15 5 11 2 20 1
13.8 1167639 38076 61473 33 12 18 5 18 0 13 1
13.9 1167536 38177 61468 28 10 20 5 21 2 13 1
14 1168479 37234 61472 31 10 21 5 17 3 13 0
14.1 1168885 36826 61469 26 12 22 4 20 1 14 1
14.2 1168441 37268 61466 25 10 20 6 20 2 17 0
14.3 1168023 37685 61462 20 10 20 7 25 1 17 0
14.4 1167036 38673 61472 26 10 25 6 19 2 12 0
14.5 1167381 38326 61466 26 8 20 7 19 2 17 1
14.6 1167433 38274 61470 25 9 24 7 20 1 13 1
14.7 1166439 39260 61464 21 4 22 12 20 2 19 0
14.8 1166810 38890 61479 28 6 28 12 14 0 12 0
14.9 1166925 38777 61463 23 6 20 9 19 1 21 1
15 1166138 39568 61469 26 7 23 8 19 2 14 1
15.1 1167579 38136 61478 44 8 12 9 11 0 15 1
15.2 1168868 36842 61467 25 5 23 9 25 4 8 1
15.3 1169334 36382 61466 30 9 16 6 23 3 12 1
15.4 1169872 35839 61462 25 8 15 9 25 2 16 0
15.5 1169038 36669 61471 25 11 22 8 20 0 14 0
15.6 1169010 36693 61462 19 9 23 6 23 1 16 3
15.7 1168428 37278 61471 24 10 24 8 21 0 12 1
15.8 1168740 36969 61473 29 9 21 9 20 0 11 1
15.9 1168776 36935 61457 21 9 14 8 30 0 16 2
16 1167802 37901 61466 28 7 16 10 17 0 20 2
16.1 1168107 37600 61465 25 8 20 7 21 2 15 2
16.2 1168570 37137 61471 26 10 22 8 19 1 14 0
16.3 1168216 37491 61467 27 11 17 7 18 0 19 1
16.4 1167435 38275 61460 23 8 17 7 24 4 17 0
16.5 1168060 37650 61470 29 12 19 5 17 1 16 1
16.6 1168825 36888 61470 29 12 19 5 21 0 12 2
16.7 1168887 36824 61473 30 12 20 6 18 0 13 1
16.8 1169055 36659 61463 25 14 15 4 23 1 18 0
16.9 1168487 37223 61464 23 12 20 4 21 3 17 0
17 1168761 36950 61477 30 13 25 4 15 2 11 0
17.1 1168829 36882 61468 30 11 18 4 17 2 16 2
17.2 1168937 36771 61472 33 10 18 6 13 1 17 2
17.3 1168023 37688 61467 24 11 20 7 24 1 13 0
17.4 1168204 37507 61470 26 11 21 7 22 1 12 0
17.5 1168617 37093 61471 27 12 23 4 19 1 12 2
17.6 1169171 36538 61466 23 11 20 7 23 1 15 0
17.7 1168507 37203 61465 24 13 18 5 22 0 17 1
17.8 1167824 37887 61461 22 13 18 3 23 2 18 1
17.9 1168483 37226 61468 21 10 25 7 25 2 10 0
18 1168245 37464 61463 24 10 17 7 23 1 17 1
18.1 1168627 37082 61470 27 9 22 7 19 3 13 0
18.2 1168689 37018 61467 26 7 21 8 20 4 13 1
18.3 1167855 37854 61480 35 14 22 4 10 0 13 2
18.4 1168790 36912 61474 24 12 25 8 17 0 13 1
18.5 1168648 37056 61471 30 8 18 10 14 3 17 0
18.6 1167631 38072 61461 20 11 17 8 22 2 19 1
18.7 1167247 38453 61473 27 11 20 10 14 0 17 1
18.8 1167840 37863 61467 23 10 19 10 21 1 15 1
18.9 1168444 37263 61473 27 13 19 9 19 0 13 0
19 1168746 36955 61477 31 10 20 11 11 1 16 0
19.1 1168262 37441 61468 23 9 19 12 22 1 14 0
19.2 1169326 36380 61478 34 9 21 9 11 4 12 0
19.3 1168628 37072 61462 18 11 20 8 21 2 19 1
19.4 1168509 37190 61471 17 14 27 8 20 0 14 0
19.5 1167674 38025 61465 19 11 21 9 19 2 19 0
19.6 1166031 39665 61462 19 9 21 8 17 3 21 2
19.7 1165560 40136 61465 19 11 21 9 17 1 21 1
19.8 1166380 39324 61468 25 12 20 6 17 1 17 2
19.9 1166834 38876 61460 20 12 18 5 26 3 15 1
20 1168104 37612 61474 31 16 18 4 20 0 10 1
20.1 1168063 37648 61467 26 14 17 5 20 2 16 0
20.2 1168199 37506 61466 21 15 20 5 19 2 18 0
20.3 1167205 38501 61478 26 17 25 5 15 0 12 0
20.4 1168733 36977 61470 28 13 15 9 22 0 12 1
20.5 1169391 36318 61466 24 10 19 8 24 3 11 1
20.6 1168465 37240 61464 26 10 15 8 18 3 19 1
20.7 1168946 36760 61468 26 15 16 6 16 1 20 0
20.8 1167148 38555 61471 21 16 24 5 17 1 16 0
20.9 1167245 38459 61475 23 14 27 6 17 3 10 0
21 1167028 38674 61465 20 13 20 7 21 1 16 2
21.1 1167123 38580 61464 19 14 18 8 23 0 17 1
21.2 1166962 38739 61463 19 13 16 10 22 0 20 0
21.3 1167995 37709 61467 23 12 17 10 21 1 16 0
21.4 1168442 37260 61465 25 8 19 8 18 4 15 3
21.5 1168435 37264 61469 24 12 19 9 16 0 18 2
21.6 1167953 37747 61467 16 13 24 9 23 1 14 0
21.7 1167645 38059 61473 25 14 24 5 16 2 12 2
21.8 1168274 37433 61474 28 14 20 7 17 1 12 1
21.9 1168027 37682 61468 28 13 14 8 20 2 14 1
22 1168500 37204 61467 21 12 19 10 23 2 13 0
22.1 1168881 36823 61472 30 13 16 8 13 1 18 1
22.2 1168475 37224 61465 19 14 18 9 19 0 21 0
22.3 1168058 37634 61468 19 9 23 12 15 2 20 0
22.4 1166509 39191 61465 20 11 19 10 20 1 19 0
22.5 1166525 39178 61462 19 14 17 7 21 1 21 0
22.6 1166051 39651 61468 23 12 20 8 17 2 18 0
22.7 1167335 38373 61472 28 12 20 7 18 2 12 1
22.8 1168255 37454 61471 30 13 14 9 19 0 14 1
22.9 1169204 36507 61472 28 14 17 8 21 2 10 0
23 1169619 36089 61470 29 11 15 10 20 1 13 1
23.1 1169447 36261 61470 28 14 15 8 18 0 17 0
23.2 1170002 35707 61472 26 13 20 8 22 0 10 1
23.3 1169667 36039 61471 27 13 19 7 19 0 12 3
23.4 1169749 35954 61463 19 12 18 9 25 0 15 2
23.5 1169684 36021 61480 33 11 21 10 12 2 11 0
23.6 1169852 35848 61468 28 8 15 12 17 0 17 3
