t ca2er ca2i ip3 s000 s001 s010 s011 s100 s101 s110 s111
0 1053875 151801 61468 11 5 32 17 8 1 24 2
0.1 1081080 124591 61472 8 5 36 20 7 0 24 0
0.2 1103848 101828 61465 7 4 37 14 10 3 22 3
0.3 1119709 85970 61470 11 7 32 17 9 0 24 0
0.4 1134921 70767 61469 10 10 32 14 16 0 18 0
0.5 1146889 58801 61463 15 9 22 14 14 0 25 1
0.6 1153459 52232 61478 20 9 32 14 10 0 14 1
0.7 1157893 47805 61461 17 11 19 11 17 1 23 1
0.8 1161767 43927 61470 21 10 24 12 11 0 20 2
0.9 1162346 43342 61465 16 4 27 15 12 3 22 1
1 1161487 44202 61464 18 6 25 12 9 3 25 2
1.1 1161130 44568 61466 17 12 26 8 16 1 17 3
1.2 1162300 43395 61472 19 11 29 10 12 1 16 2
1.3 1163078 42620 61466 17 12 25 9 15 1 20 1
1.4 1164167 41537 61457 14 12 22 6 22 2 20 2
1.5 1164929 40776 61461 17 15 19 7 19 0 23 0
1.6 1163222 42480 61463 16 15 24 5 17 0 21 2
1.7 1162114 43586 61465 19 12 22 9 14 1 23 0
1.8 1163350 42352 61461 15 12 24 7 18 3 21 0
1.9 1164087 41614 61473 22 13 26 9 12 0 18 0
2 1164243 41461 61469 18 14 26 8 18 0 16 0
2.1 1165317 40384 61470 19 11 30 7 15 2 14 2
2.2 1166141 39565 61454 15 11 17 8 24 2 22 1
2.3 1166915 38791 61470 22 14 24 7 16 0 16 1
2.4 1165347 40354 61468 21 11 23 10 14 0 21 0
2.5 1164869 40835 61468 20 11 27 7 17 1 15 2
2.6 1164172 41533 61462 17 10 24 8 20 3 18 0
2.7 1165522 40180 61464 21 10 21 9 15 2 21 1
2.8 1164453 41240 61471 18 9 30 11 12 0 18 2
2.9 1162839 42857 61467 18 9 27 10 13 1 21 1
3 1161700 44001 61471 23 8 26 11 14 1 16 1
3.1 1162484 43218 61461 20 10 16 12 18 1 23 0
3.2 1164112 41586 61470 22 11 26 8 11 1 18 3
3.3 1165402 40300 61475 27 14 23 8 8 0 19 1
