t ca2er ca2i ip3 s000 s001 s010 s011 s100 s101 s110 s111
0 1053875 151801 61468 10 6 31 18 8 1 25 1
0.1 1079655 126021 61468 12 4 29 20 9 0 24 2
0.2 1103301 102378 61466 16 4 24 19 9 0 24 4
0.3 1124113 81569 61472 18 4 29 18 8 2 18 3
0.4 1138813 66876 61464 17 8 21 15 14 0 21 4
0.5 1148220 57469 61470 18 8 23 18 12 0 21 0
0.6 1155904 49780 61469 15 6 26 19 12 0 21 1
0.7 1158249 47441 61462 13 4 24 18 20 2 17 2
0.8 1162068 43631 61470 21 9 23 14 17 1 13 2
0.9 1163487 42210 61466 21 8 19 15 15 2 19 1
1 1165832 39869 61464 21 7 20 13 18 4 15 2
1.1 1167270 38432 61466 23 11 20 9 16 1 15 5
1.2 1167287 38413 61468 21 14 19 11 14 0 20 1
1.3 1166238 39463 61460 17 13 19 8 16 4 22 1
1.4 1165196 40507 61475 26 13 25 8 9 4 14 1
1.5 1166351 39347 61472 18 13 27 11 14 2 15 0
1.6 1165653 40047 61465 19 13 21 9 14 3 20 1
1.7 1166407 39300 61471 22 17 21 8 16 1 15 0
1.8 1166467 39242 61466 19 16 20 8 21 2 14 0
1.9 1167943 37767 61465 21 15 20 6 19 3 15 1
2 1168296 37416 61469 26 16 19 5 16 1 15 2
2.1 1168057 37656 61471 31 15 16 6 12 2 17 1
2.2 1168484 37232 61465 25 16 14 7 21 1 16 0
2.3 1169694 36028 61465 28 13 14 7 25 3 9 1
2.4 1170578 35145 61467 31 14 12 7 23 3 9 1
2.5 1170827 34889 61472 29 14 16 10 20 0 11 0
2.6 1170351 35367 61465 24 17 14 7 24 0 14 0
2.7 1170072 35644 61476 33 15 16 9 15 0 12 0
2.8 1170482 35231 61475 30 13 20 9 17 0 9 2
2.9 1170407 35307 61471 29 13 14 12 20 1 11 0
3 1170697 35018 61471 28 14 16 10 21 1 9 1
3.1 1170810 34906 61475 29 13 19 11 21 1 6 0
3.2 1171184 34532 61468 32 9 11 13 20 3 12 0
3.3 1170896 34820 61459 22 15 9 10 27 0 17 0
3.4 1170990 34727 61473 30 14 17 9 20 1 8 1
3.5 1171066 34655 61467 30 12 14 8 23 3 9 1
3.6 1171252 34469 61471 31 16 14 7 20 1 11 0
3.7 1170991 34728 61472 31 16 17 5 16 3 12 0
3.8 1170504 35216 61469 28 19 15 4 19 1 14 0
3.9 1170277 35447 61472 33 16 14 6 20 2 9 0
4 1170549 35173 61469 34 11 13 8 19 4 11 0
4.1 1170611 35110 61465 26 15 15 6 25 1 11 1
4.2 1170621 35097 61471 34 11 14 9 18 1 11 2
4.3 1170695 35018 61470 27 12 17 11 20 0 13 0
4.4 1169821 35889 61466 20 11 22 10 24 0 12 1
4.5 1169556 36160 61467 30 9 16 9 19 2 14 1
4.6 1169353 36361 61470 31 13 16 7 14 0 18 1
4.7 1168536 37182 61459 21 11 17 7 27 3 14 0
4.8 1168907 36807 61458 21 11 16 7 25 1 17 2
4.9 1168467 37247 61465 25 11 18 8 22 0 14 2
5 1168654 37060 61461 24 10 15 9 23 0 18 1
5.1 1169149 36566 61465 25 11 16 10 23 0 15 0
5.2 1169574 36145 61464 30 9 13 9 22 2 14 1
5.3 1170067 35654 61475 35 14 15 8 17 0 11 0
5.4 1170364 35361 61474 36 15 15 5 18 1 9 1
5.5 1170247 35472 61463 25 14 16 5 23 2 14 1
5.6 1170360 35351 61467 27 9 18 10 19 1 14 2
5.7 1169255 36452 61469 28 10 18 10 12 2 20 0
5.8 1168096 37612 61470 20 11 25 11 22 0 11 0
5.9 1168292 37420 61469 26 12 21 7 16 3 15 0
6 1168689 37028 61464 20 14 20 7 27 1 11 0
6.1 1169403 36313 61466 28 11 15 9 21 1 14 1
6.2 1169400 36312 61469 27 12 20 7 17 1 14 2
6.3 1168233 37476 61461 22 12 14 10 20 0 22 0
6.4 1168851 36862 61471 31 10 17 10 16 0 15 1
6.5 1168607 37104 61468 27 9 20 9 17 2 15 1
6.6 1168936 36779 61464 28 9 15 9 21 1 15 2
6.7 1168653 37062 61469 26 13 20 7 19 1 14 0
6.8 1168398 37310 61475 31 8 21 12 12 1 15 0
6.9 1168859 36849 61468 27 8 20 10 15 2 17 1
7 1168757 36956 61465 23 11 19 9 23 1 13 1
7.1 1168684 37025 61467 19 12 24 9 23 0 12 1
7.2 1166725 38978 61463 20 8 20 12 18 1 21 0
7.3 1165786 39921 61459 18 9 20 9 23 1 18 2
7.4 1165919 39789 61470 23 13 24 7 16 0 16 1
7.5 1167083 38624 61475 24 13 29 6 13 1 13 1
7.6 1167743 37969 61472 27 12 22 8 16 1 14 0
7.7 1168254 37459 61465 23 14 18 7 20 0 18 0
7.8 1167918 37795 61466 25 13 19 6 17 2 18 0
