t ca2er ca2i ip3 s000 s001 s010 s011 s100 s101 s110 s111
0 1053875 151801 61468 11 5 32 16 8 1 25 2
0.1 1078727 126947 61479 11 5 40 19 7 0 18 0
0.2 1101905 103772 61468 13 6 30 15 6 1 27 2
0.3 1120366 85309 61471 10 6 35 16 8 0 23 2
0.4 1133354 72330 61467 16 8 25 14 9 0 26 2
0.5 1144874 60812 61466 18 6 22 16 11 0 25 2
0.6 1154227 51466 61471 19 7 24 17 16 0 17 0
0.7 1160444 45252 61467 19 9 22 13 17 0 18 2
0.8 1163055 42639 61464 15 6 23 16 21 1 17 1
0.9 1165556 40140 61478 23 10 27 14 12 1 13 0
1 1166750 38955 61466 25 10 15 12 18 2 17 1
1.1 1167001 38702 61462 23 10 14 11 19 1 19 3
1.2 1167911 37794 61469 28 11 12 14 16 1 18 0
1.3 1168135 37568 61466 21 12 17 12 19 2 17 0
1.4 1167948 37756 61458 18 11 18 7 24 2 14 6
1.5 1168357 37350 61466 26 10 14 12 19 3 15 1
1.6 1169087 36626 61463 29 10 9 11 21 2 17 1
1.7 1169468 36241 61465 21 13 17 10 23 1 15 0
1.8 1169219 36489 61467 24 12 16 11 20 1 16 0
1.9 1169139 36568 61466 23 12 20 7 18 2 16 2
2 1167959 37750 61475 31 9 21 10 14 2 12 1
2.1 1168778 36936 61465 27 13 13 8 21 0 17 1
2.2 1168539 37175 61464 25 14 14 7 21 1 18 0
2.3 1168246 37469 61474 29 15 21 5 16 2 12 0
2.4 1168292 37422 61462 25 16 13 4 19 1 21 1
2.5 1168853 36859 61467 27 12 18 6 18 3 14 2
2.6 1168541 37168 61463 23 13 18 5 17 4 19 1
2.7 1167829 37879 61469 23 15 21 6 17 1 16 1
2.8 1167604 38104 61470 24 13 22 7 16 2 16 0
2.9 1168181 37530 61463 22 14 16 7 22 0 18 1
3 1168527 37188 61467 34 10 10 9 15 3 19 0
3.1 1169356 36358 61469 28 10 19 8 20 3 11 1
3.2 1169256 36455 61475 27 11 24 9 18 2 9 0
3.3 1168718 36991 61472 27 12 20 9 16 1 15 0
3.4 1169516 36197 61461 20 11 17 9 28 1 13 1
3.5 1169571 36141 61463 28 11 12 8 18 2 20 1
3.6 1168330 37380 61471 29 11 19 8 15 2 15 1
3.7 1168218 37498 61459 23 13 13 6 25 1 18 1
3.8 1169184 36536 61467 29 13 14 7 24 0 12 1
3.9 1169659 36061 61468 28 11 17 8 25 1 10 0
4 1170036 35681 61471 32 9 16 10 20 1 12 0
4.1 1170445 35276 61468 31 10 17 6 23 2 9 2
4.2 1170389 35329 61460 28 9 12 7 23 3 17 1
4.3 1170551 35174 61465 31 12 13 5 25 2 11 1
4.4 1170924 34802 61481 42 14 15 6 15 0 8 0
4.5 1170567 35155 61468 30 12 15 7 24 0 12 0
4.6 1170273 35449 61470 31 12 17 6 23 0 10 1
4.7 1170394 35329 61461 28 10 14 5 27 2 12 2
4.8 1170568 35154 61470 31 11 18 6 22 2 10 0
4.9 1170726 34999 61470 32 12 16 6 24 1 9 0
5 1170959 34767 61464 33 9 10 8 26 2 12 0
5.1 1170851 34877 61467 34 11 11 7 26 0 11 0
5.2 1170868 34855 61461 27 8 14 8 29 1 13 0
5.3 1170882 34843 61472 36 8 18 6 21 2 8 1
5.4 1170699 35024 61462 26 9 16 7 29 0 13 0
5.5 1170275 35442 61466 28 7 19 8 22 1 15 0
5.6 1169472 36244 61473 32 9 22 6 15 0 16 0
5.7 1168288 37427 61463 25 8 20 6 22 0 18 1
5.8 1167064 38648 61457 19 8 19 7 25 0 22 0
5.9 1166736 38980 61465 28 8 20 5 19 1 18 1
6 1167024 38694 61466 25 9 23 5 24 0 13 1
6.1 1167778 37941 61473 31 7 24 7 20 1 10 0
6.2 1167974 37745 61465 32 7 16 6 19 1 18 1
6.3 1168299 37419 61470 30 8 21 7 20 0 14 0
6.4 1168477 37239 61474 31 8 24 7 17 0 13 0
6.5 1167704 38007 61462 26 6 19 7 18 1 22 1
6.6 1166405 39310 61463 27 7 20 5 20 1 18 2
6.7 1166533 39186 61469 30 8 21 6 21 0 13 1
6.8 1167090 38626 61460 25 6 16 9 25 0 19 0
6.9 1168371 37348 61467 33 5 18 7 20 2 13 2
7 1168880 36837 61468 28 7 21 8 23 0 12 1
7.1 1168927 36788 61465 26 8 20 7 22 0 16 1
7.2 1168858 36858 61472 28 7 25 8 21 1 10 0
7.3 1168864 36850 61460 25 6 16 9 23 1 20 0
7.4 1168481 37233 61464 29 6 16 9 20 0 19 1
7.5 1169115 36602 61468 32 6 17 9 20 0 15 1
7.6 1168004 37709 61461 23 10 18 6 21 0 22 0
7.7 1167353 38357 61466 24 7 24 7 20 0 16 2
7.8 1166885 38826 61468 26 8 22 8 18 0 18 0
7.9 1164986 40723 61461 16 9 27 5 24 1 17 1
8 1165636 40070 61467 24 9 24 6 14 0 22 1
8.1 1163869 41840 61463 24 7 21 7 17 3 21 0
8.2 1163693 42020 61464 24 8 20 8 23 0 16 1
8.3 1166024 39692 61459 24 8 16 7 26 0 17 2
8.4 1167302 38409 61462 22 8 19 9 24 0 17 1
8.5 1168151 37561 61455 20 8 15 8 26 1 21 1
8.6 1167992 37716 61465 22 10 21 8 19 0 20 0
8.7 1167958 37750 61463 19 10 23 7 22 0 18 1
8.8 1166904 38804 61465 23 9 24 5 16 3 19 1
8.9 1166665 39044 61465 24 13 19 5 15 0 24 0
9 1165854 39857 61459 22 10 18 5 20 2 22 1
9.1 1166424 39283 61469 27 9 21 8 14 1 19 1
9.2 1164308 41397 61456 17 5 19 11 26 0 20 2
9.3 1163784 41918 61458 21 4 17 12 20 0 24 2
9.4 1164237 41464 61462 23 4 19 12 16 0 25 1
9.5 1164668 41031 61470 21 4 30 11 15 0 18 1
9.6 1166108 39597 61469 24 4 28 9 18 0 14 3
9.7 1166725 38981 61461 21 4 20 12 22 0 21 0
9.8 1166418 39289 61470 27 6 24 9 15 0 18 1
9.9 1165939 39768 61471 28 6 23 10 14 0 19 0
10 1165956 39752 61464 23 9 19 9 19 0 21 0
10.1 1166243 39466 61471 25 9 26 7 18 0 13 2
