t ca2er ca2i ip3 s000 s001 s010 s011 s100 s101 s110 s111
0 1053875 151801 61468 11 5 32 18 7 1 24 2
0.1 1081203 124483 61463 15 8 23 15 11 0 25 3
0.2 1106072 99615 61462 13 6 22 19 16 1 22 1
0.3 1127243 78452 61475 22 9 26 16 13 0 12 2
0.4 1143704 62001 61474 28 14 19 11 11 1 15 1
0.5 1152933 52763 61465 18 9 24 12 15 3 16 3
0.6 1158636 47061 61465 16 11 22 14 18 1 17 1
0.7 1162888 42820 61456 14 11 16 13 31 0 13 2
0.8 1166175 39535 61468 27 12 14 13 18 1 15 0
0.9 1168107 37608 61476 35 14 13 12 14 1 11 0
1 1169584 36126 61462 20 9 17 14 27 3 9 1
1.1 1170053 35657 61473 25 12 21 13 21 1 6 1
1.2 1169958 35749 61465 24 11 17 11 19 2 13 3
1.3 1169810 35898 61470 26 14 16 12 17 1 13 1
1.4 1169631 36079 61474 25 16 21 10 17 1 10 0
1.5 1170142 35575 61461 24 18 10 7 22 2 17 0
1.6 1169458 36254 61463 23 14 15 9 20 4 15 0
1.7 1169590 36122 61470 23 17 19 9 20 1 11 0
1.8 1169730 35981 61460 18 14 18 8 25 3 12 2
1.9 1170090 35619 61466 27 13 14 10 15 3 17 1
2 1169522 36186 61469 28 13 15 11 13 3 17 0
2.1 1168858 36846 61467 20 13 20 12 18 1 16 0
2.2 1168379 37330 61473 24 15 23 9 16 2 11 0
2.3 1168861 36850 61470 26 15 17 10 18 0 13 1
2.4 1169845 35866 61471 21 14 23 11 23 1 7 0
2.5 1169974 35734 61466 22 12 20 10 20 2 12 2
2.6 1170026 35686 61474 32 14 19 7 12 2 11 3
2.7 1170475 35233 61472 23 13 22 12 19 1 10 0
2.8 1169449 36254 61472 24 12 22 12 13 2 15 0
2.9 1168969 36735 61469 21 13 21 12 18 0 14 1
3 1169353 36352 61465 18 13 21 11 22 0 13 2
3.1 1169079 36628 61461 22 11 15 11 20 2 17 2
3.2 1168413 37290 61471 25 13 20 11 13 0 16 2
3.3 1168720 36981 61473 25 11 21 14 12 1 16 0
3.4 1168180 37524 61464 21 10 17 14 20 1 16 1
3.5 1168376 37335 61464 28 10 14 10 17 4 15 2
3.6 1169117 36594 61472 29 13 17 11 16 1 12 1
3.7 1169308 36402 61466 26 12 16 10 18 2 14 2
3.8 1168644 37065 61456 16 14 14 10 25 2 19 0
3.9 1169345 36364 61474 29 11 21 11 14 3 10 1
4 1168735 36974 61474 25 14 21 12 18 0 10 0
4.1 1168753 36958 61456 23 11 13 7 22 2 17 5
4.2 1168914 36793 61473 25 15 22 9 13 1 15 0
4.3 1168985 36723 61466 20 15 20 9 19 1 16 0
4.4 1165996 39715 61461 21 17 15 6 19 1 20 1
4.5 1166121 39583 61465 17 16 23 7 18 0 17 2
