t ca2er ca2i ip3 s000 s001 s010 s011 s100 s101 s110 s111
0 1053875 151801 61468 11 6 29 20 8 1 23 2
0.1 1081703 123975 61473 12 7 31 21 10 0 17 2
0.2 1106703 98985 61473 17 13 27 14 8 1 18 2
0.3 1128924 76765 61471 17 9 24 19 14 0 15 2
0.4 1143819 61867 61473 19 10 26 16 7 1 18 3
0.5 1151352 54335 61468 15 9 23 19 13 2 18 1
0.6 1157908 47785 61471 20 12 18 19 13 0 18 0
0.7 1162169 43524 61472 20 11 22 17 13 1 14 2
0.8 1164526 41170 61458 14 12 17 13 20 2 18 4
0.9 1166184 39518 61464 20 17 14 11 17 1 17 3
1 1167763 37944 61472 23 20 18 9 15 1 13 1
1.1 1168503 37205 61463 18 21 14 8 19 2 18 0
1.2 1168971 36733 61472 24 19 17 10 12 1 16 1
1.3 1169603 36103 61477 23 20 24 8 13 2 9 1
1.4 1170187 35520 61474 26 19 17 10 13 1 13 1
1.5 1170324 35379 61472 24 14 19 13 15 2 11 2
1.6 1170074 35637 61474 26 19 18 9 16 2 9 1
1.7 1170125 35584 61475 26 19 20 8 13 3 10 1
1.8 1169717 35986 61468 20 19 17 10 14 2 18 0
1.9 1169346 36358 61465 19 16 18 10 17 4 15 1
2 1168151 37550 61466 18 19 18 9 13 3 20 0
2.1 1167545 38156 61471 21 19 18 11 14 0 15 2
2.2 1167877 37822 61465 15 18 20 10 18 1 15 3
2.3 1167576 38123 61469 21 19 15 12 12 0 20 1
2.4 1168171 37527 61467 13 16 20 16 22 1 12 0
2.5 1169485 36217 61471 19 15 20 15 19 3 9 0
2.6 1169538 36164 61470 21 18 17 12 14 2 16 0
2.7 1170237 35468 61473 22 19 16 14 18 0 11 0
2.8 1170054 35646 61471 20 17 18 14 16 1 13 1
2.9 1169833 35870 61468 20 16 16 14 19 2 12 1
3 1168954 36747 61473 25 15 15 16 14 1 13 1
3.1 1169427 36276 61469 24 16 12 15 16 1 15 1
3.2 1169788 35917 61465 23 15 12 13 17 4 15 1
3.3 1169624 36080 61462 21 17 11 11 17 3 18 2
3.4 1169785 35924 61470 21 22 16 9 18 2 12 0
3.5 1170110 35596 61475 25 18 18 12 15 1 10 1
3.6 1170249 35454 61464 20 13 15 14 18 5 15 0
3.7 1170325 35381 61467 20 16 14 15 22 1 12 0
3.8 1170793 34914 61466 18 17 16 13 24 1 10 1
3.9 1170935 34769 61467 19 14 14 18 24 0 11 0
4 1171235 34475 61471 24 18 14 13 21 0 9 1
4.1 1170993 34720 61476 29 19 15 11 16 1 9 0
4.2 1170987 34727 61469 28 19 9 11 19 0 13 1
4.3 1170847 34858 61468 24 14 15 13 16 3 14 1
4.4 1170523 35183 61474 24 18 20 10 14 2 11 1
