t ca2er ca2i ip3 s000 s001 s010 s011 s100 s101 s110 s111
0 1053875 151801 61468 11 5 33 15 9 0 24 1
0.1 1078413 127264 61470 9 8 38 11 8 1 22 1
0.2 1096196 109478 61469 13 6 33 13 3 1 28 1
0.3 1113282 92398 61468 11 6 32 15 13 0 20 1
0.4 1129928 75756 61459 15 5 21 14 13 0 28 2
0.5 1142156 63530 61469 18 6 28 13 11 0 20 2
0.6 1148807 56881 61471 16 8 30 13 13 0 18 0
0.7 1152946 52739 61467 14 8 31 10 12 0 20 3
0.8 1157563 48127 61471 18 9 28 12 12 0 19 0
0.9 1159704 45987 61462 13 8 24 13 19 0 21 0
1 1161901 43790 61459 12 8 23 12 19 1 23 0
1.1 1162246 43446 61471 18 10 31 8 12 1 16 2
1.2 1161997 43703 61468 19 11 25 9 18 0 16 0
1.3 1164096 41606 61465 21 8 22 10 20 1 15 1
1.4 1165790 39909 61465 24 6 21 10 14 3 19 1
1.5 1166676 39031 61458 19 10 17 8 25 1 17 1
1.6 1167295 38411 61463 29 10 12 8 14 1 23 1
1.7 1168161 37551 61466 27 11 15 9 22 0 14 0
1.8 1168926 36789 61470 28 11 20 7 22 2 8 0
1.9 1169533 36183 61476 34 12 18 8 18 0 8 0
2 1169766 35944 61462 19 10 22 7 27 2 10 1
2.1 1169475 36233 61464 24 11 16 9 21 0 17 0
2.2 1169402 36301 61470 23 7 25 11 19 2 11 0
2.3 1168115 37590 61470 24 11 24 7 17 1 13 1
2.4 1168359 37345 61468 23 10 22 9 18 1 15 0
2.5 1168569 37137 61461 22 10 17 8 21 2 17 1
2.6 1168349 37353 61468 19 13 25 7 19 0 14 1
2.7 1168397 37311 61461 20 10 18 9 25 2 14 0
2.8 1168809 36900 61462 26 8 17 7 19 4 16 1
2.9 1168300 37406 61468 25 7 23 9 18 4 12 0
3 1169212 36502 61469 25 12 21 7 24 0 9 0
3.1 1169318 36394 61469 30 9 18 8 19 1 12 1
3.2 1169477 36236 61466 27 8 18 9 23 2 11 0
3.3 1169421 36289 61466 24 10 20 8 22 1 13 0
