t ca2er ca2i ip3 s000 s001 s010 s011 s100 s101 s110 s111
0 1053875 151801 61468 11 5 32 17 8 0 25 2
0.1 1078920 126762 61470 15 4 32 16 9 2 20 2
0.2 1100520 105155 61461 9 3 25 21 13 0 27 2
0.3 1120887 84786 61470 13 3 31 20 9 0 19 5
0.4 1132842 72835 61467 9 8 29 18 12 0 22 2
0.5 1144164 61527 61469 18 12 24 12 11 1 20 2
0.6 1153145 52549 61474 21 14 23 13 11 0 17 1
0.7 1159671 46025 61470 15 12 29 11 17 4 11 1
0.8 1163298 42399 61471 21 14 22 11 14 0 15 3
0.9 1165930 39771 61466 21 14 17 11 16 2 18 1
1 1167489 38215 61465 18 15 17 12 23 0 14 1
1.1 1168226 37481 61462 21 18 13 7 20 0 18 3
1.2 1168853 36853 61471 24 17 18 9 17 0 13 2
1.3 1169592 36115 61471 23 17 17 11 19 0 13 0
1.4 1170232 35477 61472 28 14 16 11 18 1 10 2
1.5 1170938 34767 61474 28 12 16 15 16 1 12 0
1.6 1171082 34630 61469 28 14 13 11 21 1 10 2
1.7 1171108 34598 61473 27 12 17 14 17 2 11 0
1.8 1169500 36200 61460 20 10 14 13 18 4 20 1
1.9 1169282 36415 61469 19 13 20 14 16 1 17 0
2 1168532 37168 61471 24 13 18 13 14 1 16 1
2.1 1168500 37201 61467 20 13 20 11 18 2 14 2
2.2 1168996 36708 61462 20 13 16 10 20 3 16 2
2.3 1169536 36172 61466 22 14 16 11 23 0 12 2
2.4 1169257 36449 61467 26 12 13 13 19 1 14 2
2.5 1169555 36151 61475 26 15 20 11 15 3 10 0
2.6 1170207 35505 61476 27 16 17 13 22 0 5 0
2.7 1170696 35015 61468 26 18 11 10 20 0 14 1
2.8 1170763 34943 61471 26 14 19 9 15 4 11 2
2.9 1170589 35117 61473 24 18 18 10 16 1 13 0
3 1170641 35063 61471 24 17 17 10 15 1 15 1
3.1 1170311 35388 61472 22 13 24 10 16 1 9 5
3.2 1169368 36331 61465 20 14 13 15 18 0 20 0
3.3 1169318 36384 61470 24 13 16 14 17 0 15 1
3.4 1169743 35971 61466 29 18 8 8 17 1 19 0
3.5 1169845 35866 61469 26 15 13 12 21 0 13 0
3.6 1170149 35557 61472 23 15 23 8 18 1 9 3
3.7 1169499 36206 61466 24 14 15 10 16 2 18 1
3.8 1169206 36497 61466 21 13 18 11 18 2 16 1
