t ca2er ca2i ip3 s000 s001 s010 s011 s100 s101 s110 s111
0 1053875 151801 61468 11 4 36 12 8 0 27 1
0.1 1070721 134950 61458 10 1 29 13 7 0 36 3
0.2 1085417 120251 61467 8 0 39 15 6 1 29 1
0.3 1100944 104734 61469 14 3 32 15 9 0 26 0
0.4 1117590 88090 61467 11 2 36 13 15 0 19 3
0.5 1131923 73765 61462 15 3 27 12 17 1 22 2
0.6 1142496 63197 61465 23 4 21 12 14 0 23 2
0.7 1151406 54289 61471 20 8 28 10 15 0 18 0
0.8 1158550 47146 61476 23 8 33 7 13 0 12 3
0.9 1160503 45194 61470 26 7 22 10 11 2 21 0
1 1163067 42635 61469 23 9 22 10 19 0 16 0
1.1 1164964 40738 61470 23 8 25 9 19 1 13 1
1.2 1165609 40095 61462 22 10 18 7 20 0 21 1
1.3 1166518 39190 61474 30 8 22 9 17 1 12 0
1.4 1168212 37499 61467 28 8 18 8 22 1 13 1
1.5 1168323 37384 61472 29 6 22 10 19 1 11 1
1.6 1168864 36846 61472 32 8 21 6 18 0 10 4
1.7 1169514 36198 61466 28 8 15 10 24 1 13 0
1.8 1170081 35631 61475 30 8 23 9 21 2 6 0
1.9 1170459 35255 61465 32 10 13 5 20 1 15 3
2 1170112 35604 61469 32 11 13 8 22 0 13 0
2.1 1170533 35185 61466 33 10 11 7 23 1 13 1
2.2 1170665 35055 61469 30 14 16 4 24 1 10 0
2.3 1170633 35085 61475 35 13 18 4 18 1 9 1
2.4 1170922 34796 61472 31 15 18 3 20 0 12 0
2.5 1170806 34911 61466 29 12 17 3 22 2 13 1
2.6 1170595 35122 61475 31 13 22 4 20 1 8 0
2.7 1168989 36724 61465 27 13 16 4 20 1 18 0
2.8 1168293 37411 61464 19 11 23 6 22 0 17 1
2.9 1166525 39179 61461 25 8 18 5 16 3 22 2
3 1166489 39214 61468 24 8 23 8 17 2 17 0
3.1 1165826 39881 61459 19 8 19 8 27 1 16 1
3.2 1167263 38442 61471 26 8 21 11 20 0 13 0
3.3 1167824 37882 61465 27 8 16 9 19 1 18 1
3.4 1168282 37428 61469 28 8 18 10 22 1 12 0
3.5 1169609 36103 61465 26 6 16 12 28 1 10 0
3.6 1169489 36221 61477 40 6 15 11 12 1 13 1
3.7 1169803 35905 61461 23 7 15 11 27 0 15 1
3.8 1170389 35326 61473 30 9 19 10 25 0 6 0
3.9 1170583 35131 61461 28 7 11 10 26 2 15 0
4 1170774 34936 61468 28 6 19 10 24 0 10 2
4.1 1170947 34767 61473 33 7 18 10 21 1 9 0
4.2 1171019 34696 61469 32 8 14 10 23 0 12 0
4.3 1171061 34660 61467 35 8 11 8 25 1 10 1
4.4 1171157 34558 61462 25 10 15 7 28 0 13 1
4.5 1171064 34657 61469 32 10 16 6 25 1 9 0
4.6 1171087 34631 61469 35 11 15 3 18 1 14 2
4.7 1170775 34940 61460 23 11 15 6 28 0 16 0
4.8 1169782 35928 61454 21 7 16 5 26 3 19 2
4.9 1168753 36953 61461 23 10 17 6 20 0 22 1
5 1167690 38019 61475 30 9 24 7 16 1 12 0
5.1 1168019 37687 61465 21 9 22 8 23 1 15 0
5.2 1167825 37880 61466 23 9 21 8 20 1 17 0
5.3 1167828 37872 61468 20 8 27 8 19 1 15 1
5.4 1167264 38442 61469 26 11 22 5 16 1 17 1
5.5 1168043 37666 61472 25 12 25 5 19 1 12 0
5.6 1168722 36989 61469 24 11 25 4 22 2 10 1
5.7 1168541 37171 61475 30 10 25 5 17 2 10 0
5.8 1168781 36932 61468 31 9 16 7 20 0 15 1
5.9 1169628 36094 61473 34 9 19 6 25 1 4 1
6 1170106 35616 61468 35 10 12 6 24 0 11 1
6.1 1170607 35113 61474 36 8 18 7 22 1 6 1
6.2 1170269 35445 61467 33 3 15 11 22 3 12 0
6.3 1170234 35484 61471 34 9 16 7 22 0 10 1
6.4 1170330 35384 61464 30 7 14 8 22 2 16 0
6.5 1169587 36125 61467 25 10 21 6 24 0 12 1
6.6 1168923 36785 61473 29 7 24 8 17 2 12 0
6.7 1169308 36400 61471 27 6 22 11 22 0 11 0
6.8 1169606 36107 61463 28 5 13 12 27 0 14 0
6.9 1170358 35354 61463 26 4 15 13 29 0 12 0
