t ca2er ca2i ip3 s000 s001 s010 s011 s100 s101 s110 s111
0 1053875 151801 61468 11 6 32 17 8 1 24 2
0.1 1078028 127648 61465 7 5 30 21 14 0 24 0
0.2 1102051 103624 61462 7 5 32 16 11 2 25 3
0.3 1117607 88066 61470 11 4 33 20 9 0 21 3
0.4 1132747 72930 61465 14 5 26 18 9 0 25 4
0.5 1144394 61288 61467 15 7 26 17 11 0 22 3
0.6 1153529 52160 61475 24 8 23 18 7 1 20 0
0.7 1156493 49195 61462 17 7 22 14 12 3 23 3
0.8 1159608 46084 61468 16 10 25 15 15 2 18 0
0.9 1161480 44206 61474 13 11 32 16 13 0 16 0
1 1163554 42134 61475 23 8 26 16 6 2 19 1
1.1 1164552 41139 61470 17 11 25 15 14 0 18 1
1.2 1165511 40186 61459 16 9 19 13 20 3 19 2
1.3 1166506 39189 61467 20 6 23 16 16 4 15 1
1.4 1167951 37748 61462 17 10 21 12 21 3 14 3
1.5 1167619 38078 61473 23 15 20 13 11 0 19 0
1.6 1167649 38051 61474 20 14 28 10 15 2 11 1
1.7 1167943 37760 61469 20 15 25 7 15 4 14 1
1.8 1167660 38045 61464 19 17 20 6 17 3 18 1
1.9 1165749 39950 61474 23 18 23 8 8 1 20 0
2 1166372 39332 61466 23 14 18 9 15 3 18 1
2.1 1167204 38499 61472 26 14 19 11 14 0 15 2
2.2 1167697 38003 61467 20 13 18 14 18 0 18 0
2.3 1167814 37889 61466 20 13 18 13 20 1 16 0
2.4 1168141 37570 61477 31 20 17 7 11 0 15 0
2.5 1169190 36523 61464 21 15 21 5 23 5 9 2
2.6 1169397 36314 61463 19 17 19 6 24 2 12 2
2.7 1169811 35905 61476 33 16 16 9 16 2 9 0
2.8 1170452 35266 61463 26 17 9 9 25 1 14 0
2.9 1170692 35026 61472 28 17 18 7 21 3 7 0
3 1170848 34868 61476 36 16 14 8 14 1 10 2
3.1 1170236 35473 61472 29 16 17 8 14 2 13 2
3.2 1169737 35972 61471 28 16 17 8 14 3 14 1
3.3 1169735 35975 61470 25 16 18 9 19 2 11 1
3.4 1170203 35506 61470 26 18 15 9 17 0 15 1
3.5 1169350 36357 61467 24 14 14 13 20 1 15 0
3.6 1169330 36376 61466 23 15 14 12 19 2 16 0
3.7 1169535 36174 61469 25 15 16 11 20 3 10 1
3.8 1170186 35521 61470 25 18 15 10 18 0 13 2
3.9 1170621 35089 61471 33 14 10 12 15 2 13 2
4 1170901 34818 61465 28 16 9 10 27 1 8 2
4.1 1171261 34457 61472 36 16 7 11 18 1 11 1
4.2 1171417 34298 61465 26 17 11 9 23 2 12 1
4.3 1171057 34659 61463 26 19 10 6 22 2 14 2
4.4 1170755 34955 61468 25 19 15 7 17 2 15 1
4.5 1169867 35841 61463 17 18 17 9 24 2 14 0
4.6 1169619 36090 61471 26 19 16 8 16 2 13 1
4.7 1169893 35812 61475 23 18 23 9 16 2 9 1
4.8 1170039 35665 61478 27 21 19 9 10 0 15 0
4.9 1169630 36078 61463 19 19 15 8 21 2 17 0
5 1169333 36374 61470 20 18 22 8 20 2 10 1
5.1 1168720 36989 61462 21 18 13 8 21 2 17 1
5.2 1169036 36668 61470 27 17 16 8 12 1 17 3
5.3 1169270 36439 61462 25 16 11 8 18 3 18 2
5.4 1169844 35874 61471 29 21 11 8 21 0 11 0
5.5 1170161 35553 61469 23 19 16 9 24 1 9 0
5.6 1170104 35608 61473 28 18 20 5 15 4 9 2
5.7 1170480 35232 61473 25 21 17 8 19 0 11 0
5.8 1170262 35457 61467 26 20 14 5 23 3 9 1
5.9 1170676 35040 61468 24 22 13 7 23 0 12 0
6 1170632 35079 61468 27 16 14 9 17 4 14 0
6.1 1170448 35265 61467 24 18 14 9 22 2 12 0
6.2 1170440 35272 61466 30 14 8 12 19 2 15 1
6.3 1170785 34926 61467 28 14 10 13 21 2 12 1
6.4 1170887 34821 61470 30 14 10 14 16 2 15 0
6.5 1170148 35556 61464 25 14 14 9 14 5 18 2
6.6 1169296 36407 61476 25 17 21 11 14 1 11 1
6.7 1169486 36217 61467 20 13 19 13 20 4 12 0
6.8 1169521 36180 61471 25 14 19 11 13 3 14 2
6.9 1169163 36538 61462 18 14 16 12 21 2 16 2
7 1169217 36487 61466 22 16 17 9 19 1 13 4
7.1 1169232 36471 61475 32 10 15 16 12 3 12 1
7.2 1169652 36052 61465 25 14 15 9 18 1 13 6
7.3 1169745 35959 61470 25 16 13 14 18 1 13 1
7.4 1169803 35900 61470 25 18 12 13 15 1 17 0
7.5 1169297 36408 61472 23 22 20 5 15 1 11 4
7.6 1168752 36944 61471 20 21 20 8 9 2 20 1
7.7 1167652 38045 61474 18 20 26 8 12 3 13 1
7.8 1168418 37289 61466 21 18 14 11 21 2 14 0
7.9 1169369 36339 61472 24 20 16 10 19 0 11 1
8 1169578 36124 61466 21 15 16 12 19 2 14 2
8.1 1169671 36027 61467 14 18 22 11 19 2 15 0
8.2 1168918 36783 61472 22 18 21 9 13 1 16 1
8.3 1168095 37601 61472 19 15 24 12 13 2 16 0
8.4 1166104 39595 61465 14 17 23 9 18 3 17 0
