t ca2er ca2i ip3 s000 s001 s010 s011 s100 s101 s110 s111
0 1053875 151801 61468 11 4 34 13 9 0 28 1
0.1 1077019 128660 61473 11 4 40 12 11 0 21 1
0.2 1096171 109508 61467 13 5 31 12 9 0 29 1
0.3 1116777 88905 61467 18 3 24 16 10 0 29 0
0.4 1133472 72213 61474 20 3 29 16 11 0 21 0
0.5 1143243 62442 61473 17 4 32 14 13 0 19 1
0.6 1150474 55212 61460 11 5 27 11 19 0 24 3
0.7 1154761 50928 61471 19 6 29 11 14 0 18 3
0.8 1158199 47494 61472 24 7 24 11 12 0 20 2
0.9 1160095 45590 61467 20 3 22 16 12 0 26 1
1 1160987 44705 61471 19 4 28 14 18 1 15 1
1.1 1163064 42627 61459 16 5 20 12 20 1 23 3
1.2 1164139 41552 61476 21 6 29 14 15 0 14 1
1.3 1165395 40298 61469 24 4 22 13 15 1 18 3
1.4 1165948 39747 61463 17 6 19 15 23 0 20 0
1.5 1165914 39785 61469 28 5 16 14 16 1 19 1
1.6 1165987 39715 61474 27 7 21 13 18 0 14 0
1.7 1167382 38325 61475 33 8 18 10 15 1 14 1
1.8 1168230 37474 61471 28 8 18 11 18 0 16 1
1.9 1169060 36648 61472 28 7 19 12 22 1 11 0
2 1169381 36325 61476 23 10 27 10 23 0 7 0
2.1 1170003 35713 61471 30 9 20 6 24 3 6 2
2.2 1169708 36002 61465 29 9 12 9 21 1 18 1
2.3 1168071 37636 61471 26 10 20 9 21 0 13 1
2.4 1168292 37416 61460 25 7 12 10 25 1 18 2
2.5 1167799 37906 61466 25 8 15 12 22 0 18 0
2.6 1168114 37587 61462 18 9 19 10 23 1 20 0
2.7 1167643 38066 61474 31 8 17 12 20 0 12 0
2.8 1168816 36897 61464 26 8 14 10 28 1 12 1
2.9 1169484 36227 61465 25 9 15 10 27 0 13 1
3 1169105 36608 61469 28 10 17 8 23 1 13 0
3.1 1169203 36507 61467 23 11 21 6 25 0 12 2
3.2 1168624 37080 61468 29 6 16 11 17 2 18 1
3.3 1168852 36850 61471 25 9 20 11 18 0 17 0
3.4 1167219 38478 61473 24 8 26 9 15 0 15 3
3.5 1166398 39306 61468 22 8 23 9 22 2 13 1
3.6 1167140 38566 61472 28 9 18 11 19 0 15 0
3.7 1167365 38332 61472 21 8 25 12 18 0 16 0
3.8 1166802 38899 61469 27 8 17 11 15 1 21 0
3.9 1166511 39187 61477 25 8 26 12 15 0 14 0
4 1167152 38550 61472 26 8 22 10 17 1 15 1
4.1 1166377 39324 61465 20 8 21 10 23 0 16 2
4.2 1166838 38862 61465 26 6 15 12 17 1 22 1
4.3 1166940 38768 61475 30 9 21 9 19 0 10 2
4.4 1167546 38162 61471 31 7 15 12 19 1 15 0
4.5 1168520 37186 61468 29 8 14 11 19 0 18 1
4.6 1168814 36891 61468 26 7 19 10 19 3 16 0
4.7 1168903 36799 61469 26 9 19 9 17 0 18 2
4.8 1167992 37710 61463 22 6 20 9 21 3 17 2
4.9 1168110 37593 61471 26 7 21 11 19 1 14 1
5 1168272 37430 61478 26 8 27 11 17 1 10 0
5.1 1167269 38432 61463 21 9 18 9 21 0 20 2
5.2 1166713 38991 61461 19 10 17 9 25 1 18 1
5.3 1167373 38338 61463 26 11 12 8 25 0 16 2
5.4 1168603 37109 61469 29 11 17 6 23 0 10 4
5.5 1169369 36343 61470 28 11 16 9 23 1 12 0
5.6 1169948 35769 61471 32 13 13 7 22 1 12 0
5.7 1170288 35427 61464 22 15 16 5 29 0 12 1
5.8 1169413 36299 61473 30 14 18 5 18 1 13 1
5.9 1169341 36373 61473 32 16 13 6 18 0 15 0
6 1169976 35735 61477 32 11 19 9 18 2 9 0
6.1 1169620 36089 61466 21 10 20 9 28 2 9 1
6.2 1169530 36174 61469 26 8 19 10 20 1 14 2
6.3 1169540 36171 61472 31 10 16 9 20 0 13 1
6.4 1169974 35737 61472 28 10 19 9 23 0 10 1
6.5 1169728 35983 61472 29 11 19 7 20 1 12 1
6.6 1169668 36043 61459 26 9 13 5 22 4 19 2
6.7 1169150 36562 61466 25 12 17 6 24 1 14 1
6.8 1169591 36125 61477 29 13 24 5 22 1 6 0
6.9 1169723 35990 61465 25 10 19 5 24 3 13 1
7 1168929 36783 61470 27 14 18 5 20 0 16 0
7.1 1167886 37826 61471 28 15 20 2 18 0 15 2
7.2 1168898 36814 61471 26 12 22 5 21 2 12 0
7.3 1168365 37341 61476 29 8 24 9 16 1 13 0
7.4 1168534 37172 61470 26 8 21 9 19 1 16 0
7.5 1168362 37339 61474 23 8 28 9 17 1 14 0
7.6 1166361 39340 61469 24 7 22 10 17 1 19 0
7.7 1166340 39364 61469 22 6 27 8 20 4 13 0
7.8 1167446 38263 61463 20 12 20 5 24 1 18 0
7.9 1167215 38494 61458 20 12 14 6 25 0 23 0
8 1167200 38507 61467 21 14 24 2 19 1 18 1
8.1 1166351 39353 61476 22 12 30 6 18 0 12 0
8.2 1166635 39067 61470 22 8 25 9 19 1 16 0
8.3 1164954 40746 61464 20 9 21 8 19 0 22 1
8.4 1165256 40447 61480 27 9 31 7 14 1 10 1
8.5 1165324 40378 61471 23 6 26 10 19 1 15 0
8.6 1165175 40528 61464 24 6 21 7 18 3 19 2
8.7 1165650 40057 61471 26 11 21 7 18 1 16 0
8.8 1166131 39576 61459 17 9 18 9 29 1 17 0
8.9 1166375 39328 61477 24 10 27 10 19 0 10 0
9 1166856 38848 61472 28 10 18 10 16 0 18 0
9.1 1166612 39094 61468 32 8 16 6 12 2 22 2
9.2 1166747 38956 61458 20 9 13 10 23 0 25 0
9.3 1167299 38406 61477 32 9 20 10 13 0 16 0
9.4 1167612 38088 61468 23 5 22 12 20 1 16 1
9.5 1166643 39062 61467 20 8 23 10 26 0 12 1
9.6 1167922 37790 61467 28 9 17 7 24 0 12 3
9.7 1169045 36669 61469 33 7 11 12 23 0 14 0
9.8 1169846 35868 61462 29 5 12 10 25 4 15 0
9.9 1169767 35942 61463 26 7 16 8 24 1 15 3
10 1169173 36533 61467 28 6 18 9 19 2 16 2
10.1 1168201 37510 61467 33 9 13 6 17 1 18 3
10.2 1168722 36984 61468 29 7 17 9 17 2 18 1
10.3 1167278 38423 61454 15 6 17 10 27 1 23 1
10.4 1166937 38767 61473 24 9 26 8 19 0 13 1
10.5 1166321 39382 61470 26 8 22 8 16 0 19 1
10.6 1165394 40308 61466 22 7 23 8 20 0 18 2
10.7 1165967 39736 61468 21 9 24 8 20 0 18 0
10.8 1166252 39458 61475 29 11 23 6 17 0 14 0
10.9 1166867 38842 61469 23 10 23 7 23 0 14 0
