t ca2er ca2i ip3 s000 s001 s010 s011 s100 s101 s110 s111
0 1053875 151801 61468 11 5 32 17 8 1 24 2
0.1 1080701 124976 61474 15 4 34 18 7 2 17 3
0.2 1101501 104168 61473 10 5 34 21 6 0 22 2
0.3 1122696 82980 61475 12 6 33 21 10 0 17 1
0.4 1138687 66992 61479 18 6 33 19 6 0 16 2
0.5 1148830 56850 61474 14 8 35 14 7 2 17 3
0.6 1154508 51176 61469 13 9 29 15 11 2 20 1
0.7 1158917 46773 61469 21 9 23 13 8 3 21 2
0.8 1162375 43327 61469 22 16 20 8 15 0 16 3
0.9 1165360 40343 61461 14 15 19 10 24 1 16 1
1 1166297 39408 61465 20 14 18 10 21 1 14 2
1.1 1167369 38337 61463 20 12 19 9 22 3 12 3
1.2 1167411 38295 61463 24 10 16 10 19 4 14 3
1.3 1168763 36942 61474 28 13 15 15 16 0 13 0
1.4 1169281 36427 61473 28 12 16 14 18 2 10 0
1.5 1169961 35757 61463 25 17 10 8 26 2 11 1
1.6 1170854 34864 61473 32 17 13 8 19 2 8 1
1.7 1171216 34506 61468 31 16 11 7 22 4 9 0
1.8 1171360 34364 61471 32 17 13 6 22 4 6 0
1.9 1171425 34299 61465 30 17 10 5 25 3 8 2
2 1171626 34102 61468 36 17 7 5 23 3 7 2
2.1 1171147 34571 61471 30 17 13 8 21 1 9 1
2.2 1171143 34570 61467 27 13 12 12 23 1 11 1
2.3 1171001 34708 61463 24 11 14 11 21 4 14 1
2.4 1170698 35012 61465 22 13 16 11 23 3 12 0
2.5 1170463 35247 61475 31 15 15 11 14 1 13 0
2.6 1169912 35793 61472 26 11 22 10 15 4 10 2
2.7 1169979 35728 61472 23 13 20 13 21 1 9 0
2.8 1170061 35640 61468 21 14 18 12 17 0 17 1
2.9 1167749 37949 61462 21 8 18 12 14 6 20 1
3 1167123 38573 61462 14 11 24 10 18 4 17 2
3.1 1165375 40316 61463 21 8 20 11 9 3 24 4
3.2 1166014 39684 61472 20 13 24 12 15 0 15 1
3.3 1166767 38935 61468 24 13 19 9 12 4 18 1
3.4 1167759 37946 61484 29 14 27 11 11 2 6 0
3.5 1168503 37201 61464 18 16 19 8 20 2 15 2
3.6 1168344 37359 61472 29 13 14 13 11 2 18 0
3.7 1168182 37521 61473 24 15 20 11 15 1 13 1
3.8 1169137 36571 61464 21 13 16 11 23 3 12 1
3.9 1169535 36170 61466 25 12 13 13 19 1 15 2
4 1169044 36662 61469 24 13 16 13 19 1 14 0
4.1 1169539 36172 61473 29 15 17 9 17 1 10 2
4.2 1169749 35963 61466 24 16 15 8 20 3 14 0
4.3 1170423 35291 61467 21 17 18 8 27 1 6 2
4.4 1170905 34811 61474 32 14 14 11 19 3 7 0
4.5 1171311 34399 61471 23 16 19 10 21 2 9 0
4.6 1170662 35051 61472 30 17 14 8 17 1 11 2
4.7 1170358 35351 61468 25 13 17 10 19 4 11 1
4.8 1170308 35401 61466 29 13 12 9 16 3 15 3
4.9 1170431 35276 61465 24 12 16 10 20 3 12 3
5 1169898 35808 61471 22 16 19 11 19 1 12 0
5.1 1170319 35388 61466 23 12 16 12 21 3 12 1
5.2 1170217 35491 61465 26 11 12 13 20 3 14 1
5.3 1170295 35412 61477 34 13 15 12 11 1 12 2
5.4 1170580 35131 61471 28 14 14 12 19 2 11 0
5.5 1170627 35083 61467 27 15 12 10 17 3 16 0
5.6 1170396 35313 61456 17 14 12 10 28 2 15 2
5.7 1170400 35308 61464 25 11 16 9 20 4 11 4
5.8 1170827 34885 61471 26 17 14 11 21 0 11 0
5.9 1170557 35149 61476 29 15 18 11 14 0 11 2
6 1169811 35897 61465 27 12 11 12 19 1 16 2
6.1 1169963 35742 61469 22 13 17 14 21 1 12 0
6.2 1169981 35727 61470 24 14 17 12 21 1 10 1
6.3 1169913 35790 61471 24 14 21 9 14 2 14 2
6.4 1169340 36360 61463 21 12 15 12 17 1 20 2
6.5 1168691 37010 61469 21 12 19 14 18 1 15 0
6.6 1167890 37807 61476 25 10 25 13 11 2 12 2
6.7 1167801 37892 61469 21 6 22 17 14 3 16 1
6.8 1168682 37019 61469 26 6 18 16 17 3 12 2
6.9 1169008 36694 61466 21 10 17 15 21 1 14 1
7 1169653 36058 61474 30 13 16 12 18 1 9 1
7.1 1170132 35579 61462 20 11 15 13 29 2 9 1
7.2 1170530 35179 61463 26 11 9 14 23 0 15 2
7.3 1170463 35245 61467 30 11 9 14 18 0 16 2
7.4 1170789 34920 61471 31 8 17 12 16 5 9 2
7.5 1170550 35160 61467 32 10 11 11 16 3 14 3
7.6 1170771 34945 61469 32 12 11 11 21 1 10 2
7.7 1171065 34650 61464 30 10 9 12 24 1 11 3
7.8 1170698 35011 61471 28 11 17 12 17 3 12 0
7.9 1170665 35048 61470 26 12 18 11 22 2 9 0
8 1170338 35374 61460 26 11 9 11 22 2 18 1
8.1 1169998 35710 61472 26 9 21 13 19 3 9 0
8.2 1170601 35104 61474 27 10 19 15 17 0 12 0
8.3 1169868 35836 61468 25 9 17 14 18 1 15 1
8.4 1169477 36230 61468 24 9 17 15 22 1 12 0
8.5 1169927 35784 61471 32 11 14 11 15 2 14 1
8.6 1170393 35320 61471 25 13 20 10 22 2 8 0
8.7 1170598 35117 61469 26 14 18 8 21 3 10 0
8.8 1170378 35336 61469 29 16 14 7 16 1 17 0
8.9 1170300 35418 61470 26 17 17 7 23 0 10 0
9 1170268 35448 61467 30 14 14 6 18 1 15 2
9.1 1170412 35299 61475 29 13 20 10 16 0 12 0
9.2 1169751 35960 61477 31 12 22 9 15 0 9 2
9.3 1169998 35715 61464 24 11 18 8 23 2 12 2
9.4 1170121 35589 61466 22 10 18 13 25 1 11 0
9.5 1170369 35345 61465 25 13 16 8 22 2 13 1
9.6 1170023 35689 61475 28 14 22 8 17 1 9 1
9.7 1169762 35950 61467 24 12 18 10 22 2 12 0
9.8 1170347 35368 61471 30 12 16 10 20 1 10 1
9.9 1170580 35131 61461 22 11 18 7 24 2 12 4
10 1170593 35117 61469 18 14 26 8 25 1 7 1
10.1 1169684 36024 61474 28 14 21 8 13 1 14 1
10.2 1169537 36177 61470 30 16 13 8 16 0 17 0
10.3 1169425 36292 61470 26 20 18 3 18 0 15 0
10.4 1169447 36265 61469 23 17 23 3 17 2 14 1
10.5 1169737 35968 61464 19 12 23 7 19 2 16 2
10.6 1168726 36979 61461 20 12 16 10 19 1 22 0
10.7 1167834 37870 61470 25 12 21 9 12 2 19 0
10.8 1167415 38291 61472 20 17 28 4 15 1 14 1
10.9 1167629 38082 61460 19 15 17 6 22 2 19 0
11 1167594 38120 61460 24 14 13 6 20 3 20 0
11.1 1167648 38066 61471 28 14 17 9 19 0 13 0
11.2 1168886 36822 61471 25 9 24 10 18 3 10 1
11.3 1167979 37726 61462 20 10 20 9 21 1 16 3
11.4 1167493 38211 61468 23 9 21 12 19 0 14 2
11.5 1167457 38246 61463 21 9 16 14 20 0 20 0
11.6 1167315 38386 61464 18 8 23 12 20 2 16 1
11.7 1167686 38018 61470 25 11 20 11 15 1 16 1
11.8 1168429 37276 61468 22 10 20 13 20 1 14 0
11.9 1169570 36142 61467 29 12 14 9 19 0 14 3
12 1170263 35453 61470 29 12 15 11 22 1 10 0
12.1 1170199 35512 61468 28 10 16 11 20 1 12 2
12.2 1170464 35249 61468 32 10 10 13 19 0 15 1
12.3 1169443 36264 61467 24 10 16 14 21 0 15 0
12.4 1169263 36440 61468 24 6 20 15 20 1 12 2
12.5 1169366 36336 61465 20 8 20 14 20 3 15 0
