t ca2er ca2i ip3 s000 s001 s010 s011 s100 s101 s110 s111
0 1053875 151801 61468 11 6 30 18 8 1 25 2
0.1 1079304 126376 61466 9 8 30 16 13 0 22 3
0.2 1105888 99797 61470 15 8 28 16 11 0 21 2
0.3 1126978 78717 61464 16 11 21 13 17 0 21 2
0.4 1142247 63445 61472 17 9 30 13 13 2 15 2
0.5 1152392 53310 61472 21 14 22 12 16 0 16 0
0.6 1157889 47811 61471 19 14 25 10 16 0 15 2
0.7 1162122 43580 61466 18 13 21 11 20 0 16 2
0.8 1164600 41104 61475 31 10 18 13 10 2 16 1
0.9 1166544 39169 61467 27 14 13 10 20 0 16 1
1 1168512 37201 61461 18 14 17 9 28 1 13 1
1.1 1169077 36634 61465 23 13 17 9 22 1 14 2
1.2 1169181 36531 61465 24 14 15 9 21 1 16 1
1.3 1167978 37729 61461 21 12 18 7 19 1 20 3
1.4 1167899 37812 61474 25 15 24 7 16 1 13 0
1.5 1167962 37746 61471 22 17 23 6 15 0 18 0
1.6 1166431 39280 61455 13 15 19 5 27 2 19 1
1.7 1167261 38455 61477 31 16 22 5 14 0 12 1
1.8 1167868 37850 61468 24 14 20 7 24 1 11 0
1.9 1168996 36718 61480 33 10 23 11 15 1 8 0
2 1169550 36163 61470 26 9 22 10 21 2 10 1
2.1 1169168 36546 61466 28 11 13 11 20 0 18 0
2.2 1169499 36217 61468 30 11 16 8 20 0 13 3
2.3 1169656 36060 61468 30 13 15 7 17 2 16 1
2.4 1169923 35794 61466 24 14 18 7 23 1 14 0
2.5 1169184 36532 61469 25 16 20 5 20 0 14 1
2.6 1169218 36500 61462 23 17 14 5 23 0 19 0
2.7 1168163 37553 61469 24 15 21 6 21 1 13 0
2.8 1168140 37569 61472 27 11 21 10 15 1 16 0
2.9 1168261 37449 61462 19 10 22 8 23 3 15 1
3 1168500 37207 61473 27 12 23 8 12 2 16 1
3.1 1168155 37558 61469 24 14 21 7 20 1 13 1
3.2 1168446 37264 61462 26 11 14 8 17 2 21 2
3.3 1168879 36833 61472 28 13 18 10 17 0 15 0
3.4 1169554 36165 61472 29 11 21 8 21 3 8 0
3.5 1170106 35611 61468 32 10 15 8 19 1 13 3
3.6 1170243 35478 61457 21 15 14 4 28 2 16 1
3.7 1169977 35745 61460 24 14 16 3 25 4 14 1
3.8 1170364 35360 61471 31 16 18 3 20 2 10 1
3.9 1170171 35552 61467 28 14 18 4 22 4 11 0
4 1170145 35581 61465 26 13 18 5 28 2 9 0
4.1 1170024 35703 61466 26 15 19 3 28 1 8 1
4.2 1170519 35207 61466 33 14 12 4 21 1 15 1
4.3 1170632 35092 61460 25 12 17 3 28 1 12 3
4.4 1169772 35948 61472 33 10 18 8 19 0 12 1
4.5 1169831 35889 61464 24 10 19 8 28 0 11 1
4.6 1168636 37078 61467 22 11 23 8 23 0 14 0
4.7 1167479 38233 61469 24 11 24 7 19 0 15 1
4.8 1167754 37955 61471 27 6 24 11 17 1 14 1
4.9 1167994 37713 61466 23 7 22 11 20 0 16 2
5 1166708 39003 61458 24 6 14 11 22 2 21 1
5.1 1167021 38692 61462 24 9 17 9 23 0 17 2
5.2 1168267 37446 61461 22 10 18 8 24 0 17 2
5.3 1167478 38235 61475 30 10 23 9 15 1 13 0
5.4 1167185 38523 61471 22 10 27 9 19 0 13 1
5.5 1166072 39636 61463 24 7 20 9 19 1 18 3
5.6 1166556 39151 61466 23 8 21 11 18 1 19 0
5.7 1165020 40687 61466 25 7 21 10 16 2 19 1
5.8 1166389 39321 61468 26 8 21 10 18 1 16 1
5.9 1166639 39075 61459 18 9 20 9 30 0 13 2
6 1168128 37590 61453 20 6 15 9 32 3 14 2
6.1 1169075 36648 61471 35 10 15 8 21 0 10 2
6.2 1169894 35827 61453 21 9 11 9 32 2 17 0
6.3 1170496 35226 61461 25 8 15 10 30 2 11 0
6.4 1170455 35264 61466 28 7 19 9 23 4 11 0
6.5 1170231 35486 61472 31 9 20 9 19 1 11 1
6.6 1169924 35793 61475 32 12 22 6 15 1 12 1
6.7 1168764 36951 61467 24 11 21 8 22 1 14 0
6.8 1166852 38855 61465 27 8 18 9 13 2 23 1
6.9 1166228 39485 61463 23 10 19 8 21 1 19 0
7 1165576 40133 61470 25 11 24 7 15 0 18 1
7.1 1164796 40913 61474 25 10 28 8 15 1 14 0
7.2 1165232 40481 61469 26 9 24 7 18 2 14 1
7.3 1166970 38744 61468 24 10 22 9 22 0 14 0
7.4 1168524 37191 61474 27 10 25 9 20 0 10 0
7.5 1169025 36692 61460 23 9 15 10 27 0 17 0
7.6 1168527 37186 61467 27 5 21 11 20 2 15 0
7.7 1167517 38192 61471 27 6 25 10 15 2 16 0
7.8 1165528 40178 61464 25 8 19 9 13 1 26 0
7.9 1165610 40102 61459 19 10 21 6 23 1 20 1
8 1166068 39647 61459 24 10 16 6 22 0 21 2
8.1 1166338 39375 61459 22 9 19 6 22 1 20 2
8.2 1166716 39004 61465 27 11 19 5 22 1 15 1
8.3 1167940 37780 61467 27 11 20 6 22 1 14 0
8.4 1168529 37192 61458 24 9 16 6 26 3 17 0
8.5 1168687 37037 61465 32 10 17 3 20 3 14 2
8.6 1168974 36749 61464 27 11 17 6 26 0 13 1
8.7 1169327 36394 61466 29 11 17 6 22 0 15 1
8.8 1169720 36000 61466 31 10 16 6 19 1 17 1
8.9 1168297 37423 61470 32 11 18 6 17 1 16 0
9 1169043 36675 61475 32 9 23 8 18 0 10 1
9.1 1168973 36747 61467 30 9 18 7 22 0 13 2
9.2 1169287 36436 61467 30 8 19 7 25 1 9 2
9.3 1169941 35779 61470 33 6 18 10 20 2 12 0
9.4 1169983 35737 61464 28 5 16 12 27 2 11 0
9.5 1170185 35529 61466 19 7 27 10 30 0 6 2
9.6 1170094 35622 61460 25 7 14 11 26 0 17 1
9.7 1169903 35817 61471 35 7 14 12 20 0 13 0
9.8 1169776 35943 61461 23 8 18 9 29 1 12 1
9.9 1169739 35976 61464 31 7 12 11 19 0 20 1
10 1167826 37889 61460 28 7 12 10 20 2 22 0
10.1 1167906 37811 61465 29 6 16 11 22 2 15 0
10.2 1168653 37058 61472 31 7 19 12 15 0 17 0
10.3 1168183 37526 61472 27 7 23 12 17 0 15 0
10.4 1168455 37260 61469 28 9 22 7 18 2 14 1
10.5 1168692 37034 61468 31 11 16 7 25 1 10 0
10.6 1168829 36888 61467 26 9 23 6 21 3 12 1
10.7 1169261 36457 61464 25 10 22 4 21 3 15 1
