t ca2er ca2i ip3 s000 s001 s010 s011 s100 s101 s110 s111
0 1053875 151801 61468 10 5 33 16 8 1 26 2
0.1 1074907 130768 61475 8 8 43 12 6 1 20 3
0.2 1097518 108159 61471 13 7 34 13 4 1 26 3
0.3 1115925 89762 61469 21 7 23 14 6 1 27 2
0.4 1130440 75244 61465 11 8 29 13 12 1 25 2
0.5 1141004 64681 61474 13 8 35 14 12 0 17 2
0.6 1149561 56131 61472 18 11 28 11 10 1 21 1
0.7 1152733 52956 61465 16 9 22 14 11 2 27 0
0.8 1156296 49399 61477 24 9 25 15 11 0 16 1
0.9 1159532 46160 61464 13 9 26 12 17 2 20 2
1 1161528 44162 61471 19 8 24 16 12 0 21 1
1.1 1162839 42856 61472 24 6 21 17 13 2 17 1
1.2 1165312 40388 61465 17 9 23 12 23 1 12 4
1.3 1166508 39196 61462 21 12 16 9 20 1 18 4
1.4 1167056 38651 61462 20 16 14 8 21 1 19 2
1.5 1168167 37540 61469 21 14 18 12 23 0 12 1
1.6 1168575 37134 61475 31 13 16 11 14 1 14 1
1.7 1168016 37684 61470 20 14 22 10 15 0 19 1
1.8 1168290 37416 61475 23 15 23 10 17 0 13 0
1.9 1168636 37077 61471 24 15 21 7 21 2 10 1
2 1169374 36338 61470 24 13 17 12 24 0 11 0
2.1 1170023 35688 61472 26 13 18 11 20 1 12 0
2.2 1170393 35323 61471 27 14 19 7 22 2 8 2
2.3 1170683 35035 61464 29 16 11 4 21 1 15 4
2.4 1170585 35135 61467 31 16 9 7 21 1 15 1
2.5 1170251 35466 61469 33 12 12 8 17 4 14 1
2.6 1170255 35455 61475 27 14 20 10 17 1 12 0
2.7 1169813 35896 61458 15 12 16 11 29 2 16 0
2.8 1170117 35598 61467 30 11 13 9 20 3 13 2
2.9 1170027 35690 61464 28 13 12 7 23 2 13 3
3 1169929 35783 61476 34 14 13 11 13 0 16 0
3.1 1169822 35889 61463 21 12 14 12 26 1 15 0
3.2 1170238 35475 61473 28 10 22 9 20 3 7 2
3.3 1169978 35732 61469 27 9 19 10 19 3 12 2
3.4 1170209 35498 61469 19 11 23 12 25 0 10 1
3.5 1169840 35867 61473 27 11 18 13 17 0 15 0
3.6 1169058 36649 61469 22 13 21 9 19 1 15 1
3.7 1168238 37470 61464 23 10 15 12 21 2 18 0
3.8 1168069 37640 61464 25 12 15 8 18 2 19 2
3.9 1168238 37473 61467 24 14 19 6 18 3 16 1
4 1168858 36855 61469 24 17 18 6 20 0 15 1
4.1 1169368 36350 61468 24 16 17 7 25 1 11 0
4.2 1169957 35761 61463 22 16 15 6 26 2 14 0
4.3 1170587 35133 61465 24 18 13 6 26 0 14 0
4.4 1170574 35143 61477 34 16 16 7 15 1 11 1
4.5 1170248 35470 61463 28 14 9 8 24 1 15 2
4.6 1170773 34938 61470 29 11 15 11 20 1 11 3
4.7 1170917 34793 61477 28 12 21 12 20 0 6 2
4.8 1171384 34331 61468 26 11 15 12 26 2 8 1
4.9 1171322 34384 61461 24 8 8 17 25 1 16 2
5 1170978 34733 61463 24 13 9 13 25 0 16 1
5.1 1170848 34866 61471 30 13 11 13 22 0 11 1
5.2 1170971 34739 61472 29 11 14 14 19 2 12 0
5.3 1170974 34739 61475 33 13 13 12 16 1 13 0
5.4 1170649 35067 61470 29 13 15 9 20 3 12 0
5.5 1170572 35143 61465 23 15 14 9 26 1 12 1
5.6 1170697 35020 61467 26 15 14 8 24 2 11 1
5.7 1170634 35081 61466 24 14 15 9 24 3 12 0
5.8 1170441 35273 61468 31 15 11 7 15 3 18 1
5.9 1170531 35183 61460 21 12 15 8 26 5 13 1
6 1170461 35258 61471 30 17 13 7 20 2 12 0
6.1 1170358 35363 61476 34 18 13 7 19 0 9 1
6.2 1170799 34919 61468 25 16 15 8 26 1 9 1
6.3 1170938 34779 61474 31 16 14 9 19 1 11 0
6.4 1170492 35224 61470 29 14 14 9 21 1 12 1
6.5 1170719 34997 61470 29 11 16 10 22 3 9 1
6.6 1170340 35370 61467 31 11 12 9 15 2 18 3
6.7 1168831 36869 61477 31 9 19 14 9 1 16 2
6.8 1167016 38689 61472 27 12 17 12 16 0 15 2
6.9 1166782 38921 61469 22 15 19 9 16 0 18 2
7 1167303 38400 61469 19 14 21 11 19 2 15 0
7.1 1168362 37338 61475 24 14 25 8 11 2 14 3
7.2 1168528 37175 61465 23 11 18 9 17 3 16 4
7.3 1168791 36917 61473 25 13 20 11 18 3 11 0
7.4 1169611 36100 61462 23 14 12 9 23 2 16 2
7.5 1169349 36358 61466 20 13 18 11 22 3 14 0
7.6 1168466 37241 61475 25 18 21 7 14 1 14 1
7.7 1167422 38290 61468 26 16 17 5 15 5 17 0
7.8 1168272 37440 61463 19 19 18 3 22 2 16 2
7.9 1167857 37855 61475 30 18 17 6 13 1 15 1
8 1169046 36666 61464 18 15 19 8 28 1 10 2
8.1 1169298 36414 61467 26 15 14 8 19 2 16 1
8.2 1169050 36665 61480 31 18 21 6 14 2 9 0
8.3 1169516 36202 61467 24 19 16 4 22 3 13 0
8.4 1169538 36172 61466 22 14 18 8 20 4 15 0
8.5 1169772 35935 61474 28 15 19 8 12 2 16 1
8.6 1169732 35979 61470 25 14 19 8 18 4 13 0
8.7 1168919 36792 61462 18 16 17 7 25 2 15 1
8.8 1168996 36714 61468 25 13 16 10 20 2 14 1
8.9 1169361 36352 61473 25 17 19 8 21 0 10 1
9 1170038 35676 61472 29 14 18 7 18 3 10 2
9.1 1170055 35657 61463 22 13 13 11 26 1 14 1
9.2 1170701 35017 61467 27 14 12 10 26 1 10 1
9.3 1170895 34822 61467 29 13 10 11 24 1 12 1
9.4 1170761 34957 61471 32 12 11 12 23 0 10 1
9.5 1171163 34553 61466 27 10 13 12 27 1 9 2
9.6 1171043 34668 61470 29 11 15 11 19 0 14 2
9.7 1170666 35044 61473 27 12 18 12 19 0 13 0
9.8 1170560 35144 61472 26 10 21 11 16 1 13 3
9.9 1169743 35962 61470 22 11 21 12 21 0 12 2
10 1169673 36035 61470 23 11 21 11 21 2 11 1
10.1 1169906 35802 61463 21 13 15 10 22 1 18 1
10.2 1169723 35987 61474 29 13 16 12 17 1 13 0
