t ca2er ca2i ip3 s000 s001 s010 s011 s100 s101 s110 s111
0 1053875 151801 61468 9 7 31 19 7 1 24 2
0.1 1080077 125600 61478 10 7 39 20 8 0 14 2
0.2 1105591 100087 61473 9 7 33 22 10 0 19 0
0.3 1124084 81596 61479 13 8 36 20 6 1 16 0
0.4 1138481 67207 61479 20 8 29 20 7 1 15 0
0.5 1149783 55903 61462 13 7 22 18 13 1 23 3
0.6 1156032 49657 61471 15 9 27 18 12 1 17 1
0.7 1160240 45455 61469 17 11 23 16 14 1 17 1
0.8 1163166 42533 61473 21 16 21 13 11 0 17 1
0.9 1163901 41801 61472 22 15 19 14 13 1 16 0
1 1166586 39116 61471 20 14 21 14 17 1 11 2
1.1 1167477 38229 61465 23 11 16 13 17 5 13 2
1.2 1168740 36969 61471 22 15 21 11 20 1 7 3
1.3 1169562 36147 61468 24 15 15 12 17 2 14 1
1.4 1169250 36460 61474 31 15 16 10 10 3 13 2
1.5 1169949 35763 61465 23 13 12 15 24 1 11 1
1.6 1170839 34878 61472 31 14 13 12 20 1 6 3
1.7 1171119 34592 61464 20 12 13 17 27 1 10 0
1.8 1171047 34663 61463 24 12 12 13 21 2 13 3
1.9 1171018 34693 61468 25 13 17 11 20 2 8 4
2 1171092 34616 61471 27 13 17 12 16 1 10 4
2.1 1171254 34457 61473 31 10 12 18 17 2 10 0
2.2 1171254 34460 61466 24 13 14 13 24 2 8 2
2.3 1171282 34432 61472 27 15 16 12 18 1 11 0
2.4 1170959 34758 61469 29 18 12 8 16 1 15 1
2.5 1170751 34962 61472 30 18 13 9 11 1 18 0
2.6 1170454 35260 61470 24 19 18 7 17 0 14 1
2.7 1170497 35217 61469 23 16 21 7 17 4 12 0
2.8 1170209 35509 61459 17 18 17 5 26 3 13 1
2.9 1168962 36753 61463 23 18 15 5 18 2 17 2
3 1169209 36508 61469 23 19 19 6 20 1 11 1
3.1 1169451 36266 61463 21 19 14 7 23 0 15 1
3.2 1169656 36060 61467 26 18 12 9 18 0 17 0
3.3 1169424 36290 61476 29 15 21 9 14 1 10 1
3.4 1168892 36817 61469 23 13 19 12 17 1 15 0
3.5 1168466 37245 61466 25 13 18 8 16 2 15 3
3.6 1169092 36623 61465 23 16 17 7 19 2 15 1
3.7 1170067 35649 61470 28 16 17 7 15 2 14 1
3.8 1169674 36045 61469 29 17 13 8 18 0 14 1
3.9 1169875 35842 61463 23 16 15 7 21 2 15 1
4 1168668 37051 61467 30 15 11 9 17 2 16 0
4.1 1169384 36330 61474 30 12 20 10 16 1 8 3
4.2 1169750 35963 61467 25 13 15 12 20 0 14 1
4.3 1169814 35902 61470 29 13 14 12 18 1 13 0
4.4 1170174 35544 61467 26 13 17 9 22 2 9 2
4.5 1170693 35030 61464 24 15 14 9 28 1 8 1
4.6 1170953 34763 61469 27 14 16 10 20 0 11 2
4.7 1170631 35085 61469 25 13 18 11 21 2 10 0
4.8 1171007 34715 61471 30 15 16 8 20 3 7 1
4.9 1171269 34449 61472 26 17 20 7 20 1 7 2
5 1170179 35535 61461 19 14 16 10 25 2 13 1
5.1 1169625 36087 61467 19 17 19 10 22 0 13 0
5.2 1169023 36685 61468 22 14 19 11 17 1 15 1
5.3 1169435 36277 61472 25 14 20 11 17 2 11 0
5.4 1168944 36761 61474 22 12 25 13 15 1 12 0
5.5 1168885 36819 61468 23 11 22 10 13 2 16 3
5.6 1167530 38174 61467 25 6 18 16 14 4 17 0
5.7 1168779 36929 61471 27 10 22 10 14 2 11 4
5.8 1169242 36461 61468 19 9 23 15 18 2 14 0
5.9 1167710 37996 61466 18 13 22 11 19 1 15 1
6 1168724 36988 61470 25 12 19 12 18 2 12 0
6.1 1169105 36605 61473 28 14 21 8 11 2 14 2
6.2 1168845 36865 61465 18 16 20 9 21 0 15 1
6.3 1168836 36875 61468 23 15 21 7 17 1 13 3
6.4 1169305 36405 61469 26 12 19 10 16 1 13 3
6.5 1169778 35938 61472 31 11 18 10 15 3 11 1
6.6 1170004 35715 61463 26 13 13 9 22 2 14 1
6.7 1170441 35279 61469 29 14 16 8 19 1 12 1
6.8 1169737 35979 61462 25 11 14 10 21 2 16 1
6.9 1169323 36389 61476 31 12 21 10 11 1 13 1
7 1169877 35839 61472 29 14 19 8 16 0 12 2
7.1 1169263 36454 61462 25 14 12 9 20 1 19 0
7.2 1169000 36719 61465 27 12 17 7 20 2 13 2
7.3 1168646 37075 61467 24 15 19 7 23 1 11 0
7.4 1168964 36759 61462 25 15 13 7 24 0 16 0
7.5 1169362 36355 61467 28 13 17 7 16 1 17 1
7.6 1169420 36300 61466 26 13 16 9 22 0 14 0
7.7 1169913 35812 61467 33 14 11 7 19 0 15 1
7.8 1169887 35838 61462 23 13 19 5 28 2 8 2
7.9 1169931 35793 61472 36 12 14 8 15 2 13 0
8 1170171 35550 61469 29 13 17 8 19 1 13 0
8.1 1168653 37063 61459 23 10 15 9 21 3 19 0
8.2 1168450 37263 61468 25 10 22 9 18 1 13 2
8.3 1169270 36444 61469 25 10 22 10 20 0 11 2
8.4 1168193 37513 61464 20 9 21 12 17 2 19 0
8.5 1166819 38886 61466 19 10 22 13 18 0 18 0
8.6 1166915 38792 61464 21 10 22 9 17 1 17 3
