t ca2er ca2i ip3 s000 s001 s010 s011 s100 s101 s110 s111
0 1053875 151801 61468 10 4 35 12 8 0 28 1
0.1 1081820 123868 61479 18 5 38 11 11 0 14 1
0.2 1102993 102688 61465 11 4 30 13 12 0 28 0
0.3 1119281 86399 61467 7 5 37 11 15 0 21 2
0.4 1130173 75511 61472 11 8 37 9 12 0 20 1
0.5 1141682 64004 61471 19 3 31 11 8 3 22 1
0.6 1148734 56954 61467 14 5 29 12 15 1 22 0
0.7 1153244 52444 61473 16 7 34 9 12 0 18 2
0.8 1157423 48274 61471 20 6 30 8 17 1 13 3
0.9 1160905 44794 61467 23 8 21 8 14 1 22 1
1 1162953 42750 61459 21 4 17 10 21 4 21 0
1.1 1165534 40168 61470 22 5 25 11 20 2 13 0
1.2 1166588 39114 61462 18 5 22 10 24 2 16 1
1.3 1167219 38486 61470 23 9 23 8 19 1 15 0
1.4 1166510 39194 61468 20 9 24 8 21 1 15 0
1.5 1167239 38469 61472 25 10 23 7 19 1 13 0
1.6 1167393 38317 61470 28 11 18 6 18 0 16 1
1.7 1168413 37297 61468 30 8 15 8 17 3 17 0
1.8 1169508 36203 61467 25 11 16 8 23 0 15 0
1.9 1169389 36320 61478 31 9 24 7 15 2 9 1
2 1168733 36979 61467 26 12 15 7 22 0 16 0
2.1 1169266 36444 61471 31 8 16 9 18 0 15 1
2.2 1169399 36310 61467 28 7 17 8 19 2 16 1
2.3 1169868 35842 61468 26 8 17 10 23 0 14 0
2.4 1169758 35952 61472 33 9 15 8 15 0 17 1
2.5 1169112 36591 61473 23 8 26 9 18 1 13 0
2.6 1168584 37121 61470 27 9 19 8 16 0 18 1
2.7 1168475 37231 61459 19 7 17 9 26 1 18 1
2.8 1168770 36937 61477 29 7 26 8 16 2 9 1
2.9 1168214 37494 61460 22 8 17 6 24 1 17 3
3 1168697 37013 61463 23 10 15 8 24 0 18 0
3.1 1168708 37003 61467 29 9 16 6 18 2 17 1
3.2 1167951 37760 61471 27 11 20 6 19 1 14 0
3.3 1168256 37450 61471 28 9 19 8 15 1 18 0
3.4 1167771 37933 61473 27 8 22 9 16 0 15 1
3.5 1167951 37749 61469 24 5 21 12 18 0 17 1
3.6 1168228 37474 61473 28 5 21 12 16 0 15 1
3.7 1168127 37578 61466 23 7 19 10 22 0 16 1
3.8 1168258 37448 61472 27 7 21 10 19 0 13 1
3.9 1168486 37220 61473 27 8 23 8 17 1 13 1
4 1169330 36381 61469 24 10 21 7 24 0 11 1
4.1 1168854 36852 61473 28 9 22 7 14 2 16 0
