t ca2er ca2i ip3 s000 s001 s010 s011 s100 s101 s110 s111
0 1053875 151801 61468 10 7 32 17 7 1 24 2
0.1 1077725 127952 61472 13 6 31 20 7 0 22 1
0.2 1101350 104323 61466 8 3 33 20 10 1 22 3
0.3 1118048 87628 61468 16 4 27 19 5 0 25 4
0.4 1132882 72804 61463 14 6 23 18 14 0 23 2
0.5 1145182 60510 61466 19 6 25 14 14 1 16 5
0.6 1153324 52369 61467 16 10 26 13 15 0 17 3
0.7 1158293 47402 61471 25 8 23 13 9 1 17 4
0.8 1161784 43915 61466 17 12 21 14 18 0 18 0
0.9 1164357 41342 61458 13 9 19 15 24 1 18 1
1 1164488 41213 61463 18 11 20 12 19 1 17 2
1.1 1166004 39697 61471 20 14 25 10 15 0 14 2
1.2 1166372 39324 61461 17 13 18 11 13 1 26 1
1.3 1165878 39825 61466 23 14 19 8 12 2 20 2
1.4 1165431 40271 61472 26 13 21 10 9 2 18 1
1.5 1166858 38844 61465 21 12 18 12 15 2 20 0
1.6 1167086 38616 61464 21 13 16 12 16 0 21 1
1.7 1167293 38410 61463 21 13 18 9 15 2 20 2
1.8 1167275 38431 61458 16 14 17 9 21 2 21 0
1.9 1166054 39649 61473 25 12 24 10 12 1 14 2
2 1167095 38608 61466 19 8 24 13 20 3 12 1
2.1 1167742 37965 61471 27 10 19 13 17 0 12 2
2.2 1168191 37511 61474 24 11 24 13 14 0 13 1
2.3 1168951 36753 61469 26 11 19 11 14 0 16 3
2.4 1168936 36770 61464 23 13 17 9 17 0 18 3
2.5 1168945 36764 61471 28 12 18 11 15 1 14 1
2.6 1169439 36273 61465 20 14 22 7 22 3 11 1
2.7 1169846 35868 61474 29 16 21 6 16 0 9 3
2.8 1170070 35644 61470 27 17 19 5 16 1 13 2
2.9 1169209 36500 61467 23 13 20 9 17 3 15 0
3 1169226 36485 61463 22 16 18 5 18 2 17 2
3.1 1168236 37470 61467 21 15 22 7 15 2 17 1
3.2 1167493 38210 61470 22 13 24 9 14 1 15 2
3.3 1167742 37965 61459 17 15 17 8 20 2 21 0
3.4 1167964 37746 61470 25 14 20 9 16 2 14 0
3.5 1168419 37289 61463 19 15 19 8 20 1 17 1
3.6 1168383 37327 61468 28 16 15 7 12 1 20 1
3.7 1167986 37725 61467 26 14 19 6 14 4 16 1
3.8 1168948 36762 61474 27 13 22 10 15 2 11 0
3.9 1169586 36123 61470 23 12 22 11 19 2 11 0
4 1169770 35938 61477 31 13 20 11 11 0 13 1
4.1 1169085 36620 61470 25 9 22 12 15 2 14 1
4.2 1168594 37113 61462 22 10 16 12 20 1 18 1
4.3 1168574 37140 61467 25 14 16 10 21 0 14 0
4.4 1169089 36629 61469 29 13 16 9 20 2 11 0
4.5 1169390 36323 61467 33 12 11 9 11 3 21 0
4.6 1168175 37535 61462 23 14 16 7 18 2 18 2
4.7 1168072 37637 61470 26 16 19 7 14 0 16 2
4.8 1168337 37378 61468 23 14 19 10 24 1 9 0
4.9 1169472 36247 61471 32 13 13 11 20 1 10 0
5 1170272 35446 61460 27 12 8 11 24 2 16 0
5.1 1170234 35479 61465 24 14 18 7 21 1 12 3
5.2 1169505 36208 61465 25 10 19 9 20 5 11 1
5.3 1168198 37508 61464 24 12 19 7 15 2 17 4
5.4 1168930 36774 61474 24 11 27 10 14 2 10 2
5.5 1169540 36163 61467 22 12 20 11 15 1 18 1
5.6 1168248 37457 61468 22 12 21 11 16 1 17 0
5.7 1168022 37688 61468 23 11 25 7 18 4 10 2
5.8 1167929 37781 61466 25 15 18 6 16 0 17 3
5.9 1167400 38308 61456 20 13 12 9 20 1 24 1
6 1166882 38829 61473 27 11 24 9 17 2 8 2
6.1 1167754 37951 61463 20 10 20 11 19 2 17 1
6.2 1168313 37391 61471 25 10 24 10 13 2 14 2
6.3 1168143 37561 61464 21 11 19 11 17 1 19 1
6.4 1167661 38043 61469 24 12 21 10 12 2 19 0
6.5 1167006 38704 61466 22 17 19 6 17 1 17 1
6.6 1166884 38823 61465 21 16 21 5 14 3 19 1
6.7 1166712 38989 61461 15 13 22 9 18 3 19 1
6.8 1166586 39115 61473 23 14 27 7 9 3 15 2
6.9 1165776 39926 61468 21 16 21 8 12 1 20 1
7 1165028 40677 61465 21 16 17 9 16 1 19 1
7.1 1166504 39202 61481 27 14 26 12 13 1 7 0
7.2 1167473 38228 61468 20 13 20 13 17 0 16 1
7.3 1166766 38929 61469 22 10 20 15 11 1 20 1
7.4 1167088 38608 61471 22 13 25 9 9 1 17 4
7.5 1166841 38859 61471 25 12 22 10 10 3 15 3
7.6 1167658 38045 61478 28 14 20 14 11 0 13 0
7.7 1168789 36917 61463 16 13 21 11 24 3 11 1
7.8 1169500 36208 61467 20 16 18 11 22 0 12 1
7.9 1170079 35629 61460 17 12 18 11 27 2 10 3
8 1170605 35108 61466 24 13 13 14 25 1 10 0
8.1 1170668 35048 61468 27 16 15 8 21 2 9 2
8.2 1170920 34793 61464 24 14 15 9 22 3 11 2
8.3 1170917 34797 61472 29 15 15 11 19 1 9 1
8.4 1170879 34839 61464 25 17 12 8 24 2 11 1
8.5 1170784 34931 61476 32 16 19 7 13 4 8 1
8.6 1170500 35214 61470 26 16 18 8 20 1 9 2
8.7 1170248 35464 61464 22 15 14 11 23 1 14 0
8.8 1170243 35471 61469 26 12 19 10 22 2 7 2
8.9 1170516 35197 61470 29 15 14 10 17 0 14 1
9 1169557 36152 61472 25 16 21 8 14 2 14 0
9.1 1166883 38819 61473 19 15 27 10 15 1 13 0
9.2 1168159 37541 61471 22 14 25 8 11 1 16 3
9.3 1167459 38242 61469 20 14 24 9 14 1 16 2
9.4 1168221 37485 61471 27 11 20 11 12 4 15 0
9.5 1169094 36614 61462 19 12 19 10 22 3 14 1
9.6 1168677 37030 61468 23 13 20 10 19 0 12 3
9.7 1169081 36632 61473 31 15 14 11 15 0 14 0
9.8 1169769 35945 61467 23 18 18 6 20 1 13 1
9.9 1169717 35995 61475 29 17 18 9 14 1 12 0
10 1169913 35801 61468 26 16 16 8 18 3 13 0
10.1 1170004 35707 61471 26 17 18 8 15 2 14 0
10.2 1169246 36468 61464 28 18 13 3 14 3 18 3
10.3 1169337 36376 61470 24 18 19 7 18 2 12 0
10.4 1169619 36095 61461 21 16 14 8 23 3 15 0
10.5 1169624 36087 61475 23 17 24 9 19 1 7 0
10.6 1169402 36312 61464 20 22 16 4 21 0 16 1
10.7 1169525 36187 61468 20 17 23 6 21 3 9 1
10.8 1169225 36482 61473 22 18 23 8 15 1 13 0
10.9 1169283 36425 61476 26 18 22 8 12 1 13 0
11 1168695 37013 61461 19 16 16 8 19 3 19 0
11.1 1168804 36901 61463 18 17 20 6 18 1 17 3
11.2 1168706 37000 61463 19 15 22 5 16 4 17 2
11.3 1167933 37774 61471 21 14 23 11 19 1 11 0
11.4 1168477 37230 61467 19 12 24 10 21 3 10 1
11.5 1168434 37274 61462 22 14 14 10 19 1 19 1
11.6 1168580 37133 61463 22 15 15 9 23 1 14 1
11.7 1168667 37047 61473 30 15 17 9 17 0 10 2
11.8 1168651 37061 61463 22 16 15 8 21 1 16 1
11.9 1168369 37342 61464 21 11 18 12 24 2 12 0
12 1169025 36685 61462 23 13 14 10 21 0 17 2
12.1 1168910 36797 61468 26 9 18 13 18 1 13 2
12.2 1168952 36756 61470 26 10 19 13 17 2 13 0
12.3 1169210 36499 61463 19 14 20 8 22 1 14 2
12.4 1168716 36995 61461 20 13 16 10 24 1 15 1
12.5 1168715 36989 61463 20 9 19 13 20 2 16 1
12.6 1168664 37043 61468 24 12 19 11 18 0 14 2
12.7 1167724 37985 61467 27 12 15 11 15 1 19 0
12.8 1168303 37407 61463 19 14 18 10 23 0 16 0
12.9 1167853 37856 61466 28 11 15 10 15 1 18 2
13 1168347 37360 61465 22 11 19 11 19 1 16 1
13.1 1168486 37222 61464 24 12 16 10 18 0 18 2
