t ca2er ca2i ip3 s000 s001 s010 s011 s100 s101 s110 s111
0 1053875 151801 61468 11 3 35 11 9 0 29 1
0.1 1078696 126981 61464 8 3 34 11 12 0 31 0
0.2 1097140 108540 61468 14 2 32 12 10 0 29 0
0.3 1112803 92880 61465 14 3 28 12 13 0 29 0
0.4 1126621 79057 61476 16 1 36 15 10 0 20 1
0.5 1140172 65519 61466 20 2 24 12 17 1 21 2
0.6 1148832 56857 61471 25 2 24 12 11 0 22 3
0.7 1153816 51873 61470 18 4 28 12 15 1 21 0
0.8 1156332 49365 61472 22 9 27 6 13 2 20 0
0.9 1160210 45485 61465 14 5 29 9 22 3 17 0
1 1161385 44308 61466 17 8 26 7 16 1 23 1
1.1 1163205 42497 61466 22 9 20 7 19 1 21 0
1.2 1164083 41621 61472 30 9 18 7 14 1 19 1
1.3 1165427 40278 61467 23 11 18 7 21 0 19 0
1.4 1166352 39352 61473 31 8 19 7 14 1 17 2
1.5 1167506 38196 61466 23 6 21 8 20 3 17 1
1.6 1167633 38072 61467 23 10 20 6 21 1 17 1
1.7 1168055 37654 61471 27 10 19 7 21 1 14 0
1.8 1168250 37457 61474 29 12 20 5 15 1 17 0
1.9 1168124 37585 61474 28 12 21 5 18 1 14 0
2 1168717 36994 61470 23 14 23 2 24 0 11 2
2.1 1168232 37481 61474 33 14 16 3 15 1 17 0
2.2 1169031 36677 61470 25 11 20 6 21 1 15 0
2.3 1168426 37277 61470 24 13 21 4 16 1 19 1
2.4 1168014 37687 61471 22 9 23 9 20 1 15 0
2.5 1167310 38388 61467 18 12 22 7 19 0 21 0
2.6 1167317 38386 61476 28 12 22 6 13 1 17 0
2.7 1165343 40356 61474 24 11 23 8 15 1 17 0
2.8 1165556 40147 61475 29 14 19 5 12 0 19 1
2.9 1166870 38831 61473 24 13 22 6 16 0 17 1
3 1167495 38211 61473 28 12 18 7 18 0 15 1
3.1 1168170 37537 61470 26 11 18 7 20 2 15 0
3.2 1168539 37168 61462 22 13 15 4 24 0 18 3
3.3 1168856 36857 61462 27 9 12 6 24 5 16 0
3.4 1169276 36430 61466 23 11 17 7 23 1 16 1
3.5 1168118 37588 61463 24 7 17 7 23 4 15 2
3.6 1168470 37239 61462 23 8 16 7 28 2 12 3
3.7 1169400 36304 61465 25 8 17 7 20 3 17 2
3.8 1168739 36967 61468 23 13 18 6 22 0 16 1
3.9 1168693 37013 61477 28 11 24 6 17 2 10 1
4 1168582 37125 61481 34 12 19 8 13 0 13 0
4.1 1168978 36729 61475 30 9 19 9 18 1 13 0
4.2 1169095 36611 61476 31 10 18 9 16 0 15 0
4.3 1168193 37510 61470 25 10 20 7 18 1 17 1
4.4 1168321 37381 61467 23 8 22 6 20 2 15 3
4.5 1168218 37478 61473 22 7 25 11 18 0 15 1
4.6 1167743 37954 61470 20 8 23 11 20 0 17 0
4.7 1167609 38088 61469 19 9 23 10 20 0 18 0
4.8 1165730 39962 61471 21 10 24 8 12 0 23 1
4.9 1165117 40578 61477 24 10 26 9 12 0 18 0
5 1164017 41677 61471 17 12 28 6 15 1 20 0
5.1 1163767 41929 61476 27 9 27 5 9 2 17 3
5.2 1164927 40771 61476 24 9 27 8 16 0 13 2
5.3 1167062 38639 61472 22 10 23 9 20 0 15 0
5.4 1168262 37442 61477 28 9 23 9 17 1 12 0
5.5 1168254 37449 61468 25 8 18 9 19 2 18 0
5.6 1167731 37977 61473 29 9 18 9 20 1 13 0
5.7 1168159 37552 61473 32 9 17 7 19 1 13 1
5.8 1168751 36962 61466 26 8 17 7 27 2 11 1
5.9 1169488 36224 61475 33 12 16 6 18 0 13 1
6 1169780 35933 61471 28 12 19 4 22 2 11 1
6.1 1169214 36499 61464 26 13 12 5 25 0 17 1
6.2 1169834 35884 61469 31 13 14 3 22 3 13 0
6.3 1170186 35524 61473 26 12 20 7 23 0 11 0
6.4 1170272 35437 61470 28 9 18 7 21 2 13 1
6.5 1169961 35751 61478 34 11 18 7 18 0 10 1
6.6 1170364 35352 61473 31 9 18 7 25 2 6 1
6.7 1170363 35347 61473 33 9 16 7 17 2 14 1
6.8 1170152 35550 61471 27 7 21 8 17 1 16 2
6.9 1169051 36652 61463 23 6 18 8 22 2 18 2
7 1167778 37921 61463 22 8 17 8 17 2 25 0
7.1 1166426 39274 61474 24 11 24 7 15 0 18 0
7.2 1166146 39558 61473 27 10 21 7 16 1 17 0
7.3 1167279 38431 61476 28 12 23 5 19 1 11 0
7.4 1168529 37186 61470 27 12 18 5 25 1 11 0
7.5 1169173 36542 61472 31 13 17 3 19 2 14 0
7.6 1169186 36526 61465 22 12 19 4 26 2 14 0
7.7 1169595 36119 61465 22 12 18 5 29 1 12 0
7.8 1169801 35909 61479 33 11 22 5 15 2 10 1
7.9 1169447 36259 61469 23 10 22 6 22 2 13 1
8 1169232 36476 61475 30 11 22 4 15 3 13 1
8.1 1169687 36021 61479 28 16 24 3 15 0 13 0
8.2 1168169 37536 61473 21 15 26 3 19 1 14 0
8.3 1166268 39433 61477 21 15 29 4 16 0 14 0
8.4 1167213 38496 61475 29 11 23 4 17 2 12 1
8.5 1167341 38365 61470 27 9 20 6 17 3 17 0
8.6 1166844 38855 61471 22 9 25 7 16 1 19 0
8.7 1165453 40241 61471 15 10 31 7 18 1 17 0
8.8 1164330 41367 61471 21 10 29 3 12 4 19 1
8.9 1162310 43385 61469 16 10 29 6 17 2 19 0
9 1162749 42947 61477 21 11 31 6 13 1 16 0
9.1 1164325 41378 61463 22 10 17 6 20 1 22 1
9.2 1165070 40630 61473 23 11 24 7 16 0 18 0
9.3 1166376 39334 61465 24 9 20 4 24 3 13 2
9.4 1168143 37569 61479 33 11 23 4 16 2 9 1
9.5 1168957 36760 61470 30 11 15 6 25 0 12 0
9.6 1169727 35989 61467 28 8 16 7 27 2 11 0
9.7 1170306 35410 61473 32 10 19 4 22 1 9 2
9.8 1170351 35362 61472 32 9 16 7 20 2 13 0
9.9 1170426 35288 61464 30 9 12 5 21 4 18 0
10 1169872 35839 61470 28 10 17 7 23 0 13 1
10.1 1170390 35326 61469 32 8 14 7 24 1 12 1
10.2 1170068 35646 61466 31 10 14 3 20 2 17 2
10.3 1169706 36007 61466 25 11 16 6 26 0 15 0
10.4 1169868 35847 61475 30 11 21 5 22 0 10 0
10.5 1169540 36177 61475 34 9 18 6 21 1 10 0
10.6 1169703 36012 61472 29 9 20 6 24 1 10 0
10.7 1169648 36066 61472 31 7 18 8 23 0 12 0
10.8 1170171 35547 61473 31 8 20 6 25 1 8 0
10.9 1170059 35654 61472 29 7 20 8 24 0 11 0
11 1169862 35853 61468 27 6 18 9 29 0 10 0
11.1 1169850 35864 61470 28 6 22 6 25 2 9 1
11.2 1169771 35945 61478 37 10 18 5 16 0 13 0
11.3 1169784 35931 61478 35 9 21 5 17 1 11 0
11.4 1169349 36366 61463 31 5 15 4 22 4 16 2
11.5 1169217 36498 61461 28 7 14 4 25 2 17 2
11.6 1169333 36380 61471 31 8 19 5 20 1 14 1
11.7 1169315 36405 61471 34 12 14 3 21 0 15 0
11.8 1169028 36685 61470 31 9 19 3 17 2 18 0
11.9 1168828 36883 61478 31 10 26 3 16 0 12 1
12 1168516 37198 61470 27 10 21 4 23 0 14 0
12.1 1168546 37164 61477 33 7 23 6 15 2 13 0
12.2 1169403 36315 61467 32 7 15 5 24 2 13 1
12.3 1169282 36430 61460 24 8 14 6 26 1 20 0
12.4 1169241 36477 61471 32 7 19 5 25 2 7 2
12.5 1169791 35926 61462 27 7 12 8 30 2 13 0
12.6 1170495 35220 61468 29 8 15 8 27 0 11 1
12.7 1170347 35363 61474 31 7 18 10 21 0 12 0
12.8 1170118 35583 61474 22 5 26 13 24 0 9 0
12.9 1170146 35559 61475 27 6 24 10 20 2 10 0
13 1169610 36098 61472 27 9 21 7 21 1 12 1
13.1 1168192 37516 61469 29 8 17 7 19 2 16 1
13.2 1168812 36895 61473 27 9 23 6 20 1 11 2
13.3 1169262 36453 61469 29 10 16 6 25 1 11 1
13.4 1169502 36209 61471 28 11 19 5 21 1 13 1
13.5 1168633 37078 61460 17 12 18 5 31 1 15 0
13.6 1168545 37162 61469 27 11 17 6 19 0 18 1
13.7 1168393 37307 61466 22 8 20 8 19 1 20 1
13.8 1168200 37507 61475 28 9 23 7 19 1 11 1
13.9 1168517 37191 61467 24 8 19 8 24 2 14 0
14 1168782 36922 61470 26 6 21 9 20 3 13 1
14.1 1168337 37369 61470 30 9 15 8 17 0 19 1
14.2 1168135 37571 61476 28 10 22 8 18 0 13 0
14.3 1168232 37476 61467 22 9 21 7 26 1 12 1
14.4 1168581 37125 61470 23 11 21 7 22 0 15 0
14.5 1168095 37614 61475 30 11 20 6 17 1 14 0
14.6 1168284 37422 61473 24 12 23 6 20 0 14 0
14.7 1167750 37957 61470 26 9 20 7 21 0 15 1
14.8 1168274 37433 61470 27 7 22 6 19 3 14 1
14.9 1167922 37784 61472 26 10 23 5 19 0 14 2
15 1168072 37633 61466 24 10 17 7 20 0 21 0
15.1 1167161 38544 61466 26 8 18 6 19 1 19 2
15.2 1167385 38321 61475 27 9 24 7 18 1 13 0
15.3 1167751 37954 61471 25 9 22 7 20 1 14 1
15.4 1166889 38816 61472 24 10 23 7 21 0 13 1
15.5 1167578 38127 61471 26 9 19 9 20 0 16 0
15.6 1168468 37236 61472 27 8 20 9 18 1 16 0
15.7 1168063 37644 61470 28 9 16 9 20 1 16 0
15.8 1168718 36989 61472 25 8 21 10 24 1 10 0
15.9 1169079 36626 61475 33 10 16 8 13 0 18 1
16 1168827 36878 61475 29 9 21 8 17 0 14 1
16.1 1168880 36823 61469 27 8 19 7 17 1 18 2
16.2 1168593 37112 61469 30 7 15 9 18 0 18 2
16.3 1169327 36380 61470 25 7 20 10 25 0 11 1
16.4 1169830 35878 61476 29 9 21 9 20 0 11 0
16.5 1169951 35755 61468 27 6 18 9 20 3 16 0
16.6 1169198 36509 61473 28 9 20 8 20 0 13 1
16.7 1168276 37425 61471 27 7 19 10 17 0 18 1
16.8 1167537 38160 61470 24 6 21 11 17 0 19 1
16.9 1166737 38959 61473 24 6 25 10 16 0 16 2
17 1167332 38366 61478 29 3 25 13 15 1 12 1
17.1 1168116 37585 61474 27 8 22 9 16 0 16 1
17.2 1166773 38927 61470 24 9 23 6 15 3 18 1
17.3 1166936 38766 61467 20 11 22 6 21 2 16 1
17.4 1167499 38207 61469 25 11 20 5 19 3 15 1
17.5 1168049 37656 61469 27 12 17 5 16 2 19 1
17.6 1168094 37613 61474 25 12 23 6 20 2 11 0
17.7 1168443 37258 61463 22 10 15 8 20 1 22 1
17.8 1167708 37996 61472 25 10 22 7 19 2 13 1
17.9 1168384 37322 61473 24 10 23 8 23 1 9 1
18 1168949 36758 61471 24 10 20 9 24 1 11 0
18.1 1169775 35933 61470 23 10 21 8 25 2 10 0
18.2 1169861 35848 61469 21 14 21 5 26 0 11 1
18.3 1169364 36342 61471 22 12 21 8 24 0 12 0
18.4 1168599 37105 61471 23 11 21 8 22 0 13 1
18.5 1168417 37283 61472 23 9 22 10 19 1 15 0
18.6 1167854 37846 61474 27 10 19 10 15 0 18 0
18.7 1167178 38523 61467 22 10 17 10 21 0 19 0
18.8 1166629 39074 61474 27 11 18 10 18 0 15 0
18.9 1167245 38458 61466 23 12 15 8 20 1 20 0
19 1167543 38153 61481 26 12 27 8 11 1 13 1
19.1 1166806 38889 61475 20 11 28 8 16 2 13 1
19.2 1167587 38113 61470 25 10 17 10 18 1 17 1
19.3 1168495 37204 61471 23 10 19 11 19 1 16 0
19.4 1168827 36872 61471 21 10 22 10 20 2 14 0
19.5 1168617 37083 61471 26 7 19 11 18 3 14 1
19.6 1168350 37349 61467 21 10 17 11 22 0 17 1
19.7 1168583 37119 61474 29 7 18 12 18 2 12 1
19.8 1169242 36461 61466 25 10 14 9 21 1 17 2
19.9 1169782 35925 61467 23 13 15 8 25 0 14 1
20 1170004 35707 61473 32 12 14 7 20 1 11 2
20.1 1170015 35689 61466 24 12 14 8 22 0 17 2
20.2 1170114 35591 61467 26 10 14 9 22 1 15 2
20.3 1169786 35918 61463 27 9 10 9 21 1 19 3
20.4 1169116 36587 61467 25 9 13 12 23 0 16 1
20.5 1168869 36832 61470 25 10 16 11 20 0 16 1
20.6 1168941 36762 61462 23 12 10 9 22 0 22 1
20.7 1169232 36472 61477 27 12 22 8 19 0 9 2
20.8 1169975 35731 61471 27 11 15 10 22 0 13 1
20.9 1169778 35925 61473 24 12 22 7 20 1 11 2
21 1170110 35593 61474 28 12 18 8 17 0 14 2
21.1 1169791 35914 61472 25 13 20 6 19 2 13 1
21.2 1169609 36099 61467 28 11 13 7 21 2 15 2
21.3 1170157 35554 61473 31 13 12 9 21 1 12 0
21.4 1170674 35040 61472 34 11 12 7 22 2 8 3
21.5 1171032 34683 61464 29 10 10 7 26 4 12 1
21.6 1170928 34780 61463 20 12 16 7 28 2 13 1
21.7 1170530 35180 61472 27 14 15 8 23 0 12 0
21.8 1170500 35205 61472 24 15 20 5 19 1 14 1
21.9 1170340 35365 61474 24 16 22 4 18 1 13 1
22 1170047 35661 61470 30 13 16 3 15 4 16 2
22.1 1169019 36685 61468 25 17 14 4 16 1 21 1
22.2 1168661 37042 61463 16 15 17 7 26 1 17 0
22.3 1168759 36940 61470 22 12 19 9 20 0 15 2
22.4 1169289 36416 61471 24 14 17 8 23 0 11 2
22.5 1169379 36323 61471 24 14 15 10 20 0 16 0
22.6 1169002 36699 61471 22 11 20 10 22 2 11 1
22.7 1169188 36518 61474 27 14 16 9 21 0 11 1
22.8 1169952 35755 61466 22 12 14 10 27 2 12 0
22.9 1170360 35344 61475 27 11 17 12 21 2 9 0
23 1169995 35704 61469 23 11 17 10 20 2 14 2
23.1 1170027 35671 61463 18 9 15 13 25 3 16 0
23.2 1169295 36400 61469 21 11 17 12 19 1 17 1
23.3 1169503 36194 61469 23 10 16 12 21 0 14 3
23.4 1170004 35695 61470 21 11 16 14 24 0 13 0
23.5 1170301 35402 61471 24 11 15 13 25 0 10 1
23.6 1170490 35214 61470 26 11 14 11 23 0 12 2
23.7 1170143 35560 61470 21 13 16 12 26 0 11 0
23.8 1169442 36258 61472 22 12 17 13 23 0 12 0
23.9 1170003 35696 61472 26 12 15 11 18 0 15 2
24 1169945 35754 61482 28 12 22 12 16 0 8 1
24.1 1169898 35803 61478 29 13 20 8 15 1 10 3
24.2 1170298 35406 61483 28 14 22 11 19 0 5 0
24.3 1170454 35253 61470 28 15 11 8 21 0 14 2
24.4 1170268 35433 61464 21 13 12 10 24 0 17 2
24.5 1170401 35307 61471 28 15 12 8 21 1 13 1
24.6 1170574 35135 61468 29 13 13 5 22 2 10 5
24.7 1171042 34670 61470 28 15 12 7 24 2 10 1
24.8 1171011 34696 61472 28 17 12 7 20 0 13 2
24.9 1170738 34968 61472 24 18 17 5 19 2 14 0
25 1170672 35031 61473 24 14 20 7 21 1 9 3
25.1 1170840 34864 61474 27 12 17 10 19 3 11 0
25.2 1170544 35160 61469 22 16 17 6 21 2 14 1
25.3 1170713 34992 61473 23 17 17 8 22 0 12 0
25.4 1170561 35144 61473 28 12 15 10 19 3 12 0
25.5 1170376 35326 61465 21 12 16 8 22 4 15 1
25.6 1170173 35530 61475 28 16 18 5 15 1 13 3
25.7 1169644 36057 61478 21 18 24 7 19 0 10 0
25.8 1168582 37117 61476 26 16 19 7 12 2 17 0
25.9 1168640 37067 61474 29 17 15 5 16 2 14 1
26 1168920 36785 61475 31 15 13 8 14 2 16 0
26.1 1168597 37102 61468 18 15 19 8 21 2 16 0
26.2 1169078 36620 61475 24 15 20 8 14 2 16 0
26.3 1169059 36641 61484 30 16 22 8 10 1 12 0
26.4 1167189 38509 61473 23 18 18 6 14 0 19 1
26.5 1167812 37883 61474 17 16 24 9 19 1 13 0
26.6 1167921 37779 61471 20 11 21 11 23 3 10 0
26.7 1168448 37252 61475 29 13 14 11 14 1 17 0
26.8 1169615 36091 61473 24 15 18 8 23 1 9 1
