t ca2er ca2i ip3 s000 s001 s010 s011 s100 s101 s110 s111
0 1053875 151801 61468 10 5 33 16 8 1 26 2
0.1 1076477 129200 61464 12 5 25 18 8 0 32 1
0.2 1098792 106882 61459 9 5 23 18 9 0 35 2
0.3 1115247 90432 61472 14 3 33 18 10 1 19 3
0.4 1129240 76445 61464 16 6 24 14 10 2 26 3
0.5 1140271 65422 61457 10 9 20 14 23 1 22 2
0.6 1150814 54884 61465 20 7 16 18 20 1 19 0
0.7 1158589 47112 61467 23 9 17 14 18 1 17 2
0.8 1163019 42684 61473 25 13 20 11 14 1 16 1
0.9 1165311 40393 61462 23 11 11 13 19 2 21 1
1 1167225 38482 61471 25 14 18 10 17 2 14 1
1.1 1168268 37435 61467 20 12 21 10 20 2 13 3
1.2 1168248 37454 61472 20 16 22 10 17 0 15 1
1.3 1168312 37398 61473 23 18 19 9 20 0 12 0
1.4 1169202 36512 61472 29 15 15 9 20 1 10 2
1.5 1169789 35921 61459 21 12 12 10 25 3 16 2
1.6 1169554 36152 61478 21 15 27 11 21 0 5 1
1.7 1169365 36342 61469 24 12 17 12 19 3 14 0
1.8 1168381 37322 61470 22 12 21 11 18 2 13 2
1.9 1168473 37227 61472 21 11 21 15 18 1 14 0
2 1167974 37725 61464 21 12 16 11 17 0 20 4
2.1 1167301 38405 61470 24 19 18 5 14 0 18 3
2.2 1168182 37528 61461 16 16 19 6 26 3 13 2
2.3 1168963 36745 61483 29 15 24 11 14 1 7 0
2.4 1169685 36020 61473 26 14 18 11 16 0 14 2
2.5 1168535 37171 61472 27 13 18 10 15 2 14 2
2.6 1169143 36559 61469 24 11 18 12 16 2 16 2
2.7 1169220 36481 61474 28 12 18 12 12 0 16 3
2.8 1168997 36699 61463 14 12 22 11 20 1 18 3
2.9 1168027 37671 61472 23 12 19 14 14 0 18 1
3 1167987 37713 61476 25 12 22 13 14 0 13 2
3.1 1167901 37800 61476 28 11 21 12 12 1 13 3
3.2 1168783 36923 61467 22 13 15 13 21 1 16 0
3.3 1169136 36569 61468 22 12 20 10 20 2 12 3
3.4 1169558 36154 61470 27 16 13 10 19 1 15 0
3.5 1169958 35749 61468 24 12 19 9 19 2 13 3
3.6 1170300 35410 61471 25 13 18 11 20 2 12 0
3.7 1168436 37268 61472 25 12 17 14 17 2 14 0
3.8 1168782 36923 61466 21 14 17 10 20 2 15 2
3.9 1169196 36511 61473 26 15 17 11 17 1 13 1
4 1169052 36655 61470 24 14 15 13 21 0 13 1
4.1 1169327 36380 61468 26 14 11 13 18 1 18 0
4.2 1169589 36119 61472 23 15 19 11 20 2 11 0
4.3 1169833 35873 61471 28 13 15 11 16 1 14 3
