t ca2er ca2i ip3 s000 s001 s010 s011 s100 s101 s110 s111
0 1053875 151801 61468 11 5 32 16 9 1 25 2
0.1 1079483 126196 61461 7 5 28 17 16 1 26 1
0.2 1104542 101141 61476 21 3 30 18 10 0 15 4
0.3 1124324 81357 61469 13 3 28 21 16 0 19 1
0.4 1137266 68417 61470 14 4 31 17 14 1 18 2
0.5 1146592 59089 61477 20 6 30 17 5 0 22 1
0.6 1155153 50537 61472 22 7 27 12 9 2 19 3
0.7 1156674 49019 61471 20 8 26 13 14 1 17 2
0.8 1160763 44932 61470 20 10 24 12 14 1 19 1
0.9 1163782 41923 61463 20 12 18 9 22 1 17 2
1 1166583 39122 61471 25 9 21 12 19 2 12 1
1.1 1167522 38184 61464 24 9 15 12 20 4 17 0
1.2 1168134 37574 61469 26 14 15 10 18 1 17 0
1.3 1168201 37501 61469 24 11 21 9 17 1 14 4
1.4 1167770 37930 61472 20 9 26 13 19 3 11 0
1.5 1167990 37710 61468 25 8 18 13 15 3 18 1
1.6 1167769 37924 61475 24 8 25 14 12 0 15 3
1.7 1167448 38251 61467 21 8 17 17 21 0 17 0
1.8 1168630 37074 61473 28 11 16 14 17 0 14 1
1.9 1169456 36249 61461 21 10 12 14 26 0 16 2
2 1170042 35665 61474 28 11 17 14 20 0 10 1
2.1 1170228 35479 61468 21 12 20 11 25 0 10 2
2.2 1169941 35770 61469 28 14 13 10 19 1 16 0
2.3 1169299 36410 61459 15 15 17 8 30 0 14 2
2.4 1169641 36066 61467 20 14 21 8 23 1 12 2
2.5 1169749 35959 61475 26 13 22 10 19 1 9 1
2.6 1170120 35589 61464 20 11 18 11 27 2 11 1
2.7 1169473 36231 61460 16 12 17 11 27 1 15 2
2.8 1169810 35895 61479 29 16 21 9 12 0 13 1
2.9 1169231 36469 61469 22 10 18 15 20 0 15 1
3 1168871 36831 61475 25 10 21 15 18 0 12 0
3.1 1168662 37044 61478 34 9 17 14 14 0 11 2
3.2 1169340 36365 61470 33 6 10 17 16 0 18 1
3.3 1170081 35623 61461 26 6 12 13 22 1 16 5
3.4 1169709 35996 61477 35 6 19 13 14 1 8 5
3.5 1169918 35786 61467 28 7 13 15 20 0 15 3
3.6 1169838 35865 61465 25 6 15 15 22 1 14 3
3.7 1169578 36131 61471 24 10 19 14 25 1 8 0
3.8 1170136 35575 61467 24 9 17 13 26 3 9 0
3.9 1170464 35247 61468 27 13 15 9 21 1 13 2
4 1170195 35513 61465 19 14 19 9 25 0 14 1
4.1 1169477 36231 61475 32 10 17 12 15 1 13 1
4.2 1169782 35925 61464 20 9 18 13 27 1 12 1
4.3 1169657 36056 61471 32 11 14 10 18 2 13 1
4.4 1169899 35817 61475 31 12 18 10 21 1 8 0
4.5 1170347 35371 61465 28 11 13 9 26 2 11 1
4.6 1170455 35260 61459 24 11 13 7 25 4 16 1
4.7 1170058 35657 61463 27 11 13 8 23 3 15 1
4.8 1169949 35766 61471 30 10 19 8 21 2 9 2
4.9 1170024 35688 61463 27 11 15 6 22 0 15 5
5 1170040 35675 61458 24 10 12 8 27 1 17 2
5.1 1169939 35773 61464 21 9 22 8 28 0 10 3
5.2 1169059 36650 61465 22 10 21 8 22 1 16 1
5.3 1168489 37221 61471 25 11 25 6 18 2 13 1
5.4 1167531 38179 61462 23 11 19 5 19 3 20 1
5.5 1167448 38264 61464 23 12 18 7 22 1 18 0
5.6 1166993 38718 61463 23 12 20 4 21 1 17 3
5.7 1167500 38213 61468 26 13 20 5 19 1 16 1
5.8 1167910 37806 61464 25 14 15 6 23 0 18 0
5.9 1168470 37247 61463 25 10 17 7 27 1 12 2
6 1169299 36413 61473 33 9 18 9 15 1 15 1
6.1 1169037 36674 61475 30 10 22 9 17 0 12 1
6.2 1169001 36715 61466 24 12 20 6 26 0 11 2
6.3 1169194 36521 61473 30 10 23 6 18 3 10 1
6.4 1169730 35988 61468 29 12 18 5 21 2 13 1
6.5 1169919 35803 61470 34 15 12 5 19 0 16 0
6.6 1170293 35428 61467 26 14 18 5 27 0 10 1
6.7 1170027 35690 61469 34 11 11 9 18 0 18 0
6.8 1170605 35116 61471 29 14 19 5 23 1 10 0
6.9 1170280 35436 61463 21 13 19 6 27 1 14 0
7 1169201 36514 61466 28 15 16 3 17 1 20 1
7.1 1169217 36496 61470 28 12 20 6 17 2 16 0
7.2 1168269 37441 61479 28 14 27 6 14 0 12 0
7.3 1167586 38120 61469 23 10 23 9 18 1 17 0
7.4 1166666 39039 61478 25 13 29 7 14 0 12 1
7.5 1167099 38604 61466 16 11 26 9 22 1 16 0
7.6 1166582 39123 61464 21 10 21 8 20 1 18 2
7.7 1167139 38570 61463 23 10 17 9 22 1 18 1
7.8 1166196 39503 61466 17 9 24 12 21 0 17 1
7.9 1166324 39379 61461 15 9 21 12 26 1 17 0
8 1166898 38809 61465 21 7 21 12 25 2 12 1
8.1 1168277 37435 61466 27 9 15 11 24 0 13 2
8.2 1169090 36621 61459 21 8 15 11 29 2 13 2
8.3 1169883 35829 61471 32 9 15 11 18 2 13 1
8.4 1169925 35785 61467 27 10 16 10 22 0 13 3
8.5 1169830 35876 61465 27 5 13 16 21 1 18 0
8.6 1169589 36116 61467 30 4 15 14 19 0 15 4
8.7 1168666 37040 61456 22 5 11 14 25 1 22 1
8.8 1168834 36879 61467 28 10 16 9 21 1 15 1
8.9 1168842 36868 61465 21 9 22 9 26 1 11 2
9 1169028 36689 61469 27 14 19 5 22 1 12 1
9.1 1169566 36150 61467 27 13 15 8 23 1 14 0
9.2 1169658 36051 61472 22 14 24 8 21 0 12 0
9.3 1168683 37027 61469 24 14 19 8 20 0 16 0
9.4 1168527 37182 61469 24 14 20 7 18 1 17 0
9.5 1168402 37312 61459 23 12 14 6 23 4 19 0
9.6 1169151 36560 61470 25 14 19 8 20 0 15 0
9.7 1169402 36307 61466 23 10 19 10 23 1 14 1
9.8 1168814 36896 61473 29 11 19 10 17 1 14 0
9.9 1168374 37335 61460 19 9 19 9 27 1 15 2
10 1167885 37822 61473 30 10 19 10 13 1 18 0
10.1 1167338 38369 61467 20 8 25 10 23 3 12 0
10.2 1167966 37741 61470 23 9 23 11 21 1 13 0
10.3 1167180 38532 61470 34 10 17 5 13 1 17 4
10.4 1168577 37137 61471 27 10 22 8 21 2 11 0
10.5 1169200 36515 61467 29 10 18 6 19 3 15 1
10.6 1168923 36790 61467 29 10 18 6 17 2 18 1
10.7 1168467 37245 61471 26 11 21 9 21 0 13 0
10.8 1168077 37638 61466 31 10 12 9 20 0 18 1
10.9 1168503 37210 61468 30 8 17 9 20 1 14 2
11 1168217 37493 61464 25 8 18 9 21 2 17 1
11.1 1167678 38028 61466 22 11 20 9 19 1 19 0
11.2 1168139 37571 61465 22 12 20 7 23 0 15 2
11.3 1168656 37054 61469 25 10 21 9 20 2 14 0
11.4 1167569 38145 61466 26 15 16 5 19 2 18 0
11.5 1169002 36711 61469 26 13 20 6 20 2 13 1
11.6 1168817 36895 61470 24 15 22 5 20 1 13 1
11.7 1168973 36738 61470 24 12 21 9 22 1 12 0
11.8 1168282 37424 61471 29 10 16 12 15 0 19 0
11.9 1167782 37926 61470 24 9 23 10 21 2 11 1
12 1167684 38024 61466 27 10 16 9 17 2 19 1
12.1 1167949 37760 61467 25 12 17 9 19 1 18 0
12.2 1167902 37802 61466 19 11 22 10 21 1 17 0
12.3 1166414 39291 61467 25 13 19 6 15 0 20 3
12.4 1165590 40117 61469 26 11 18 10 17 1 18 0
12.5 1166945 38764 61463 25 11 11 12 22 0 20 0
12.6 1167304 38405 61468 27 10 17 10 19 2 15 1
12.7 1167521 38188 61466 24 12 18 8 19 2 18 0
12.8 1168106 37607 61466 28 13 14 7 19 1 18 1
12.9 1168510 37202 61466 28 9 16 9 19 3 17 0
13 1169154 36568 61465 31 11 14 5 24 3 11 2
13.1 1169571 36144 61463 30 10 10 9 21 1 19 1
13.2 1169745 35972 61468 29 12 15 8 23 0 13 1
13.3 1169682 36031 61470 24 12 23 7 24 0 9 2
13.4 1169584 36124 61466 23 10 20 9 20 2 17 0
13.5 1169116 36591 61473 27 10 24 8 15 2 14 1
13.6 1168380 37325 61474 27 9 25 9 14 2 14 1
13.7 1166274 39427 61464 22 10 19 9 15 1 24 1
13.8 1165188 40519 61467 25 10 21 7 16 3 18 1
13.9 1165726 39982 61464 21 12 20 7 20 2 19 0
14 1166976 38734 61468 26 13 20 5 16 3 17 1
14.1 1167919 37799 61464 23 16 18 3 24 2 15 0
14.2 1167964 37751 61465 21 14 21 5 25 2 13 0
14.3 1168408 37297 61468 19 10 26 9 22 1 13 1
14.4 1167375 38332 61471 22 11 27 7 20 1 11 2
14.5 1168249 37461 61473 31 12 18 8 14 1 16 1
14.6 1168714 36997 61469 30 8 18 9 18 3 13 2
14.7 1169383 36328 61470 27 10 19 10 21 1 12 1
14.8 1169704 36009 61473 30 12 20 7 19 0 10 3
14.9 1169993 35715 61462 22 11 15 10 23 0 19 1
15 1170169 35541 61469 26 7 20 12 22 2 12 0
15.1 1170410 35304 61480 35 10 21 10 15 1 9 0
15.2 1170167 35544 61462 20 10 19 9 26 1 16 0
15.3 1169904 35811 61469 27 11 20 7 22 1 12 1
15.4 1169877 35838 61471 31 10 17 9 19 1 14 0
15.5 1169623 36086 61461 18 7 20 12 29 1 14 0
15.6 1169523 36184 61481 34 5 24 14 13 1 10 0
15.7 1168662 37042 61470 27 5 19 15 18 0 17 0
15.8 1168645 37065 61477 38 5 22 8 9 4 12 3
15.9 1169325 36384 61468 26 7 21 10 20 2 14 1
16 1169111 36596 61466 23 10 19 10 20 1 18 0
16.1 1168909 36799 61464 25 9 17 9 19 2 19 1
16.2 1169123 36586 61473 27 10 25 7 17 2 11 2
16.3 1168340 37369 61463 22 12 19 6 21 1 18 2
16.4 1168208 37502 61465 23 11 18 9 24 0 14 2
16.5 1168956 36757 61459 22 8 14 11 28 2 16 0
16.6 1169667 36045 61474 31 8 21 10 18 2 10 1
16.7 1169746 35964 61465 23 9 19 10 23 2 15 0
16.8 1168927 36783 61464 24 8 19 9 21 4 16 0
16.9 1168281 37427 61466 23 9 22 8 20 3 15 1
17 1168860 36852 61465 23 13 20 5 21 2 16 1
17.1 1168514 37195 61472 23 13 24 8 20 0 13 0
17.2 1167532 38177 61468 26 14 19 5 15 1 20 1
17.3 1167676 38033 61469 28 14 17 6 14 0 21 1
17.4 1166918 38786 61471 23 14 23 7 15 0 18 1
17.5 1167168 38538 61459 14 12 22 7 26 2 17 1
17.6 1166648 39061 61462 22 11 18 7 20 4 19 0
17.7 1167140 38573 61460 21 12 18 5 25 3 15 2
17.8 1168180 37531 61465 24 11 19 7 21 3 15 1
17.9 1168066 37647 61468 28 11 16 9 21 1 14 1
18 1168961 36757 61468 31 14 14 5 19 2 15 1
18.1 1168689 37025 61471 28 14 18 7 20 0 13 1
18.2 1168980 36732 61464 23 12 16 9 24 0 17 0
18.3 1168727 36984 61465 23 11 19 8 23 1 15 1
18.4 1168281 37424 61464 21 11 20 8 20 1 18 2
18.5 1168809 36896 61471 21 11 26 9 19 2 13 0
18.6 1168537 37172 61474 31 11 17 11 15 0 16 0
18.7 1168795 36916 61466 26 9 15 12 23 1 15 0
18.8 1168947 36767 61462 25 9 13 11 27 1 14 1
18.9 1169428 36285 61463 26 9 15 9 24 2 14 2
19 1169948 35767 61476 35 11 16 10 17 0 11 1
19.1 1169052 36655 61471 27 6 23 11 17 4 13 0
19.2 1169182 36527 61464 20 12 18 10 25 0 16 0
19.3 1168802 36908 61465 24 12 17 8 21 1 17 1
19.4 1168369 37344 61469 26 10 20 9 22 2 12 0
19.5 1168626 37091 61461 27 10 14 6 23 4 16 1
19.6 1168952 36766 61470 27 16 17 6 23 0 12 0
19.7 1169204 36511 61473 30 14 19 6 18 0 13 1
